timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,pose_command_0,pose_command_1,pose_command_2,pose_command_3,pose_command_4,pose_command_5,pose_command_6,actions_0,actions_1,actions_2,actions_3,actions_4,actions_5,actions_6
0,-0.11341912299394608,0.30865347385406494,0.31736811995506287,0.07139042019844055,-0.3227784335613251,-0.9423154592514038,0.053381841629743576,-0.1499376744031906,0.2499183863401413,0.09993810206651688,-6.684449908789247e-05,1.0000865459442139,-9.555414726492018e-05,2.329728886252269e-05,-0.7912831902503967,-0.1095983237028122,-4.228118419647217,-0.5559923052787781,1.563754916191101,0.046083077788352966,-2.0425469875335693
1,-0.14736568927764893,0.30992791056632996,0.28289949893951416,0.09433511644601822,-0.3243548274040222,-0.9373816251754761,0.08563734591007233,-0.149941086769104,0.24999253451824188,0.10005165636539459,-7.922091754153371e-06,1.0000951290130615,3.226674016332254e-05,-8.553369843866676e-05,-0.11976930499076843,1.6666821241378784,-3.0489003658294678,-0.11367851495742798,1.553367257118225,-0.1336047500371933,-1.6856114864349365
2,-0.14398318529129028,0.32472461462020874,0.2445749193429947,0.11847874522209167,-0.38279998302459717,-0.9081485867500305,0.12080233544111252,-0.15002496540546417,0.2500157654285431,0.0999879315495491,3.917108551831916e-05,0.9999804496765137,7.117777568055317e-05,-9.992220293497667e-05,0.5594159960746765,1.0902327299118042,-2.9402663707733154,-0.0014369785785675049,1.5841037034988403,0.06884302198886871,-1.703989028930664
3,-0.13789057731628418,0.3365505635738373,0.20694345235824585,0.14221490919589996,-0.4429907500743866,-0.8711756467819214,0.15641643106937408,-0.15008915960788727,0.25000301003456116,0.1000078022480011,9.420877177035436e-05,0.9999330043792725,-2.6089153834618628e-05,-5.572672307607718e-05,0.15555360913276672,1.0675071477890015,-2.2609095573425293,0.11359286308288574,1.5314679145812988,0.0402388721704483,-1.5832583904266357
4,-0.13175345957279205,0.3438335061073303,0.18019059300422668,0.1691763550043106,-0.49944132566452026,-0.8312609791755676,0.17636477947235107,-0.1500423401594162,0.2500338852405548,0.09999807178974152,6.388305337168276e-06,1.0000063180923462,9.977471927413717e-05,7.225294393720105e-05,0.04970035329461098,0.27003273367881775,-1.40188729763031,0.05844533443450928,1.4871644973754883,0.025655165314674377,-1.4220054149627686
5,-0.14545853435993195,0.3172515034675598,0.1742469072341919,0.18794506788253784,-0.5448276400566101,-0.7874599099159241,0.21835264563560486,-0.15009883046150208,0.2500966191291809,0.09991329908370972,1.8270002328790724e-06,0.999901533126831,5.1536910177674145e-05,5.737026367569342e-05,-0.3639257252216339,-0.14468391239643097,-0.7990440726280212,0.08922743797302246,1.4673702716827393,-0.08075131475925446,-1.2202062606811523
6,-0.15327130258083344,0.31306079030036926,0.16614389419555664,0.20467427372932434,-0.5702598690986633,-0.7682679891586304,0.20645883679389954,-0.150081068277359,0.2500315308570862,0.09991499036550522,-2.9313945560716093e-05,0.9999904632568359,-8.682396583026275e-05,4.0381062717642635e-05,-0.31702324748039246,0.13899333775043488,-0.8051600456237793,0.1571669578552246,1.457679033279419,-0.18944068253040314,-0.8818126916885376
7,-0.13558271527290344,0.2953076958656311,0.15090224146842957,0.18455928564071655,-0.616590678691864,-0.7386190295219421,0.20032164454460144,-0.1499820500612259,0.2500954568386078,0.10007315874099731,-2.6592359063215554e-05,1.0000916719436646,5.714923463528976e-05,-5.194936602492817e-05,-0.09010699391365051,0.09864722192287445,-0.7062972784042358,0.18647363781929016,1.4249989986419678,-0.1876467913389206,-0.9042020440101624
8,-0.16588705778121948,0.28545570373535156,0.13447652757167816,0.2008521407842636,-0.6208560466766357,-0.7247119545936584,0.22082345187664032,-0.1499032825231552,0.24992381036281586,0.1000545471906662,-1.5533514670096338e-06,1.0000319480895996,-9.853289520833641e-05,-9.979168680729344e-05,-0.41853511333465576,0.3543701767921448,-0.487636923789978,0.05754435062408447,1.343693494796753,-0.2384958416223526,-0.6296095848083496
9,-0.15400563180446625,0.2504864037036896,0.11347807198762894,0.16011640429496765,-0.6670020222663879,-0.684963047504425,0.24586036801338196,-0.14997026324272156,0.25007253885269165,0.09999861568212509,-3.721461689565331e-05,0.9999033212661743,3.2118063245434314e-05,7.269178604474291e-05,0.12542560696601868,0.21560390293598175,-0.20480667054653168,0.2723942697048187,1.317678451538086,-0.2575603723526001,-0.4671437740325928
10,-0.17055103182792664,0.25064659118652344,0.1022312268614769,0.15925589203834534,-0.671988844871521,-0.6737356781959534,0.26288527250289917,-0.14998632669448853,0.24996687471866608,0.09994194656610489,-5.833404429722577e-06,1.0000113248825073,-2.1174251742195338e-05,-7.315477705560625e-05,-0.22966977953910828,0.7338181138038635,-0.03415655344724655,0.10888087749481201,1.2562215328216553,-0.36190396547317505,-0.026044368743896484
11,-0.15600568056106567,0.2257288098335266,0.09128037840127945,0.12181597948074341,-0.7133350968360901,-0.6331170201301575,0.2748671770095825,-0.15004704892635345,0.25000643730163574,0.10002458840608597,3.680794179672375e-05,0.9999347925186157,-8.132367656799033e-05,8.398841600865126e-06,0.2983700931072235,0.22083856165409088,0.1658773571252823,0.21105659008026123,1.2338979244232178,-0.41132789850234985,-0.10120886564254761
