timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5,rotvec_action_0,rotvec_action_1,rotvec_action_2
0,-0.05238734930753708,0.3358131945133209,0.43999963998794556,-0.034096859395504,-0.989272952079773,0.13620801270008087,0.04029745236039162,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.08745714277029037,0.34535038471221924,0.40925607085227966,-0.042264699935913086,-0.9935468435287476,0.10061285644769669,0.030911561101675034,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.03506983444094658,0.009537200443446636,-0.03074360452592373,-0.015560573898255825,-0.01426601316779852,0.07290689647197723,3.040026903152466,-0.30785220861434937,-0.09458217024803162
2,-0.11514077335596085,0.35304492712020874,0.3844154477119446,-0.046676550060510635,-0.9968960881233215,0.059693530201911926,0.021356448531150818,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.027683541178703308,0.007694498635828495,-0.024840543046593666,-0.007878855802118778,-0.014851453714072704,0.08308929949998856,3.042060136795044,-0.1821574568748474,-0.06517037749290466
3,-0.136345773935318,0.35925450921058655,0.36472955346107483,-0.04851017892360687,-0.9986178874969482,0.01595933735370636,0.012426738627254963,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.02120504155755043,0.006209598854184151,-0.019685957580804825,-0.0026939415838569403,-0.013580611906945705,0.08834417909383774,3.043910026550293,-0.04864545539021492,-0.03787790611386299
4,-0.15254582464694977,0.3643209934234619,0.349200576543808,-0.048697829246520996,-0.9983591437339783,-0.029782049357891083,0.004541989881545305,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0162001084536314,0.0050665163435041904,-0.015529045835137367,0.00048548655468039215,-0.011301720514893532,0.09215136617422104,3.042773485183716,0.09076984226703644,-0.013842538930475712
5,-0.16491274535655975,0.3685164451599121,0.33699479699134827,-0.04782694950699806,-0.9958961009979248,-0.07680590450763702,-0.0021271829027682543,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.012366942130029202,0.004195460584014654,-0.012205814011394978,0.0023241923190653324,-0.008665668778121471,0.09471769630908966,3.036877155303955,0.23421163856983185,0.006486780941486359
6,-0.17435263097286224,0.3720490038394928,0.3274329602718353,-0.04628323018550873,-0.9911147356033325,-0.12446822971105576,-0.007565574254840612,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.009439858607947826,0.003532570553943515,-0.009561792016029358,0.003250966314226389,-0.006058418191969395,0.0962313786149025,3.025143623352051,0.379908949136734,0.023091737180948257
7,-0.181560218334198,0.37507364153862,0.319968044757843,-0.04433401674032211,-0.9839868545532227,-0.1722322702407837,-0.011851124465465546,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.007207551505416632,0.0030246307142078876,-0.007464883383363485,0.0035495019983500242,-0.00369742582552135,0.09691717475652695,3.0069658756256104,0.5263236165046692,0.036215443164110184
8,-0.18706558644771576,0.37770476937294006,0.314161479473114,-0.042169537395238876,-0.9745457768440247,-0.21966764330863953,-0.015110611915588379,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.005505352281033993,0.002631138311699033,-0.005806528497487307,0.0034221105743199587,-0.00168724509421736,0.09698135405778885,2.9820621013641357,0.6721711158752441,0.04623734578490257
9,-0.19127193093299866,0.3800273537635803,0.30966266989707947,-0.03992636501789093,-0.9628669023513794,-0.26643460988998413,-0.0174897238612175,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0042063104920089245,0.002322565531358123,-0.004498775582760572,0.0030199834145605564,-5.996143590891734e-05,0.09658869355916977,2.950380325317383,0.8163967728614807,0.053590670228004456
10,-0.1944851577281952,0.38210487365722656,0.306192010641098,-0.037699900567531586,-0.9490543603897095,-0.3122634291648865,-0.01913442090153694,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0032132358755916357,0.0020775110460817814,-0.003470649942755699,0.0024586431682109833,0.0011957944370806217,0.09586092829704285,2.912036657333374,0.9581363201141357,0.05871151387691498
11,-0.19693729281425476,0.3839850425720215,0.30352726578712463,-0.03555414080619812,-0.9332315921783447,-0.3569418489933014,-0.020181965082883835,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0024521525483578444,0.0018801697297021747,-0.0026647585909813643,0.0018247381085529923,0.002115510404109955,0.09488356113433838,2.8672714233398438,1.0966731309890747,0.06200757995247841
12,-0.19880430400371552,0.38570356369018555,0.30149269104003906,-0.033528316766023636,-0.9155354499816895,-0.40029990673065186,-0.020754992961883545,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0018670028075575829,0.0017184980679303408,-0.002034545410424471,0.0011816195910796523,0.0027468190528452396,0.09371418505907059,2.8164196014404297,1.2314209938049316,0.06384674459695816
13,-0.2002197504043579,0.38728657364845276,0.299950510263443,-0.03164330869913101,-0.8961145877838135,-0.44219690561294556,-0.02095824107527733,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0014154519885778427,0.0015830167103558779,-0.001542194513604045,0.0005728096002712846,0.003141190856695175,0.09238975495100021,2.759887218475342,1.361895203590393,0.06454815715551376
14,-0.20128537714481354,0.38875266909599304,0.29879337549209595,-0.029906418174505234,-0.8751245141029358,-0.4825212359428406,-0.02088095247745514,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0010656316298991442,0.0014661086024716496,-0.0011571351205930114,2.615302764752414e-05,0.0033483081497251987,0.09093227237462997,2.698140859603882,1.4876841306686401,0.06437870860099792
15,-0.2020789533853531,0.39011430740356445,0.2979387044906616,-0.028314100578427315,-0.8527289628982544,-0.5211790204048157,-0.020595254376530647,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0007935833418741822,0.0013616350479424,-0.0008546593599021435,-0.0004426337836775929,0.0034148332197219133,0.08935270458459854,2.6316869258880615,1.6084599494934082,0.06356106698513031
16,-0.2026602327823639,0.3913789987564087,0.297323614358902,-0.02685636840760708,-0.8290971517562866,-0.5580952167510986,-0.020159076899290085,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0005812786403112113,0.0012646967079490423,-0.000615077035035938,-0.0008280806359834969,0.003381646005436778,0.08765390515327454,2.5610721111297607,1.7239474058151245,0.06227058172225952
17,-0.2030753791332245,0.392550528049469,0.2969007194042206,-0.025519417598843575,-0.8044065833091736,-0.5932065844535828,-0.019616108387708664,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.00041514751501381397,0.0011715245200321078,-0.00042290418059565127,-0.001131177763454616,0.0032839924097061157,0.0858323946595192,2.4868669509887695,1.833931565284729,0.060644544661045074
