timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5,rotvec_action_0,rotvec_action_1,rotvec_action_2
0,-0.05238734930753708,0.3358131945133209,0.43999963998794556,0.034096859395504,0.989272952079773,-0.13620801270008087,-0.04029745236039162,-0.20000000298023224,0.4000000059604645,0.30000001192092896,-1.4600000213249587e-05,-0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.08785693347454071,0.348758339881897,0.40782430768013,0.05178824067115784,0.9877825379371643,-0.12981437146663666,-0.0689343512058258,-0.20000000298023224,0.4000000059604645,0.30000001192092896,-1.4600000213249587e-05,-0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.03546961769461632,0.012945147231221199,-0.03217537701129913,-0.02679397724568844,0.06204726919531822,0.01171951461583376,3.004885673522949,-0.3949018716812134,-0.2097020149230957
2,-0.11572664976119995,0.3592301309108734,0.38227975368499756,0.07365912199020386,0.9843589663505554,-0.12155182659626007,-0.1041005402803421,-0.20000000298023224,0.4000000059604645,0.30000001192092896,-1.4600000213249587e-05,-0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.02786976657807827,0.010471819899976254,-0.025544622913002968,-0.03330270200967789,0.07650233805179596,0.014811861328780651,2.9553372859954834,-0.36493435502052307,-0.31254103779792786
3,-0.13692887127399445,0.3674657940864563,0.3622531294822693,0.1011623814702034,0.9773893356323242,-0.1118282601237297,-0.14822545647621155,-0.20000000298023224,0.4000000059604645,0.30000001192092896,-1.4600000213249587e-05,-0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.02120226062834263,0.008235672488808632,-0.020026646554470062,-0.04244230315089226,0.09648530185222626,0.016682518646121025,2.887281656265259,-0.3303488492965698,-0.4378695487976074
4,-0.15296100080013275,0.37390363216400146,0.3462993800640106,0.13581959903240204,0.9643905758857727,-0.10101956874132156,-0.2032216191291809,-0.20000000298023224,0.4000000059604645,0.30000001192092896,-1.4600000213249587e-05,-0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.01603217050433159,0.006437873002141714,-0.01595378667116165,-0.054914552718400955,0.12138891220092773,0.017381809651851654,2.79282283782959,-0.2925468385219574,-0.5885195732116699
5,-0.1649811565876007,0.37886953353881836,0.3331574499607086,0.17854660749435425,0.9417108297348022,-0.08982286602258682,-0.27061739563941956,-0.20000000298023224,0.4000000059604645,0.30000001192092896,-1.4600000213249587e-05,-0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.012020104564726353,0.004965859930962324,-0.013141862116754055,-0.07048636674880981,0.15105895698070526,0.01609083078801632,2.663174629211426,-0.25402140617370605,-0.7653091549873352
6,-0.17382913827896118,0.382586270570755,0.3218136131763458,0.22888322174549103,0.9045382142066956,-0.07909523695707321,-0.3509517312049866,-0.20000000298023224,0.4000000059604645,0.30000001192092896,-1.4600000213249587e-05,-0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.008847973309457302,0.003716746810823679,-0.011343833990395069,-0.08799510449171066,0.18461832404136658,0.01210483442991972,2.490020751953125,-0.21773430705070496,-0.9661024212837219
7,-0.1801755279302597,0.38530755043029785,0.3116711378097534,0.2846722900867462,0.8474676012992859,-0.06903714686632156,-0.4427124857902527,-0.20000000298023224,0.4000000059604645,0.30000001192092896,-1.4600000213249587e-05,-0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.006346391048282385,0.002721266821026802,-0.010142485611140728,-0.10573895275592804,0.22003686428070068,0.0063373795710504055,2.2669239044189453,-0.1846698373556137,-1.1842294931411743
8,-0.18474991619586945,0.38752421736717224,0.3027530610561371,0.34311479330062866,0.7657260894775391,-0.058136988431215286,-0.5408844351768494,-0.20000000298023224,0.4000000059604645,0.30000001192092896,-1.4600000213249587e-05,-0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.004574391525238752,0.002216676250100136,-0.008918068371713161,-0.12279585748910904,0.2538866102695465,0.003051410662010312,1.990046501159668,-0.15109260380268097,-1.4057044982910156
9,-0.1883244812488556,0.38989725708961487,0.2954947054386139,0.40180110931396484,0.6564925312995911,-0.04419028386473656,-0.636883556842804,-0.20000000298023224,0.4000000059604645,0.30000001192092896,-1.4600000213249587e-05,-0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0035745722707360983,0.002373042283579707,-0.007258351892232895,-0.13916054368019104,0.28274640440940857,0.0062910886481404305,1.6593763828277588,-0.11169738322496414,-1.6098114252090454
