timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5,rotvec_action_0,rotvec_action_1,rotvec_action_2
0,-0.05238734930753708,0.3358131945133209,0.43999963998794556,0.034096859395504,0.989272952079773,-0.13620801270008087,-0.04029745236039162,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.08622211217880249,0.34570857882499695,0.40658918023109436,0.05551660805940628,0.9879662990570068,-0.12921856343746185,-0.06436681747436523,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.03383477404713631,0.00989538710564375,-0.03341047093272209,-0.03535569831728935,0.054049279540777206,0.013560483232140541,2.9986586570739746,-0.3922019302845001,-0.19536514580249786
2,-0.11257825791835785,0.3540422022342682,0.37988898158073425,0.08241279423236847,0.9847473502159119,-0.12081341445446014,-0.09425948560237885,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.026356158778071404,0.008333612233400345,-0.026700232177972794,-0.044707443565130234,0.06738363951444626,0.01592407189309597,2.9411842823028564,-0.3608381748199463,-0.2815287113189697
3,-0.1324293315410614,0.3609786033630371,0.3589479625225067,0.11655488610267639,0.9780577421188354,-0.1106320470571518,-0.13258430361747742,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.019851079210639,0.006936392281204462,-0.02094101719558239,-0.057192474603652954,0.08670973032712936,0.018563903868198395,2.8636627197265625,-0.3239203989505768,-0.38819462060928345
4,-0.1472453474998474,0.3669091463088989,0.3424120545387268,0.15990594029426575,0.9653847813606262,-0.09752306342124939,-0.18152576684951782,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.014816045761108398,0.005930545274168253,-0.01653594709932804,-0.0735054463148117,0.11182977259159088,0.0229430440813303,2.758265256881714,-0.2786393463611603,-0.5186499357223511
5,-0.15818503499031067,0.3721468150615692,0.32913821935653687,0.21421150863170624,0.942762553691864,-0.08055746555328369,-0.24253426492214203,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.010939705185592175,0.00523767713457346,-0.013273864053189754,-0.09414541721343994,0.14220187067985535,0.0285845547914505,2.6154308319091797,-0.22348381578922272,-0.6728439927101135
6,-0.16611653566360474,0.3768896460533142,0.31816643476486206,0.2802485525608063,0.9046602249145508,-0.06003543362021446,-0.3153511881828308,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.00793149508535862,0.004742832854390144,-0.010971791110932827,-0.11938158422708511,0.1755494773387909,0.033456332981586456,2.4253199100494385,-0.16095022857189178,-0.8454303741455078
7,-0.17171131074428558,0.38142234086990356,0.3087649941444397,0.35640692710876465,0.8447138667106628,-0.03741384297609329,-0.39753347635269165,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.005594773218035698,0.004532684106379747,-0.009401440620422363,-0.14766962826251984,0.20890676975250244,0.035801831632852554,2.181332588195801,-0.0966147631406784,-1.0265642404556274
8,-0.17555303871631622,0.3863576054573059,0.3005044758319855,0.43780940771102905,0.7573514580726624,-0.013807857409119606,-0.4843047261238098,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.003841729834675789,0.004935257602483034,-0.008260506205260754,-0.17518863081932068,0.23986442387104034,0.03634774312376976,1.8829345703125,-0.03432924300432205,-1.20408296585083
9,-0.17816050350666046,0.39241594076156616,0.29319530725479126,0.5174561142921448,0.6396313905715942,0.01059782039374113,-0.5683296918869019,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0026074654888361692,0.006058332044631243,-0.007309171836823225,-0.19868232309818268,0.2661038339138031,0.03746320307254791,1.5352187156677246,0.02543649449944496,-1.3640830516815186
10,-0.17995305359363556,0.39996016025543213,0.28681761026382446,0.5884653329849243,0.4922856092453003,0.035939205437898636,-0.6403685808181763,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0017925549764186144,0.007544208317995071,-0.006377707701176405,-0.21723294258117676,0.2859141528606415,0.041928693652153015,1.146669864654541,0.08371257781982422,-1.4915966987609863
11,-0.18124060332775116,0.40875306725502014,0.2815813422203064,0.6460438966751099,0.31945669651031494,0.06198324263095856,-0.6904584169387817,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0012875553220510483,0.008792904205620289,-0.00523625360801816,-0.23174948990345,0.29899394512176514,0.05317867919802666,0.7268908023834229,0.14103682339191437,-1.5710681676864624
12,-0.18222086131572723,0.41804561018943787,0.2779044806957245,0.6880428791046143,0.12764208018779755,0.0869879275560379,-0.7090399265289307,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0009802535641938448,0.0092925438657403,-0.003676852909848094,-0.24405908584594727,0.3058720529079437,0.07423236221075058,0.28565648198127747,0.19467511773109436,-1.586798071861267
13,-0.1829850822687149,0.42698997259140015,0.2759705185890198,0.7115855813026428,-0.0746898502111435,0.10646214336156845,-0.6904587149620056,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0007642239215783775,0.008944356814026833,-0.0019339595455676317,-0.25538691878318787,0.3070450723171234,0.09983064979314804,-0.16563273966312408,0.23609104752540588,-1.531164526939392
14,-0.1830700784921646,0.4280683696269989,0.2758932411670685,0.7132580280303955,-0.10260443389415741,0.10803981870412827,-0.6848815679550171,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0006236794870346785,0.007917039096355438,-0.0005664947675541043,-0.2651463747024536,0.30302560329437256,0.11715307086706161,-0.6140037178993225,0.2572501599788666,-1.4127260446548462
15,-0.1830713450908661,0.42808493971824646,0.2758921682834625,0.7132794857025146,-0.1030331552028656,0.10806341469287872,-0.6847912073135376,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0005887862062081695,0.007731132209300995,-0.00041501998202875257,-0.2663355767726898,0.30204689502716064,0.11887555569410324,-0.6743283271789551,0.2575899362564087,-1.3914763927459717
16,-0.1830713450908661,0.42808493971824646,0.2758921682834625,0.7132794857025146,-0.1030331552028656,0.10806341469287872,-0.6847912073135376,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.0005855191266164184,0.007725672330707312,-0.00041139154927805066,-0.2663489282131195,0.3020322024822235,0.11893215030431747,-0.6752511262893677,0.25759267807006836,-1.3911120891571045
