timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.05772483090978099,0.331087249973348,0.3927237665460789,-0.030942405103470398,-0.9896282057865655,0.13508158984123897,0.037835776244704994,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.08923726168135325,0.3456567562285333,0.3758724879200029,-0.024550900326578865,-0.9888398533303491,0.14373181557794057,0.030564079397835002,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.03150169178843498,0.014631216414272785,-0.016903147101402283,0.009983769617974758,-0.01665535196661949,-0.01754552684724331
2,-0.11451289517620176,0.3578677905285586,0.3623126264755665,-0.020622819991374518,-0.9875306549133014,0.1541878444087375,0.024166372063190313,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.025294143706560135,0.012211388908326626,-0.013632677495479584,0.005158113781362772,-0.014285414479672909,-0.0210720282047987
3,-0.13412257137147462,0.3677059578164696,0.35153680213477206,-0.018041605553616807,-0.9856379045511577,0.1668965977161835,0.018383341693312284,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.019647210836410522,0.009913675487041473,-0.010748183354735374,0.002806309377774596,-0.012699293904006481,-0.02569771371781826
4,-0.1492171918809336,0.3756338572898644,0.3431101686394763,-0.01617199422446382,-0.9830366819825901,0.18220991365540343,0.013300219740831468,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.015144805423915386,0.007964949123561382,-0.008416709490120411,0.0014416432240977883,-0.011133032850921154,-0.03090282343327999
5,-0.16077506697964852,0.3819150116464136,0.33648118517003495,-0.014902242520418796,-0.979585899829692,0.20027618741655984,0.008879007636131253,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.011614241637289524,0.006318888161331415,-0.006570905447006226,0.0005444376147352159,-0.009657192975282669,-0.0366545133292675
6,-0.16959888450143754,0.38685070207567396,0.3313514057123723,-0.01388484580441091,-0.9751135110497678,0.2212116963527903,0.005122208693822839,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.008870473131537437,0.004953430499881506,-0.005116052459925413,5.394425170379691e-05,-0.008320899680256844,-0.04285156726837158
7,-0.17630995190206467,0.39067408967414863,0.327352054716346,-0.013171949030203994,-0.9693919388052556,0.24515698342911688,0.0019550483546800857,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.006752363871783018,0.003830826375633478,-0.003995984792709351,-0.0003181690408382565,-0.007119079120457172,-0.04935823380947113
8,-0.18144515554482768,0.3935911996332257,0.3241804061800319,-0.012674411145993254,-0.9621896208403103,0.2720844864695413,0.0007246184431762545,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.005125732161104679,0.002922971732914448,-0.0031476900912821293,-0.0005089631304144859,-0.0060685682110488415,-0.05597319081425667
9,-0.18528018361959905,0.3957596591938096,0.3216518614661699,-0.012202305801878524,-0.9532518842514631,0.301925341382611,0.001742737830697268,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0038845904637128115,0.0022001962643116713,-0.002492691157385707,-0.0007238814723677933,-0.006016500759869814,-0.062375087291002274
10,-0.1882613863833855,0.39735197713548304,0.31965688846680157,-0.011666406936681287,-0.9424117030807592,0.33424839083753105,0.0014457067931599368,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.002969933208078146,0.0016431460389867425,-0.001991637283936143,-0.0011371684959158301,-0.007123328745365143,-0.06829864531755447
11,-0.19046876124588105,0.39857041497053863,0.31796015620315615,-0.011108409504531689,-0.929505282713642,0.3686375533282069,0.001699094436940828,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.002247280441224575,0.0012397775426506996,-0.001679316395893693,-0.0014646704075857997,-0.007198983337730169,-0.07359151542186737
12,-0.19216383734083245,0.39955818247784275,0.3165653842290834,-0.010495779540277694,-0.9144502007414015,0.4045587146692266,0.0017074428352638648,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0017104974249377847,0.0009428212651982903,-0.0014708178350701928,-0.0018675593892112374,-0.00745658902451396,-0.07799963653087616
13,-0.19341803690653941,0.4003120786324848,0.3152659126221131,-0.009950296778177825,-0.8972021571490744,0.44150462092331155,0.0017177032446443537,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.001292074448429048,0.0007251480710692704,-0.0013682568678632379,-0.0022949527483433485,-0.007391938474029303,-0.08145681023597717
14,-0.19436232717143334,0.40088417000219284,0.31402209493739686,-0.00946239803276739,-0.8779059620230573,0.47873653942603056,0.0017060733362466332,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0009729705052450299,0.0005784416571259499,-0.0013138058129698038,-0.0026546965818852186,-0.007217478938400745,-0.08396001905202866
15,-0.19505023634539348,0.40136965050722423,0.3128015290184808,-0.008992919592162264,-0.8566616302260899,0.5157976702646965,0.0016559121651028856,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0007226846064440906,0.00048386919661425054,-0.0012823166325688362,-0.002951245289295912,-0.0069342986680567265,-0.08557882905006409
16,-0.1955441635247563,0.4017869886840697,0.3116264088464586,-0.008573871435652042,-0.8336143290803807,0.5522780103135193,0.0016243166599831797,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0005290291155688465,0.0004143686965107918,-0.001253405469469726,-0.003210652619600296,-0.0065422761254012585,-0.0864349901676178
17,-0.19589229722970428,0.40214726253509,0.3104785137376369,-0.008214271118694348,-0.8088992054606317,0.5878879683254739,0.0015290040203631808,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0003791189519688487,0.00035890433355234563,-0.0012208925327286124,-0.0034141489304602146,-0.006095839198678732,-0.08666088432073593
18,-0.19614101804551637,0.4024633984328055,0.30938258557065956,-0.00790738050187761,-0.7827713531725553,0.6222574806850317,0.0014524866686756455,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0002620673622004688,0.0003104308561887592,-0.0011757755419239402,-0.003540661185979843,-0.00555732287466526,-0.0863751545548439
19,-0.19628616662204754,0.4027177005277413,0.3083128262370559,-0.007705453970568215,-0.7554577302790959,0.6551508032532575,0.0012917961431994113,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0001695847895462066,0.00026281943428330123,-0.001117351115681231,-0.003605461912229657,-0.004986507352441549,-0.08568303287029266
20,-0.19638447170002032,0.40293301707563006,0.30734479612592214,-0.007551747320645887,-0.7271303568490421,0.6864568080309463,0.0012107720489451213,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.00010196331277256832,0.00021745357662439346,-0.0010413402924314141,-0.0035495355259627104,-0.004340869840234518,-0.08467143774032593
21,-0.19641828554382426,0.4031026701638978,0.3064578958383007,-0.007472029435561941,-0.6978791158188059,0.7161758607368032,0.0010222416421417156,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-4.9931441026274115e-05,0.00016887356468942016,-0.0009603711077943444,-0.0034453831613063812,-0.0037117500323802233,-0.08341128379106522
22,-0.1964585033712448,0.4032051107190343,0.3056351629520022,-0.007462075594778525,-0.6680726394286705,0.7440581475914528,0.0008595797830175446,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-1.600447649252601e-05,0.00011824015382444486,-0.0008749241242185235,-0.0032451592851430178,-0.0029910849407315254,-0.08194682002067566
