timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.053456857318925036,0.3336807498440663,0.44260635606064047,-0.03079697217854161,-0.9896177929319478,0.13520685866000323,0.0377793037049194,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.060343567731349926,0.33624830212051954,0.4364798658092607,-0.030642878274339282,-0.9890993247126068,0.13905669249061658,0.037507014513282304,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.006954186595976353,0.0025588893331587315,-0.006189101375639439,-7.075294706737623e-05,-0.0006580202025361359,-0.007762074936181307
2,-0.066948581016512,0.3387087830555013,0.4305866938541452,-0.030334167251512726,-0.9885368681712208,0.1431418628144327,0.037217007851329705,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.00665706442669034,0.002482170704752207,-0.005954688880592585,8.07405958767049e-05,-0.0007400438189506531,-0.008255924098193645
3,-0.07323725389856997,0.3410876142406624,0.4247882780205525,-0.030181991865003352,-0.9879209957304461,0.14744040941779393,0.03691177634221934,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.006350435316562653,0.002394561655819416,-0.005713716149330139,0.0002046479203272611,-0.0008284344803541899,-0.0086396848782897
4,-0.07924549541227256,0.3434084693949256,0.4193535908375347,-0.029831938414918272,-0.987268979707116,0.15189520378089735,0.03657682636367514,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.006056743208318949,0.0023091251496225595,-0.005474576726555824,0.0003490365925244987,-0.0009145152289420366,-0.00902597140520811
5,-0.08499346016916581,0.3456224491108344,0.41418151569186024,-0.02930141913914151,-0.9865715323320732,0.15653943987626148,0.03624144301216202,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.005775498691946268,0.0022252940107136965,-0.005248776637017727,0.00045877648517489433,-0.0009818354155868292,-0.009414944797754288
6,-0.09044882949553422,0.34775420842136257,0.4090934291074403,-0.02892029211384594,-0.9858141057284181,0.1613914716946549,0.035874204035250844,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.005505791865289211,0.002145174192264676,-0.00503240991383791,0.0005379237118177116,-0.0010355068370699883,-0.009808922186493874
7,-0.09566822800213659,0.34978626629782533,0.40418262837568786,-0.028507718225773852,-0.9850094719746799,0.16638166287143943,0.03550763835932976,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.005248714704066515,0.00206762389279902,-0.0048181042075157166,0.0006367750465869904,-0.0010852408595383167,-0.010204519145190716
8,-0.10063130922859967,0.3517711279074502,0.3995889598584018,-0.027864286494026204,-0.9841537838844049,0.1715489774893021,0.0351547937920534,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0050021023489534855,0.001993536250665784,-0.004610040225088596,0.0007269112393260002,-0.0011284146457910538,-0.010599368251860142
9,-0.10536705644738116,0.3536975112549007,0.3952464984886516,-0.027185533431262773,-0.9832352525813599,0.17691358052321077,0.03479899251105737,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0047674463130533695,0.0019209205638617277,-0.004414128139615059,0.0007785047637298703,-0.001157423248514533,-0.010997078381478786
10,-0.10986586338184023,0.3555587147755147,0.3910781335044159,-0.026457593261722347,-0.9822424600304148,0.1825198943360896,0.034441742751189185,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.004543175920844078,0.0018502683378756046,-0.004227691795676947,0.0008207850041799247,-0.0011786052491515875,-0.011396745219826698
11,-0.1141996863965171,0.35730196222781757,0.38703161833856553,-0.025781693273633024,-0.9811862835524942,0.18826954384255434,0.03410806534685873,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.004329823423177004,0.0017818359192460775,-0.004047625698149204,0.0008531169150955975,-0.0011921008117496967,-0.011799804866313934
12,-0.11830370420791061,0.35899413318633805,0.383125374085042,-0.025107609878066248,-0.9800593541782395,0.19419860781606016,0.03376641728473692,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.004123838152736425,0.0017178287962451577,-0.003871968248859048,0.0008892653859220445,-0.0012066364288330078,-0.012200101278722286
13,-0.1222190801284792,0.36062824960781026,0.37935426819512735,-0.024474194212300498,-0.9788601214143927,0.20028994329207908,0.03343374251134203,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.003928539343178272,0.0016554122557863593,-0.0037015145644545555,0.0009226204128935933,-0.0012155685108155012,-0.012597456574440002
14,-0.12596330437112757,0.3621864757154051,0.37580533251021164,-0.0237298132363754,-0.9775789557451393,0.20658931955347323,0.03312301759264697,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.003741969121620059,0.0015949395019561052,-0.003536150325089693,0.0009585149236954749,-0.0012231628643348813,-0.012990804389119148
15,-0.12950449557550597,0.3637064424608434,0.3724429316069996,-0.022958409229161685,-0.97619844950173,0.2131431539730558,0.03285566238113181,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0035635982640087605,0.001537279924377799,-0.0033795051276683807,0.0009740678942762315,-0.0012244567042216659,-0.013383711688220501
16,-0.13288450732099136,0.3652092802838659,0.36921931111178496,-0.02216908934822819,-0.9747492950625118,0.21979908182942048,0.03256849519935599,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.00339481676928699,0.0014808365376666188,-0.003230116330087185,0.000982440891675651,-0.0012250201543793082,-0.01377703994512558
17,-0.1361157709255072,0.36664454111951583,0.3661852114762935,-0.02134576412668828,-0.9732213056748565,0.22658789037119267,0.032288952778121174,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.003233791794627905,0.0014246219070628285,-0.0030862027779221535,0.0009846572065725923,-0.0012195957824587822,-0.014160467311739922
