timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5,rotvec_action_0,rotvec_action_1,rotvec_action_2
0,-0.05238734930753708,0.3358131945133209,0.43999963998794556,0.034096859395504,0.989272952079773,-0.13620801270008087,-0.04029745236039162,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.04141262546181679,0.33800292015075684,0.4353701174259186,0.03575178608298302,0.9880339503288269,-0.14521649479866028,-0.03772161528468132,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.010974789969623089,0.002189736580476165,-0.00462955329567194,-0.004786815959960222,-0.0051601240411400795,-0.01785260997712612,3.0352776050567627,-0.4461108148097992,-0.11588221043348312
2,-0.030762262642383575,0.34013399481773376,0.4308634400367737,0.03736468404531479,0.986689031124115,-0.15428631007671356,-0.03527671843767166,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.010650423355400562,0.002131077693775296,-0.004506693687289953,-0.0046778186224401,-0.0049099987372756,-0.0180171187967062,3.028137683868408,-0.4735032021999359,-0.10826382786035538
3,-0.020450172945857048,0.34219497442245483,0.42648038268089294,0.038939837366342545,0.9852436184883118,-0.16338159143924713,-0.03294193372130394,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.010311951860785484,0.0020609525963664055,-0.004382994491606951,-0.004578256048262119,-0.004699160810559988,-0.018108654767274857,3.020775556564331,-0.5009303689002991,-0.10100060701370239
4,-0.010472430847585201,0.34418708086013794,0.42221957445144653,0.04047546908259392,0.9836979508399963,-0.17250123620033264,-0.030716750770807266,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.009977833367884159,0.001992126228287816,-0.004260838031768799,-0.004474710673093796,-0.004491340834647417,-0.018201256170868874,3.0131940841674805,-0.5283940434455872,-0.09408935904502869
5,-0.0008240130846388638,0.3461117744445801,0.41807931661605835,0.04197075217962265,0.9820516705513,-0.18164567649364471,-0.02860015444457531,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.009648516774177551,0.0019247143063694239,-0.004140275530517101,-0.004367285408079624,-0.004287501331418753,-0.018296070396900177,3.00539493560791,-0.5558948516845703,-0.08752568811178207
6,0.008500631898641586,0.3479706048965454,0.4140578508377075,0.04342389851808548,0.9803043603897095,-0.1908159703016281,-0.026590785011649132,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.009324392303824425,0.0018587803933769464,-0.004021345172077417,-0.004256061278283596,-0.004088402725756168,-0.018393954262137413,2.997380256652832,-0.5834380388259888,-0.08130405098199844
7,0.01750635728240013,0.34976494312286377,0.4101538062095642,0.04483408108353615,0.9784557819366455,-0.20001210272312164,-0.02468705363571644,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.009005814790725708,0.0017943786224350333,-0.003904077922925353,-0.004141141194850206,-0.003894706955179572,-0.01849578134715557,2.9891490936279297,-0.611030638217926,-0.07541810721158981
8,0.026199428364634514,0.35149648785591125,0.4063653349876404,0.04619939997792244,0.9765051007270813,-0.2092359960079193,-0.02288707159459591,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.008693147450685501,0.0017315656878054142,-0.0037885152269154787,-0.004022656008601189,-0.003707006573677063,-0.01860237307846546,2.980703592300415,-0.6386764645576477,-0.06986094266176224
9,0.03458617627620697,0.3531668782234192,0.4026906490325928,0.047518666833639145,0.9744513034820557,-0.2184896320104599,-0.02118874527513981,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.008386672474443913,0.0016703816363587976,-0.003674670122563839,-0.003900735406205058,-0.003525807522237301,-0.01871458813548088,2.9720423221588135,-0.6663853526115417,-0.06462492793798447
