timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5,rotvec_action_0,rotvec_action_1,rotvec_action_2
0,-0.05290555581450462,0.33408698439598083,0.4427972733974457,-0.030270695686340332,-0.9894375801086426,0.13605676591396332,0.0398191437125206,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.08790270239114761,0.3439845144748688,0.411477655172348,-0.03997504711151123,-0.9936495423316956,0.10053946077823639,0.03089301288127899,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.03499706834554672,0.009897504933178425,-0.03131953254342079,-0.01855347491800785,-0.013211495243012905,0.07276086509227753,0.30978962779045105,3.0617001056671143,0.12317345291376114
2,-0.11550348252058029,0.35197266936302185,0.3861696124076843,-0.04531240463256836,-0.9969542026519775,0.05969734862446785,0.02157266065478325,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.027600834146142006,0.007988161407411098,-0.02530807815492153,-0.00969632901251316,-0.014391997829079628,0.08292993903160095,0.18501164019107819,3.0897257328033447,0.14043079316616058
3,-0.13663192093372345,0.3584151566028595,0.36611127853393555,-0.04772680997848511,-0.9986504316329956,0.01603446900844574,0.012750858440995216,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.021128293126821518,0.006442439742386341,-0.02005819045007229,-0.0038305565249174833,-0.013422011397778988,0.08819405734539032,0.04997077211737633,3.1121373176574707,0.14873220026493073
4,-0.15276657044887543,0.3636644184589386,0.3502872884273529,-0.048276662826538086,-0.9983819723129272,-0.029645487666130066,0.004892637953162193,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.01613471284508705,0.00524930190294981,-0.01582406274974346,-0.00021123587794136256,-0.01131420861929655,0.09202565997838974,-0.09284589439630508,3.126777410507202,0.15119537711143494
5,-0.16508044302463531,0.368002712726593,0.33784815669059753,-0.04762983322143555,-0.9959204196929932,-0.07662086188793182,0.001796923577785492,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.012313884682953358,0.004338297992944717,-0.012439138256013393,0.0019109540153294802,-0.008762748911976814,0.0946199968457222,-0.24043665826320648,3.125202178955078,0.14946261048316956
6,-0.17444588243961334,0.3716464042663574,0.32808196544647217,-0.04651188850402832,-0.9911719560623169,-0.12406651675701141,0.004737585783004761,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.009365475736558437,0.0036436959635466337,-0.00976620800793171,0.002947306027635932,-0.008311020210385323,0.09588796645402908,-0.3885960876941681,3.104501485824585,0.14568251371383667
7,-0.18151859939098358,0.3747543692588806,0.3204021751880646,-0.04565471410751343,-0.9841655492782593,-0.17124275863170624,0.0031225085258483887,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.007072729524224997,0.0031079661566764116,-0.0076798321679234505,0.0034460516180843115,-0.01091841608285904,0.09601893275976181,-0.5369086265563965,3.0857160091400146,0.14314427971839905
8,-0.18689225614070892,0.37744835019111633,0.3144014775753021,-0.044600486755371094,-0.9749102592468262,-0.2180359810590744,0.004601806402206421,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.005373666528612375,0.002693989546969533,-0.006000733934342861,0.004169126506894827,-0.010516195558011532,0.09601087123155594,-0.6829813122749329,3.05383038520813,0.1397077590227127
9,-0.1909526288509369,0.37981727719306946,0.30970776081085205,-0.043817341327667236,-0.9635122418403625,-0.26402637362480164,0.00377577543258667,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.00406039459630847,0.0023689267691224813,-0.004693750757724047,0.004588341806083918,-0.011790533550083637,0.09542088955640793,-0.8274762034416199,3.0197083950042725,0.1373267024755478
