timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5,rotvec_action_0,rotvec_action_1,rotvec_action_2
0,-0.05290555581450462,0.33408698439598083,0.4427972733974457,-0.030270695686340332,-0.9894375801086426,0.13605676591396332,0.0398191437125206,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.08790270239114761,0.3439845144748688,0.411477655172348,-0.03997504711151123,-0.9936495423316956,0.10053946077823639,0.03089301288127899,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.03499706834554672,0.009897504933178425,-0.03131953254342079,-0.01855347491800785,-0.013211495243012905,0.07276086509227753,0.30978962779045105,3.0617001056671143,0.12317345291376114
2,-0.11550348252058029,0.35197266936302185,0.3861696124076843,-0.04531240463256836,-0.9969542026519775,0.05969734862446785,0.02157266065478325,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.027600834146142006,0.007988161407411098,-0.02530807815492153,-0.00969632901251316,-0.014391997829079628,0.08292993903160095,0.18501164019107819,3.0897257328033447,0.14043079316616058
3,-0.13663192093372345,0.3584151566028595,0.36611127853393555,-0.04772680997848511,-0.9986504316329956,0.01603446900844574,0.012750858440995216,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.021128293126821518,0.006442439742386341,-0.02005819045007229,-0.0038305565249174833,-0.013422011397778988,0.08819405734539032,0.04997077211737633,3.1121373176574707,0.14873220026493073
4,-0.15276657044887543,0.3636644184589386,0.3502872884273529,-0.048276662826538086,-0.9983819723129272,-0.029645487666130066,0.004892637953162193,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.01613471284508705,0.00524930190294981,-0.01582406274974346,-0.00021123587794136256,-0.01131420861929655,0.09202565997838974,-0.09284589439630508,3.126777410507202,0.15119537711143494
5,-0.16508042812347412,0.368002712726593,0.3378481864929199,-0.04762989282608032,-0.9959204196929932,-0.07662074267864227,-0.0017969384789466858,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.012313884682953358,0.004338297992944717,-0.012439138256013393,0.0019109540153294802,-0.008762748911976814,0.0946199968457222,0.24043665826320648,-3.125202178955078,-0.14946261048316956
6,-0.17447853088378906,0.3716467022895813,0.328102171421051,-0.04622167348861694,-0.991147518157959,-0.1242469996213913,-0.0072796642780303955,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.00939809251576662,0.003644003765657544,-0.009745980612933636,0.0030203349888324738,-0.006187485996633768,0.09615951031446457,0.38853397965431213,-3.099433183670044,-0.1445407271385193
7,-0.18165390193462372,0.3747582733631134,0.320492148399353,-0.04435080289840698,-0.9840319156646729,-0.17198626697063446,-0.011618554592132568,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.007175344508141279,0.0031115475576370955,-0.007610006723552942,0.0034350089263170958,-0.0038280964363366365,0.09686685353517532,0.5363489985466003,-3.068768262863159,-0.13831143081188202
8,-0.18713483214378357,0.3774572014808655,0.3145714998245239,-0.04222840070724487,-0.9746050238609314,-0.21940599381923676,-0.014931470155715942,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.005480905529111624,0.002698924159631133,-0.005920625291764736,0.0033794858027249575,-0.0018036343390122056,0.09694795310497284,0.6828065514564514,-3.0330445766448975,-0.13141851127147675
9,-0.19132284820079803,0.3798326551914215,0.30998319387435913,-0.040004193782806396,-0.9629407525062561,-0.2661643922328949,-0.0173589289188385,-0.20000000298023224,0.4000000059604645,0.30000001192092896,1.4600000213249587e-05,0.3153223991394043,0.9489846229553223,-4.400000034365803e-05,-0.004187993239611387,0.002375436946749687,-0.0045882705599069595,0.0030200460460036993,-0.00015530055679846555,0.09656817466020584,0.827061653137207,-2.9921858310699463,-0.12430722266435623
