timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.05290552561195448,0.334086969746574,0.4427972810365,-0.03027067065864356,-0.9894375509580271,0.13605681498846775,0.03981912037264716,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.08552731817244208,0.3478108812505835,0.41616487469264474,-0.02744416224706124,-0.9881050770482022,0.14754462007438476,0.03355234354302189,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.032621830701828,0.013723927550017834,-0.026632437482476234,0.0028926129452884197,-0.013760119676589966,-0.022941960021853447
2,-0.1117661507676855,0.35930779245823674,0.394430449572841,-0.025002841324566517,-0.986301803949879,0.16072605704163095,0.027399708735014402,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.026238763704895973,0.011496881023049355,-0.021734368056058884,0.0020254827104508877,-0.013482232578098774,-0.026408372446894646
3,-0.13215282531780156,0.3687034673345387,0.3771293567156245,-0.022626394816461528,-0.9838704981690405,0.17613158791865624,0.021553487594042558,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0203867107629776,0.009395691566169262,-0.017301123589277267,0.0018428413895890117,-0.012933974154293537,-0.03101000003516674
4,-0.14785371297897582,0.3762696282594286,0.3634501081971834,-0.02045888897706066,-0.9806350809711514,0.19409488169655273,0.016231103774201686,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.015700941905379295,0.007566187065094709,-0.013679295778274536,0.0014696186408400536,-0.011910827830433846,-0.036341842263936996
5,-0.1598708133443409,0.38227869626084365,0.3526776001247492,-0.018568383172809916,-0.9763995441215597,0.2148637202449699,0.011520725152929717,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.012017003260552883,0.006009019445627928,-0.010772421024739742,0.0010316855041310191,-0.0106852101162076,-0.0422489196062088
6,-0.16902389948195098,0.38698678671342995,0.34420651260688184,-0.016975503312922052,-0.9709420292138088,0.2385960503306674,0.007438612777262955,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.009153155609965324,0.004708126187324524,-0.008471151813864708,0.0006070712697692215,-0.009412731043994427,-0.0485803447663784
7,-0.17596904600022184,0.3906281269577092,0.3375326085389216,-0.015671068420391638,-0.9640226769562891,0.26532810554040176,0.003961355694112877,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.006945197470486164,0.003641366958618164,-0.006673953030258417,0.00024129915982484818,-0.008180714212357998,-0.0551215223968029
8,-0.18122237130998536,0.39341334788751214,0.33224041333535914,-0.01463052314269548,-0.9554028856500801,0.29494097043589373,0.0010477797499612788,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.005253359209746122,0.002785238903015852,-0.005292229354381561,-4.45211298938375e-05,-0.0070307510904967785,-0.061596520245075226
9,-0.18518499428101198,0.39552922632881377,0.32799086503430536,-0.01382224531035947,-0.9448711112597271,0.32714783932581804,0.0013490240314859205,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.003962645772844553,0.0021158906165510416,-0.00424957275390625,-0.0002449156891088933,-0.005978166591376066,-0.06769879907369614
