timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.052905525611954496,0.33408696974657404,0.44279728103650023,-0.03027067065864356,-0.9894375509580272,0.1360568149884669,0.039819120372648044,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.0589359434728718,0.3357600889268919,0.43726381349426474,-0.02988841836062702,-0.9890853530230013,0.13835766264865437,0.04091459482466433,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.006030436605215073,0.0016731243813410401,-0.0055334847420454025,0.0008499731193296611,0.001952552585862577,-0.0047457171604037285
2,-0.0647449972910689,0.33739148466150465,0.43192074132684066,-0.029439448159068276,-0.9887012444649362,0.14089212852407476,0.04186378154839454,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.005809036549180746,0.001631390885449946,-0.005343056283891201,0.0009204339585267007,0.0016333417734131217,-0.0052133584395051
3,-0.0703194637588128,0.33897590240029507,0.42677616434404964,-0.028928535483761845,-0.9882895273868946,0.14361657077093748,0.04267587716907125,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.005574516952037811,0.0015844320878386497,-0.005144623573869467,0.0009867886546999216,0.0013359482400119305,-0.005594004411250353
4,-0.07566830111046234,0.34051475863354336,0.4218234203562176,-0.028361101877564507,-0.9878481972784474,0.14653101766575397,0.04336182532886134,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.005348906386643648,0.0015388760948553681,-0.0049528079107403755,0.001044353935867548,0.0010619083186611533,-0.005975631531327963
5,-0.08080049106729514,0.34200946598949844,0.4170557306329238,-0.02774207169557823,-0.9873749547232813,0.14963637932991578,0.04393210926269472,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.005132030695676804,0.0014946609735488892,-0.004767541773617268,0.0010939061176031828,0.0008101686835289001,-0.00635971873998642
6,-0.08572401819017365,0.34346114017592233,0.41246709424073735,-0.027076268226127492,-0.9868674386354236,0.1529329418505025,0.04439650388325783,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0049236067570745945,0.0014516976661980152,-0.004588710609823465,0.0011360172647982836,0.000579500978346914,-0.006746198982000351
7,-0.09044731984345367,0.3448710307605301,0.4080509641388468,-0.02636801162241966,-0.9863230784938481,0.15642145016639736,0.044764301863645745,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0047233812510967255,0.001409914344549179,-0.004416204523295164,0.0011712271953001618,0.00036873231874778867,-0.007134872488677502
8,-0.09497852836580305,0.34624030679062623,0.40380094477828177,-0.0256213395305831,-0.9857391804344272,0.16010257847972575,0.04504419475654819,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.004531065002083778,0.0013692326610907912,-0.004249884746968746,0.0012000282295048237,0.0001766880159266293,-0.007525543216615915
9,-0.09932483702373371,0.3475698745631632,0.3997114046358544,-0.024840290541438853,-0.9851130564386024,0.16397616743678328,0.045244253919763056,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.004346370231360197,0.0013295866083353758,-0.004089598078280687,0.0012228799751028419,2.225823664048221e-06,-0.007917969487607479
10,-0.10349384105571742,0.3488607805610936,0.39577622766633985,-0.024028410805466596,-0.9844418261669837,0.16804256154137306,0.04537206054161432,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.004169038962572813,0.001290916814468801,-0.003935209941118956,0.0012402224820107222,-0.0001557366194901988,-0.00831177830696106
11,-0.10749261398979092,0.3501139368723096,0.3919896853964887,-0.02318912987959864,-0.9837225735340661,0.17230164179873733,0.04543464326261122,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0039987871423363686,0.0012531607644632459,-0.0037865557242184877,0.0012524437624961138,-0.00029826501850038767,-0.008706599473953247
12,-0.11132789659592911,0.35133018389252624,0.3883462702492213,-0.02232571061882191,-0.9829523380844051,0.17675294826030943,0.04543851869344505,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0038353456184267998,0.0012162670027464628,-0.003643475007265806,0.0012599140172824264,-0.00042638074955902994,-0.0091019906103611
13,-0.11500658585008201,0.35251044709053636,0.38484023669734946,-0.021441018560324567,-0.9821279998642534,0.18139638574119496,0.045389710791859016,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.003678453154861927,0.0011801874497905374,-0.0035058085341006517,0.0012629696866497397,-0.0005410565063357353,-0.009497431106865406
14,-0.11853435209606805,0.3536552977710998,0.3814669264993946,-0.020538268614897187,-0.9812466689326445,0.1862300392567911,0.04529378223670286,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0035278371069580317,0.0011448736768215895,-0.0033733779564499855,0.0012619128683581948,-0.0006432351074181497,-0.009892408736050129
15,-0.1219176279859794,0.354765590932088,0.3782208839956387,-0.01961997709770091,-0.9803051590752748,0.19125324106892458,0.04515583428216031,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0033832706976681948,0.001110291457735002,-0.00324603752233088,0.0012570478720590472,-0.0007337969145737588,-0.010286220349371433
16,-0.12516203974070528,0.3558419647463995,0.37509735354203294,-0.018688837389565685,-0.9793004428552755,0.19646404229459455,0.04498055208371389,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0032444915268570185,0.0010764002799987793,-0.0031236072536557913,0.0012486227788031101,-0.0008135984535329044,-0.010678263381123543
