timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.057621796994210744,0.33113748531080983,0.39282488104431845,-0.030813304186780677,-0.9896208025972738,0.1351799870918221,0.0377833090355424,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.0870587992165671,0.3404963177613702,0.37502666712622446,-0.025617721886667014,-0.9880026228415184,0.1465102498374098,0.041584808238077677,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0294769499450922,0.009392127394676208,-0.01773727312684059,0.010636039078235626,0.005600307136774063,-0.023537321016192436
2,-0.11098823382360488,0.34859133691247496,0.3603478782472862,-0.020381981782063904,-0.985418461395019,0.16346890784093734,0.04257871451559312,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.023971864953637123,0.008120108395814896,-0.014677959494292736,0.009285732172429562,-0.00013382341421674937,-0.034920867532491684
3,-0.12994417272210645,0.35540431576953657,0.3484358207963597,-0.015149778052807754,-0.9816331041710002,0.18547553641857928,0.042020928247684615,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.018981462344527245,0.006844859104603529,-0.011923250742256641,0.008223745040595531,-0.0035165981389582157,-0.04517544433474541
4,-0.14491178939656366,0.3611517392890065,0.3388118379597104,-0.010040911988541306,-0.9762904303622656,0.2123931828232595,0.04056244025827546,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.015001102350652218,0.005738336127251387,-0.009701552800834179,0.007080568466335535,-0.005268241744488478,-0.05528412386775017
5,-0.15671321574296593,0.36593370250179974,0.3309195815863954,-0.005216635858973331,-0.9690217557323175,0.24387934790211468,0.03863272310633875,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.011842804029583931,0.004757957998663187,-0.007936378009617329,0.005894690752029419,-0.005882901139557362,-0.06498689204454422
6,-0.16603011216684863,0.3698272816734884,0.3244546553579649,-0.0007780248071283647,-0.9595141713736218,0.2792709608620836,0.03660163971409042,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.009331676177680492,0.0038878475315868855,-0.006518109235912561,0.0047109066508710384,-0.005785469897091389,-0.07381773740053177
7,-0.1733431808666457,0.3729005926435181,0.3190200912131902,-0.003257703341526417,-0.9475002276435461,0.31786530360687665,0.03455943789003229,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.007321278098970652,0.003122415393590927,-0.0053793094120919704,0.00351550430059433,-0.00532617187127471,-0.08134501427412033
8,-0.17897910348589166,0.3754375621023625,0.3146257275300227,-0.002044454337802671,-0.9329242874803636,0.35856954964169885,0.032802013741018474,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.005649153143167496,0.002507489174604416,-0.004440888296812773,0.0059538292698562145,-0.006018372718244791,-0.08691810816526413
9,-0.183335951663631,0.37730339476791214,0.3108630416949354,-0.003426053783316609,-0.9157188755425514,0.40059373190526487,0.03117475082133048,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.004353385418653488,0.001939852605573833,-0.0036907698959112167,0.005983536131680012,-0.0059227170422673225,-0.09119284898042679
