timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5,rotvec_action_0,rotvec_action_1,rotvec_action_2
0,-0.05238734930753708,0.3358131945133209,0.43999963998794556,-0.034096859395504,-0.989272952079773,0.13620801270008087,0.04029745236039162,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.0018015847308561206,0.3474811613559723,0.4123789668083191,-0.03759506717324257,-0.9820193648338318,0.18316370248794556,0.025992125272750854,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.05058576539158821,0.011667955666780472,-0.027620678767561913,-0.015104125253856182,-0.029980549588799477,-0.09366118162870407,3.0133795738220215,-0.5620477199554443,-0.07975824177265167
2,0.03991303592920303,0.35716891288757324,0.3895699977874756,-0.03593715652823448,-0.9713799357414246,0.23414935171604156,0.017425861209630966,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.041714660823345184,0.009687756188213825,-0.02280900441110134,-0.003333671484142542,-0.02072196453809738,-0.10352577269077301,2.9837751388549805,-0.7192338705062866,-0.05352688580751419
3,0.07348765432834625,0.3647654354572296,0.3711288273334503,-0.031736839562654495,-0.9575642347335815,0.2861833870410919,0.012755063362419605,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.033574625849723816,0.007596514653414488,-0.01844117045402527,0.003168018301948905,-0.014306649565696716,-0.10742288082838058,2.948971748352051,-0.8813475370407104,-0.03928127512335777
4,0.10035835206508636,0.3705085515975952,0.3562587797641754,-0.02643570862710476,-0.9405992031097412,0.33831652998924255,0.01078313309699297,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.026870766654610634,0.005743158981204033,-0.014870062470436096,0.0066203102469444275,-0.009691751562058926,-0.1096179410815239,2.9062583446502686,-1.0453294515609741,-0.033317930996418
5,0.12180636823177338,0.37470757961273193,0.3442838490009308,-0.02090631239116192,-0.9206256866455078,0.3897448480129242,0.01049922313541174,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.021448034793138504,0.004199021961539984,-0.011974944733083248,0.008048583753407001,-0.006567054893821478,-0.11042256653308868,2.854358196258545,-1.2083864212036133,-0.032552435994148254
6,0.1389063596725464,0.37768372893333435,0.3346477448940277,-0.0156273003667593,-0.8978758454322815,0.43983015418052673,0.01114412397146225,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.017100032418966293,0.0029761572368443012,-0.00963614322245121,0.008223568089306355,-0.004545950330793858,-0.11014755070209503,2.793036937713623,-1.3681879043579102,-0.034666530787944794
7,0.15253329277038574,0.37973552942276,0.32689711451530457,-0.01083110086619854,-0.8726245760917664,0.4881191849708557,0.012194515205919743,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.013626833446323872,0.0020517793018370867,-0.007750572171062231,0.007674481254070997,-0.0032811120618134737,-0.10912052541971207,2.7226881980895996,-1.5229849815368652,-0.038047466427087784
8,0.16338813304901123,0.3811209797859192,0.320664644241333,-0.006607202347368002,-0.8451601266860962,0.5343066453933716,0.013312749564647675,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.010854859836399555,0.0013854507124051452,-0.006232457235455513,0.0067452178336679935,-0.0025037226732820272,-0.10760028660297394,2.6440377235412598,-1.6715500354766846,-0.04164833948016167
9,0.1720290631055832,0.38205260038375854,0.31565365195274353,-0.0029675480909645557,-0.8157653212547302,0.5781986713409424,0.01429813914000988,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.008640886284410954,0.0009316075011156499,-0.0050109694711863995,0.005650814156979322,-0.002022504573687911,-0.10576160997152328,2.5579729080200195,-1.813039779663086,-0.044833723455667496
10,0.1788984090089798,0.382699191570282,0.311626136302948,0.00011535087833181024,-0.784716010093689,0.6196730136871338,0.015042015351355076,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0068693640641868114,0.0006465985788963735,-0.0040275235660374165,0.004521690309047699,-0.00171025306917727,-0.1037115827202797,-2.465076446533203,1.9466177225112915,0.047252554446458817
11,0.18434661626815796,0.38319116830825806,0.308392196893692,0.0026852614246308804,-0.7522770762443542,0.6586592197418213,0.01549780834466219,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.005448224488645792,0.0004919703351333737,-0.003233943600207567,0.0034343779552727938,-0.0014856389025226235,-0.1015106663107872,-2.359315872192383,2.0657095909118652,0.0486045740544796
12,0.18865105509757996,0.3836263418197632,0.3058013916015625,0.0047926283441483974,-0.7187054753303528,0.6951217651367188,0.01565745659172535,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.004304432310163975,0.00043517418089322746,-0.0025907959789037704,0.0024322643876075745,-0.0013002826599404216,-0.09918969124555588,-2.251016616821289,2.177151679992676,0.049039728939533234
13,0.1920313984155655,0.38407567143440247,0.3037351965904236,0.006488114595413208,-0.6842513084411621,0.729051947593689,0.015536386519670486,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0033803104888647795,0.0004493354936130345,-0.0020661575254052877,0.001537330448627472,-0.0011268658563494682,-0.09676139056682587,-2.1408069133758545,2.2809696197509766,0.04860931262373924
14,0.19466184079647064,0.3845880329608917,0.3021007180213928,0.007818695157766342,-0.6491611003875732,0.7604596614837646,0.015164393931627274,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.002630437258630991,0.0005123703740537167,-0.0016344700707122684,0.0007583812111988664,-0.0009518435108475387,-0.09422773122787476,-2.029310464859009,2.3772354125976562,0.047404684126377106
15,0.19668111205101013,0.38519415259361267,0.3008250594139099,0.008828958496451378,-0.6136753559112549,0.7893745303153992,0.014577236026525497,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.002019276609644294,0.0006061113672330976,-0.0012756680371239781,9.657293412601575e-05,-0.0007709359633736312,-0.09158427268266678,-1.9171556234359741,2.466050863265991,0.04553983360528946
16,0.1982002854347229,0.3859097361564636,0.299850732088089,0.0095589654520154,-0.5780311226844788,0.8158418536186218,0.01381323579698801,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0015191695420071483,0.0007155886851251125,-0.0009743263362906873,-0.00045262128696776927,-0.0005840903031639755,-0.0888226255774498,-1.8049689531326294,2.5475621223449707,0.04313313588500023
17,0.19930915534496307,0.386738121509552,0.2991317808628082,0.01004507765173912,-0.5424620509147644,0.8399210572242737,0.012910580262541771,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0011088668834418058,0.0008283867500722408,-0.0007189636235125363,-0.0008964076987467706,-0.0003940975293517113,-0.08593227714300156,-1.6933809518814087,2.6219482421875,0.040302131325006485
18,0.20008143782615662,0.3876723349094391,0.29863032698631287,0.010320078581571579,-0.5071983337402344,0.8616853952407837,0.011905576102435589,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0007722853915765882,0.0009342185221612453,-0.0005014625494368374,-0.0012437523109838367,-0.00020491238683462143,-0.08290190249681473,-1.5830250978469849,2.689422369003296,0.03715843707323074
19,0.20057885348796844,0.3886970579624176,0.2983139157295227,0.01041377242654562,-0.47246497869491577,0.881221354007721,0.010831610299646854,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.000497414090204984,0.0010247154859825969,-0.00031640875386074185,-0.0015043795574456453,-2.0664743715315126e-05,-0.07972099632024765,-1.4745323657989502,2.7502334117889404,0.03380484879016876
20,0.20085425674915314,0.389790415763855,0.2981534004211426,0.010352740064263344,-0.43848147988319397,0.8986280560493469,0.00971891451627016,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0002753972075879574,0.0010933703742921352,-0.00016050906560849398,-0.0016882047057151794,0.00015499760047532618,-0.0763816311955452,-1.368525505065918,2.80466628074646,0.030333654955029488
21,0.2009538859128952,0.3909260034561157,0.29812148213386536,0.01016130018979311,-0.4054591655731201,0.9140163064002991,0.008594565093517303,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,9.962906915461645e-05,0.001135589904151857,-3.190981442457996e-05,-0.0018046960467472672,0.00031886270153336227,-0.07288094609975815,-1.2656117677688599,2.853039026260376,0.026827074587345123
22,0.20091883838176727,0.3920748233795166,0.29819196462631226,0.00986102782189846,-0.37359413504600525,0.9275097250938416,0.0074815633706748486,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,-3.504166306811385e-05,0.0011488123564049602,7.047979306662455e-05,-0.0018628910183906555,0.0004683176230173558,-0.0692240297794342,-1.1663686037063599,2.8957059383392334,0.023357456550002098
23,0.2007857710123062,0.39320749044418335,0.2983395755290985,0.009472065605223179,-0.34306517243385315,0.9392420649528503,0.006400016136467457,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0001330637460341677,0.0011326535604894161,0.00014762311184313148,-0.0018707960844039917,0.0006015138933435082,-0.0654257982969284,-1.0713191032409668,2.9330544471740723,0.01998564787209034
24,0.20058700442314148,0.3942963182926178,0.29854050278663635,0.009012890979647636,-0.31402578949928284,0.9493565559387207,0.005366547033190727,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,-0.00019876370788551867,0.0010888344841077924,0.00020091338956262916,-0.0018360018730163574,0.0007169494638219476,-0.06151314452290535,-0.9809205532073975,2.965498685836792,0.01676354371011257
25,0.2003503292798996,0.3953173756599426,0.2987729609012604,0.008500072173774242,-0.2865998148918152,0.9580026268959045,0.00439497921615839,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0002366782136959955,0.0010210460750386119,0.00023245094052981585,-0.0017654582625254989,0.0008136058459058404,-0.05752449855208397,-0.8955395221710205,2.9934756755828857,0.013732928782701492
26,0.2000986486673355,0.3962518274784088,0.29901814460754395,0.0079493448138237,-0.2608751952648163,0.9653335213661194,0.003496055956929922,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0002516866661608219,0.0009344427962787449,0.000245176546741277,-0.0016653701895847917,0.0008904347196221352,-0.0535079650580883,-0.8154408931732178,3.017432451248169,0.01092772651463747
27,0.19984979927539825,0.39708688855171204,0.29926079511642456,0.0073756068013608456,-0.23690122365951538,0.9715021252632141,0.0026774185243993998,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0002488442696630955,0.0008350669522769749,0.0002426612190902233,-0.0015418395632877946,0.0009467618656344712,-0.049517177045345306,-0.7407742738723755,3.0378150939941406,0.008372502401471138
28,0.19961665570735931,0.3978159725666046,0.2994895875453949,0.006791376508772373,-0.21469178795814514,0.9766563177108765,0.001944392453879118,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,-0.00023314887948799878,0.0007290988578461111,0.00022878377058077604,-0.0014009341830387712,0.0009823845466598868,-0.045606181025505066,-0.6715742945671082,3.055060625076294,0.006082421634346247
29,0.19940747320652008,0.3984382152557373,0.2996969521045685,0.0062097664922475815,-0.19422547519207,0.9809364676475525,0.0012996596051380038,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,-0.00020917663641739637,0.0006222336669452488,0.00020736186706926674,-0.0012479395372793078,0.0009969243546947837,-0.04182501882314682,-0.6077759265899658,3.0695791244506836,0.004066749010235071
30,0.19922664761543274,0.39895740151405334,0.29987868666648865,0.00564174447208643,-0.1754506379365921,0.9844717979431152,0.0007430266123265028,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0001808286615414545,0.0005191787495277822,0.00018174228898715228,-0.001088877092115581,0.0009909177897498012,-0.03821542114019394,-0.5492227077484131,3.0817501544952393,0.0023257751017808914
31,0.19907546043395996,0.3993808329105377,0.3000333607196808,0.005097085144370794,-0.15829342603683472,0.9873789548873901,0.0002721998898778111,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0001511813170509413,0.0004234208900015801,0.00015468626224901527,-0.0009290240705013275,0.0009654680616222322,-0.034808553755283356,-0.495685338973999,3.091917037963867,0.0008522048592567444
32,0.19895301759243011,0.3997180461883545,0.30016157031059265,0.004584252834320068,-0.1426633596420288,0.98976069688797,-0.00011719914618879557,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,-0.00012243996025063097,0.00033720573992468417,0.00012820391566492617,-0.0007733367383480072,0.0009222092339769006,-0.031624797731637955,-0.4468865692615509,3.1003828048706055,-0.00036716615431942046
33,0.19885696470737457,0.39997971057891846,0.30026519298553467,0.004109923727810383,-0.1284598708152771,0.991706132888794,-0.00043133588042110205,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,-9.605893865227699e-05,0.00026165274903178215,0.00010363561887061223,-0.0006263077375479043,0.0008634949335828424,-0.02867431379854679,-0.4025173783302307,3.1074109077453613,-0.0013512909645214677
34,0.19878414273262024,0.4001767039299011,0.3003469407558441,0.0036797006614506245,-0.11557911336421967,0.9932912588119507,-0.0006774570210836828,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,-7.282206934178248e-05,0.00019698357209563255,8.17510299384594e-05,-0.0004915759200230241,0.0007921570795588195,-0.025958780199289322,-0.36225345730781555,3.113227367401123,-0.0021234743762761354
35,0.19873110949993134,0.40031948685646057,0.30040979385375977,0.003296802518889308,-0.10391443222761154,0.9945803880691528,-0.0008643788169138134,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,-5.303332727635279e-05,0.00014277092122938484,6.284890696406364e-05,-0.0003723532136064023,0.0007114740437828004,-0.023473642766475677,-0.32577288150787354,3.118025541305542,-0.0027099261060357094
36,0.19869443774223328,0.40041765570640564,0.3004567325115204,0.002962422091513872,-0.09336260706186295,0.9956272840499878,-0.0010013026185333729,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,-3.66666354238987e-05,9.817918908083811e-05,4.693968367064372e-05,-0.00027051419601775706,0.0006250808364711702,-0.02120915614068508,-0.29275473952293396,3.1219701766967773,-0.003139868611469865
