timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.05290552561195455,0.334086969746574,0.44279728103650023,-0.03027067065864356,-0.9894375509580272,0.13605681498846678,0.03981912037264783,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.0598804384616361,0.3366316791598217,0.4366008033744738,-0.03012337641510361,-0.9889082364464755,0.13997274649359465,0.03950585172750467,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.00697499280795455,0.0025447385851293802,-0.006196548696607351,-0.0001376499276375398,-0.0008549411431886256,-0.007886089384555817
2,-0.06655453515041047,0.33910072948785913,0.43064149193099094,-0.029883893305642263,-0.9883312990276187,0.14413121022777262,0.039171297164561115,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.006674098316580057,0.002469050930812955,-0.0059593128971755505,1.6671268895152025e-05,-0.0009336820221506059,-0.00838498305529356
3,-0.07291910934587083,0.3414819060713161,0.4249257744048117,-0.029563059090272636,-0.9877117681003507,0.14847699627100133,0.038808121207362156,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0063643865287303925,0.002381106372922659,-0.005715548992156982,0.00015193209401331842,-0.0010215166257694364,-0.008771829307079315
4,-0.0789869850555502,0.34377757672281894,0.4194458927183068,-0.029169789187993372,-0.9870464501816394,0.15301034562834837,0.03842216434879901,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.006067825015634298,0.0022956514731049538,-0.005479835905134678,0.0002710430126171559,-0.0010956000769510865,-0.009160482324659824
5,-0.08477100595752245,0.3459903916511731,0.4141938297413015,-0.02871209314841275,-0.9863319086491474,0.15773255035069145,0.038018735479146144,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0057840971276164055,0.0022128440905362368,-0.0052521321922540665,0.0003755546931643039,-0.001157082850113511,-0.009552584029734135
6,-0.09028377834259253,0.3481230560340467,0.4091615368731859,-0.028197265401289372,-0.9855646114133402,0.16264488411788913,0.0376025613999844,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0055127996020019054,0.0021326749119907618,-0.005032317712903023,0.0004667274479288608,-0.0012071399250999093,-0.00994779635220766
7,-0.09553720755978269,0.350178142796913,0.4043413659879771,-0.02763208610374497,-0.9847410195436794,0.1677480227916264,0.03717785759198753,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.005253512877970934,0.002055119490250945,-0.004820247646421194,0.0005457119550555944,-0.0012468814384192228,-0.010345677845180035
8,-0.10054308785907876,0.3521583048106546,0.3997255448070881,-0.027022674953467142,-0.9838574899651525,0.17304270159691346,0.03674830474825502,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.005005829036235809,0.0019801417365670204,-0.0046157739125192165,0.0006135646835900843,-0.0012773474445566535,-0.010745672509074211
9,-0.10531248602961019,0.35406602361138545,0.39530675636484947,-0.026374757985612014,-0.982910409689513,0.1785288878672808,0.03631714281253472,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.004769324325025082,0.0019076892640441656,-0.0044187200255692005,0.0006712488830089569,-0.0012995084980502725,-0.011147163808345795
10,-0.10985599307556708,0.3559036941729829,0.39107792065078373,-0.02569364026769473,-0.98189617735149,0.18420598281342,0.03588717943873159,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.004543590825051069,0.0018377044470980763,-0.004228913690894842,0.0007196473889052868,-0.0013142719399183989,-0.011549435555934906
11,-0.11418414767403026,0.35767378524558024,0.38703181466503517,-0.024984044728185422,-0.9808110933127957,0.19007348721709685,0.03546076988322061,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0043282276019454,0.0017701209289953113,-0.004046174231916666,0.0007595686474815011,-0.0013224809663370252,-0.01195167750120163
12,-0.11830701651706713,0.35937866928770185,0.3831614640538588,-0.02425032906774416,-0.9796514694080267,0.1961303799541111,0.03503989277746507,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.004122821148484945,0.001704864320345223,-0.0038703058380633593,0.0007917353068478405,-0.0013249145122244954,-0.012353058904409409
