timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.052905525611954454,0.3340869697465741,0.44279728103650035,-0.030270670658642886,-0.9894375509580272,0.13605681498846708,0.03981912037264783,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.08305779411874668,0.34245261566715973,0.4151297805991697,-0.028357358085997365,-0.9876096653663194,0.1475516514070735,0.045293700273377396,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.030152184888720512,0.008365622721612453,-0.027667423710227013,0.004249865654855967,0.009762763045728207,-0.023728586733341217
2,-0.10762286877005114,0.3497863653950284,0.39227442087291753,-0.024753579810942693,-0.9849016932462104,0.16475193181218428,0.0470395141497497,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.024565069004893303,0.007333748042583466,-0.022855354472994804,0.005922044161707163,0.0016547659179195762,-0.03520078584551811
3,-0.12709198198527716,0.3560435881032744,0.37379505313052763,-0.02011868854634988,-0.9810506813597927,0.18699182092687044,0.046570998283424085,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.019469166174530983,0.006257239729166031,-0.018479418009519577,0.006693185307085514,-0.003189142793416977,-0.04549422860145569
4,-0.14250165344343108,0.36135800791503037,0.3588650242603259,-0.015013480594533,-0.9756635593891856,0.21409912199094405,0.04490857649903302,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.01540969219058752,0.005314426962286234,-0.01493004895746708,0.0066545563749969006,-0.0057608443312346935,-0.055618058890104294
5,-0.15468831596100704,0.3658288036427946,0.3467847609201058,-0.009833122199204788,-0.9683422940604257,0.24575101123894255,0.042696038652840176,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.012186636216938496,0.004470786079764366,-0.01208023726940155,0.006099477410316467,-0.006829642690718174,-0.0653086006641388
6,-0.16430829719242201,0.36953467913442267,0.3369848572948497,-0.0048652482439998515,-0.9587384103857807,0.2813775422408394,0.040294770541294496,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.009620021097362041,0.0037058908492326736,-0.00979994423687458,0.005211256444454193,-0.006974459625780582,-0.07411237061023712
7,-0.17187738996488194,0.37254876143483656,0.32901187701034096,-0.00031512059136816733,-0.946598670255905,0.32018123751900845,0.03787919362343547,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.007569033186882734,0.0030140585731714964,-0.007972917519509792,0.004120898433029652,-0.006593342404812574,-0.08160184323787689
8,-0.17780460668215342,0.3749484131006602,0.32251039774717744,-0.003681876951033445,-0.9317934356853033,0.36122855373133794,0.03551575657454483,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0059271762147545815,0.0023996352683752775,-0.006501434836536646,0.0029358372557908297,-0.005940168630331755,-0.08751974254846573
9,-0.18234882509432324,0.376868183400575,0.3171929233259317,-0.0018852199340998086,-0.9144354211755092,0.4033320074163585,0.03357972958288391,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.004544216673821211,0.0019197695655748248,-0.0053174723871052265,0.005859661381691694,-0.00670938054099679,-0.09141711890697479
10,-0.18584028391643134,0.3783502166793853,0.3128447090037269,-0.0035257648409559683,-0.8945309414658845,0.44586013498913435,0.031791567591355194,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.003491445677354932,0.001482027699239552,-0.00434819795191288,0.005524569656699896,-0.006461202632635832,-0.09422584623098373
11,-0.18847904629477394,0.3795094984861294,0.3092877095899583,-0.0026277557686649644,-0.8722924368505582,0.4880313655511755,0.03040371278627241,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.002638767706230283,0.0011592841474339366,-0.0035570065956562757,0.006935819983482361,-0.006856154650449753,-0.09569616615772247
12,-0.19047203571403404,0.38040502305358165,0.3063859505323798,-0.00342194436144384,-0.8478694077518538,0.5293916654408637,0.02915857090216265,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0019929930567741394,0.0008955262019298971,-0.002901764353737235,0.00669803936034441,-0.0068120332434773445,-0.09639427810907364
13,-0.19195572163129024,0.3811269285477012,0.30402207937587966,-0.0029528494481171645,-0.8215089411320478,0.5694900132415742,0.028203991532229113,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0014836901100352407,0.0007219075341708958,-0.002363877836614847,0.00728316605091095,-0.007108104880899191,-0.09630968421697617
14,-0.19306002696031693,0.38172883554255355,0.30210547173267566,-0.0033389827103347623,-0.7934120990452493,0.6080608056870849,0.027352310144570298,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.001104308059439063,0.0006019084830768406,-0.0019166123820468783,0.007028514053672552,-0.007211217191070318,-0.09576153010129929
15,-0.19387512446589455,0.3822744929714068,0.3005580014724309,-0.0030842632852732623,-0.763824347335187,0.644864844976714,0.02668680293930655,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0008150995709002018,0.0005456588114611804,-0.00154747418127954,0.007174888160079718,-0.007497439626604319,-0.09476708620786667
16,-0.194482408217603,0.3828034665288893,0.2993193430021466,-0.00327673906803264,-0.7329603116114849,0.6797632813432612,0.026083058120498864,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0006072842516005039,0.0005289739929139614,-0.0012386594898998737,0.006888173054903746,-0.007697041612118483,-0.09348919242620468
17,-0.19494013603418586,0.3833563295270787,0.2983386396155985,-0.003135881450302787,-0.7010556826233018,0.7126403906160924,0.02558846950580216,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0004577295039780438,0.0005528650362975895,-0.0009807070018723607,0.00680611003190279,-0.007997002452611923,-0.09193509072065353
18,-0.1952990083615294,0.38395730174223314,0.2975768865307167,-0.003238167730859538,-0.668326154075743,0.7434368846054616,0.0251249807203598,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.00035887371632270515,0.0006009745411574841,-0.0007617560331709683,0.0064972760155797005,-0.008255530148744583,-0.09018375724554062
19,-0.19559576335701942,0.38462791972505495,0.2970019604381374,-0.003161302935746304,-0.6349965804963362,0.7721128109266335,0.024721572051172928,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.00029675225960090756,0.000670611800160259,-0.000574920792132616,0.006299613509327173,-0.00856846384704113,-0.08823320269584656
20,-0.19586116247626364,0.38537800597935046,0.29658910489766793,-0.0032230128237143033,-0.6012815429040221,0.7986601913583719,0.02433140133050056,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0002654002164490521,0.0007500893552787602,-0.00041285724728368223,0.005981523543596268,-0.008857847191393375,-0.08611944317817688
21,-0.1961169178732545,0.38621334211843666,0.2963178064862122,-0.003184051319811472,-0.5673974464347618,0.8230888335180879,0.02397439747600801,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0002557554398663342,0.0008353362791240215,-0.00027129845693707466,0.005729166325181723,-0.009174752049148083,-0.08383520692586899
22,-0.1963798477747347,0.38713088475984747,0.2961713580628511,-0.0032270004759056546,-0.5335535525794941,0.845430141425968,0.023623483362904266,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.00026293107657693326,0.0009175467421300709,-0.00014644907787442207,0.005412213038653135,-0.009473959915339947,-0.08139451593160629
23,-0.1966602208606149,0.3881233093211836,0.2961348476859229,-0.0032108436662613518,-0.4999595509124732,0.8657294869121609,0.023293634863534494,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0002803743991535157,0.0009924292098730803,-3.651054794318043e-05,0.00513749523088336,-0.00978370662778616,-0.07878777384757996
24,-0.19696403398689846,0.38917674301400434,0.29619441356695836,-0.0032442457458750325,-0.46681805710630053,0.8840490739576136,0.02296979024120992,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0003038146533071995,0.001053438987582922,5.9566180425463244e-05,0.004828650038689375,-0.010076536796987057,-0.07601922005414963
25,-0.19729222716897823,0.3902738515955513,0.29633614048649415,-0.0032408369303237637,-0.4343290918182105,0.9004632705104559,0.022663526600535427,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.00032819443731568754,0.0010971127776429057,0.00014172746159601957,0.004549309145659208,-0.010368426330387592,-0.0730816125869751
26,-0.19764221360942547,0.3913932156771575,0.2965456172998686,-0.003267866978895811,-0.4026833447431116,0.9150602056016394,0.022366605379316264,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0003499881422612816,0.0011193695245310664,0.0002094778319587931,0.004253169987350702,-0.010641917586326599,-0.069979727268219
27,-0.19800785022542455,0.39251197883694944,0.2968077151887936,-0.0032701176376810854,-0.3720618220705107,0.9279393478187159,0.02208786223208672,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0003656351182144135,0.0011187585769221187,0.000262096815276891,0.003979895263910294,-0.010906356386840343,-0.06671645492315292
28,-0.19838087302051002,0.3936062500333484,0.29710680567355885,-0.003291451469591963,-0.3426305887901411,0.9392109565894811,0.02182257993035453,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0003730245807673782,0.0010942764347419143,0.0002990919165313244,0.003700455417856574,-0.011150263249874115,-0.06330781430006027
29,-0.19875154828920702,0.3946536469786747,0.29742733681942024,-0.003294854437416428,-0.3145353905718781,0.9489947582568625,0.021577321729799752,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0003706776478793472,0.0010474036680534482,0.00032053320319391787,0.0034411505330353975,-0.011379730887711048,-0.05977479740977287
