timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.05290552561195465,0.334086969746574,0.44279728103650023,-0.030270670658643563,-0.9894375509580273,0.13605681498846633,0.03981912037264783,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.1933528241222388,0.4066894626391402,0.2991192618862401,-0.05235389168643631,-0.9877260963941601,0.13644563342230576,0.055125471854898744,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.14044730365276337,0.07260249555110931,-0.14367802441120148,-0.03967424854636192,0.036415666341781616,-0.0004031879943795502
2,-0.1983750135034007,0.4009354205692176,0.2996900111196338,-0.029650002835494207,-0.9886406371194099,0.14255182449058829,0.037276605295911994,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.005022161640226841,-0.005754010286182165,0.0005707460804842412,0.03940754383802414,-0.042201269418001175,-0.012448917143046856
3,-0.19875670541141024,0.4018805103968178,0.3001934445479336,-0.0178418959962676,-0.9884686377142927,0.1483867859267245,0.024347089453258777,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.00038169612525962293,0.0009451002697460353,0.0005034389905631542,0.019217919558286667,-0.02926710806787014,-0.011700795032083988
4,-0.19910987917190587,0.4018945426901015,0.30059308762640136,-0.010844856774505337,-0.987813296715457,0.15442142765255693,0.016164856801932928,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.00035317937727086246,1.4032516446604859e-05,0.0003996494342572987,0.011087763123214245,-0.01843656785786152,-0.012173866853117943
5,-0.19930674118829128,0.40191366280083035,0.3008915533010898,-0.006851351433399165,-0.9868710637632968,0.16099367961453126,0.010936069422270421,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.00019686621089931577,1.912051811814308e-05,0.0002984720340464264,0.006042193621397018,-0.011676067486405373,-0.013291551731526852
6,-0.19942228297057937,0.4018734982512018,0.30109459425617596,-0.004618655804986903,-0.9856970159056627,0.16829243048819972,0.007597281987727847,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.00011553306103451177,-4.0161517972592264e-05,0.00020302562916185707,0.003155542304739356,-0.007382524199783802,-0.014785753563046455
7,-0.1994862688038148,0.40179482996465277,0.30125408444978513,-0.003413100264868957,-0.9842845610621412,0.176471579661018,0.005480435496844713,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-6.398770347004756e-05,-7.867058593546972e-05,0.00015949485532473773,0.0015269570285454392,-0.004633237607777119,-0.016599325463175774
8,-0.19951705685068377,0.40168412781963514,0.30139105197860727,-0.002806165654495124,-0.9825991833621707,0.18567065075793587,0.004168901226873133,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-3.078866211581044e-05,-0.00011070435721194372,0.0001369702658848837,0.0006196484318934381,-0.002840503351762891,-0.0187023114413023
9,-0.19952538421511662,0.40154582892578317,0.30151927622933256,-0.002548190084520064,-0.9805909924741395,0.19601846888178828,0.003401773524889702,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-8.327398063556757e-06,-0.00013829945237375796,0.00012822476855944842,0.0001245767343789339,-0.0016447283560410142,-0.021079590544104576
10,-0.19951760763355914,0.40138240813794984,0.3016463837426685,-0.002494571302521224,-0.9781983851379992,0.20763577171083822,0.0030137573678234806,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,7.776287930028047e-06,-0.00016341461741831154,0.00012710271403193474,-0.00013836208381690085,-0.0008248644880950451,-0.02371937222778797
11,-0.19949745160138815,0.40119531018381877,0.3017763286908561,-0.0025622817521097963,-0.9753497043007285,0.22063088191559965,0.002898789031472795,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,2.015617246797774e-05,-0.0001870992564363405,0.00012994585267733783,-0.0002727247483562678,-0.0002444869896862656,-0.026606624945998192
12,-0.1994670982927636,0.4009858322702283,0.3019107547290494,-0.002703348729210183,-0.9719632323897046,0.23509836594736871,0.002987493444800366,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,3.0353781767189503e-05,-0.00020948117889929563,0.00013442813360597938,-0.000337185658281669,0.00018076383275911212,-0.02971740998327732
13,-0.19942786162534726,0.4007554406595453,0.30204943407681945,-0.0028901587668170837,-0.9679487874401974,0.25111020937218154,0.0032333611634823723,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,3.923711119568907e-05,-0.00023039421648718417,0.00013868091627955437,-0.0003648489364422858,0.0005032100598327816,-0.033015668392181396
