timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,0.08114917160361675,-0.22022108525908754,0.27505369556610826,0.031179529414966926,-0.9895621674999208,0.135473000231257,-0.03796866875019231,0.05,-0.3,0.3,5.657130561438501e-17,-0.3826834323650898,0.9238795325112867,2.3432602026631493e-17,0.0,0.0,0.0,0.0,0.0,0.0
1,0.07988253932303328,-0.2296955006788806,0.28166504954644583,0.02711492368170399,-0.9913839057105345,0.12037110524581678,-0.04397191642130172,0.05,-0.3,0.3,5.657130561438501e-17,-0.3826834323650898,0.9238795325112867,2.3432602026631493e-17,-0.0012634360464289784,-0.009493368677794933,0.006645102519541979,-0.005509539041668177,0.011969342827796936,-0.031165579333901405
2,0.07877789402185764,-0.23862274959798718,0.2873559050044268,0.023478254353986407,-0.9929258657063299,0.10518195833480691,-0.04983725940177638,0.05,-0.3,0.3,5.657130561438501e-17,-0.3826834323650898,0.9238795325112867,2.3432602026631493e-17,-0.0010769409127533436,-0.008908388204872608,0.005718699656426907,-0.0045821089297533035,0.011591823771595955,-0.031225601211190224
3,0.07789597427831708,-0.24679622962444717,0.2921246583339587,0.020126001995827765,-0.994181520322376,0.09003018403504165,-0.055611281731046694,0.05,-0.3,0.3,5.657130561438501e-17,-0.3826834323650898,0.9238795325112867,2.3432602026631493e-17,-0.0008791881846264005,-0.008181135170161724,0.004796595778316259,-0.003944565542042255,0.011363792233169079,-0.030962884426116943
4,0.07719549789303375,-0.25427583744208804,0.2960882704563381,0.01709116637849707,-0.9951466835140851,0.07501307794826942,-0.06135151554335814,0.05,-0.3,0.3,5.657130561438501e-17,-0.3826834323650898,0.9238795325112867,2.3432602026631493e-17,-0.0006983053754083812,-0.007483448833227158,0.00397602329030633,-0.0033186941873282194,0.011215820908546448,-0.03070996142923832
5,0.07665009315182753,-0.26110433028657926,0.29932170717397316,0.01438181690697032,-0.9958390066288981,0.0600557750251003,-0.06701596902946669,0.05,-0.3,0.3,5.657130561438501e-17,-0.3826834323650898,0.9238795325112867,2.3432602026631493e-17,-0.0005309003754518926,-0.006818835623562336,0.00324841751717031,-0.0027038382831960917,0.011133476160466671,-0.030470825731754303
6,0.07625429897092705,-0.2672995217664482,0.3019049890732392,0.011976398247000562,-0.996260395810537,0.04518402632415493,-0.07266493920453915,0.05,-0.3,0.3,5.657130561438501e-17,-0.3826834323650898,0.9238795325112867,2.3432602026631493e-17,-0.0003749579191207886,-0.006187841761857271,0.0026074135676026344,-0.002104183193296194,0.011108608916401863,-0.03024326264858246
7,0.07599558549913299,-0.27289749885148185,0.3039451632117789,0.009846863354178973,-0.9964175695538949,0.030374730766597018,-0.07830991059406242,0.05,-0.3,0.3,5.657130561438501e-17,-0.3826834323650898,0.9238795325112867,2.3432602026631493e-17,-0.00022979021014180034,-0.005595071241259575,0.002048135967925191,-0.0015222863294184208,0.011141672730445862,-0.03002837859094143
8,0.07587527043788209,-0.2779495496802492,0.30547433094828425,0.008062258423161071,-0.9963100296564316,0.01562845368595522,-0.08400640588969753,0.05,-0.3,0.3,5.657130561438501e-17,-0.3826834323650898,0.9238795325112867,2.3432602026631493e-17,-9.44238854572177e-05,-0.005044108722358942,0.0015622669598087668,-0.0009621029021218419,0.011230102740228176,-0.029825346544384956
9,0.07588040014750816,-0.2824880389617344,0.30662198559853276,0.006462428589415659,-0.9959452718303122,0.0009570366659289714,-0.08972366809483544,0.05,-0.3,0.3,5.657130561438501e-17,-0.3826834323650898,0.9238795325112867,2.3432602026631493e-17,3.242671300540678e-05,-0.004530618898570538,0.001144814072176814,-0.0004236417298670858,0.011377115733921528,-0.029634172096848488
10,0.07600961424942683,-0.28654231091654697,0.3073807305057854,0.005185371628290949,-0.9953162047399704,-0.013603705087395453,-0.09557041231988689,0.05,-0.3,0.3,5.657130561438501e-17,-0.3826834323650898,0.9238795325112867,2.3432602026631493e-17,0.0001499026984674856,-0.004060141742229462,0.0007863647770136595,9.196827159030363e-05,0.011576254852116108,-0.02945328876376152
11,0.07625421822145749,-0.29017105573754615,0.3078561231196303,0.004142456350342034,-0.9944298669006194,-0.028130926093331485,-0.1014925163178725,0.05,-0.3,0.3,5.657130561438501e-17,-0.3826834323650898,0.9238795325112867,2.3432602026631493e-17,0.0002605050685815513,-0.0036284278612583876,0.000485298631247133,0.0005841095116920769,0.011830676347017288,-0.029283791780471802
