timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,0.08114763219573626,-0.2202509893538182,0.2750877837114271,0.9895618820219709,0.031147677336586424,-0.03798994971443592,-0.1354764465372693,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0
1,0.08291771445894937,-0.22052224456679909,0.2744279499228271,0.9885018541532642,0.020482305362465987,-0.04395182074807553,-0.14322289256793586,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0017302155029028654,-0.00029517716029658914,-0.0006578477914445102,-0.02005079761147499,0.01523116510361433,0.014581697061657906
2,0.08469912567292939,-0.2208279072912484,0.2737821848247867,0.9872048860370046,0.00979409238410724,-0.050158616237743384,-0.1510453639015484,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0017718961462378502,-0.00031275427318178117,-0.0006483386387117207,-0.019937628880143166,0.015741823241114616,0.014660397544503212
3,0.0865529933306278,-0.2211431835293345,0.2731596543290038,-0.9856847273962723,0.0008366983345396203,0.056647881451744875,0.1587952632815676,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.001837378367781639,-0.00032828308758325875,-0.0006166419479995966,-0.01978475973010063,0.01624974049627781,0.014609530568122864
4,0.08301371808488896,-0.22763675859349453,0.27744749597605456,0.9847584329416568,0.008004844391024024,-0.059142154082379376,-0.1633675513284824,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.003528966335579753,-0.006480592302978039,0.0042731366120278835,0.017799120396375656,0.002222916344180703,0.010342570021748543
5,0.08501186142642779,-0.2277542994930201,0.27650465088734794,-0.9830687180820594,0.002349019772686049,0.06540971506249903,0.1711489024506047,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0019958403427153826,-0.00011442636605352163,-0.0009029036737047136,-0.019408375024795532,0.016068195924162865,0.014586116187274456
6,0.08150245897886998,-0.23394565382705187,0.2804714447937174,0.9820859689540332,0.006599877085294819,-0.06790038416121309,-0.1756505879205546,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.0035201157443225384,-0.006187222432345152,0.003946166019886732,0.017868919298052788,0.001955578103661537,0.01045729499310255
7,0.08363854148472383,-0.23382595500642628,0.2792897960534859,-0.9802165485316265,0.0037464515139883307,0.0740169482507894,0.18352921690411791,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0021383727435022593,0.00012123907072236761,-0.0012050329241901636,-0.019117677584290504,0.015960603952407837,0.014600766822695732
8,0.08012018255200296,-0.23973625066932597,0.28297285490103674,0.979162525941488,0.0052297212249516065,-0.07651719000866754,-0.18803860625140678,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.0035168929025530815,-0.00590565986931324,0.003656561253592372,0.017930740490555763,0.00170461880043149,0.010567380115389824
9,0.08239756788712566,-0.23940065592800225,0.2814910967140327,-0.9771313554660546,0.004913002405033725,0.08248700775517254,0.19592363339841706,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.002280327258631587,0.0003369393234606832,-0.0014740730402991176,-0.018827199935913086,0.01587492972612381,0.014604444615542889
10,0.0788851153724073,-0.24503882083970333,0.28488175798984505,0.97601563534493,0.004197773656826145,-0.08500039740106181,-0.2003766221399604,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.0035190172493457794,-0.00563591904938221,0.0034012405667454004,0.017983505502343178,0.0014692650875076652,0.010674051940441132
11,0.08129993278949979,-0.24451281996073343,0.28318523353377784,-0.9738192464657829,0.0058413741143608635,0.09079744065525212,0.20832133431726801,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.002417192794382572,0.0005387975834310055,-0.0017084426945075393,-0.018536290153861046,0.015808342024683952,0.014597433619201183
12,0.07776767484717703,-0.24989385360823554,0.28638469036038217,0.9726418385578344,0.003248236586153647,-0.09332191153576819,-0.21271653361510554,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.0035268159117549658,-0.005377083085477352,0.0031783038284629583,0.01802765391767025,0.0012510631931945682,0.010776635259389877
13,0.08034718812089596,-0.2491583840495273,0.2844466603603351,-0.9703004963091976,0.006546921908566591,0.09900513547698292,0.220617469446171,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.002551803831011057,0.0007237397949211299,-0.0019148301798850298,-0.018247509375214577,0.015760522335767746,0.014581304043531418
14,0.0768009147732528,-0.25430058903835284,0.28743244965437265,0.9690407945043619,0.0026178000706542836,-0.10157297663366115,-0.22502447895045333,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.0035401477944105864,-0.0051315538585186005,0.002985563827678561,0.018060455098748207,0.0010511056752875447,0.01087567675858736
15,0.07948354677102436,-0.253413576965339,0.2853255786949879,-0.9665324447253789,0.007083666760564155,0.10714312842559456,0.232991856058499,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0026811196003109217,0.0008937736274674535,-0.002091569360345602,-0.017960412427783012,0.015734631568193436,0.014554906636476517
16,0.0759359269372161,-0.25830169481412696,0.28813448010457543,0.9652217442862092,0.002174924772629492,-0.10969182261586728,-0.2372971936423405,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.0035573747009038925,-0.004897103179246187,0.002818694105371833,0.018082736060023308,0.0008599843131378293,0.01097195316106081
17,0.07875424983272865,-0.2572481691672758,0.2859210960928658,-0.9625534222074025,0.0074589394041748806,0.11516592498775093,0.24529998642784043,0.05,-0.3,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.002807446289807558,0.0010483498917892575,-0.0022434426937252283,-0.017676549032330513,0.015723941847682,0.014520226046442986
