timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.05182752449447196,0.3334979011761792,0.44204187974261655,0.03874237908469659,-0.136126246876728,-0.9894324850222934,0.031496516580773286,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.06894475195764736,0.3530662413533306,0.4175273959529945,0.04864714812430321,-0.15252699047766968,-0.9867318955152246,0.02700256521386115,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.017143556848168373,0.019568510353565216,-0.024590827524662018,-0.0071708387695252895,0.022129932418465614,0.0322396494448185
2,-0.08414698646161933,0.3692045277372809,0.39699184275383503,0.057855291026143,-0.16884309493312707,-0.9836945487102132,0.022131638698781316,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.015249548479914665,0.01613389328122139,-0.020594941452145576,-0.008123595267534256,0.020926758646965027,0.032120540738105774
3,-0.09763058227621732,0.38226450653033367,0.3800209372878027,0.06639626340186251,-0.18509131791087463,-0.9803296186448394,0.01692864578015116,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.013497493229806423,0.013062136247754097,-0.01699470542371273,-0.00906530674546957,0.01972346566617489,0.03216610476374626
4,-0.10940466018658467,0.39272207225527933,0.3661903776017038,0.07427333138349167,-0.20132730863927248,-0.9766373454903596,0.011414133116854635,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.01179701741784811,0.01043504849076271,-0.0138531643897295,-0.009875855408608913,0.018600160256028175,0.03219972923398018
5,-0.1195994505360521,0.4009770235097405,0.35503805490407014,0.08156052472049169,-0.21747169006158498,-0.9726366443688106,0.00564826168443792,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.010214277543127537,0.008246608078479767,-0.011192535050213337,-0.010562995448708534,0.017589755356311798,0.03220342472195625
6,-0.12832632588635548,0.4074739007113962,0.3460724746541366,0.08832960785667944,-0.23359487382076244,-0.9683135990441445,-0.0002986749457699511,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.008777379058301449,0.0064708152785897255,-0.00899201538413763,-0.011134139262139797,0.016705527901649475,0.0321657769382
7,-0.13580438835597308,0.41252533756621346,0.33895596124770805,0.09467206716087305,-0.24956065684492978,-0.9636986254160939,-0.006452722351512928,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.007504674606025219,0.005046333186328411,-0.0071946922689676285,-0.011599916964769363,0.015956979244947433,0.03207580745220184
8,-0.14212579246499052,0.41646893286766223,0.33326244283087664,0.10063719893382779,-0.2654612147275404,-0.9587709355915586,-0.012680328505970256,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.006381432060152292,0.003926353994756937,-0.005756785627454519,-0.011974385939538479,0.015337574295699596,0.03193610906600952
9,-0.14750865989311152,0.4195392237972056,0.32868770009405274,0.10625900883879096,-0.2811209785051244,-0.9535833651752976,-0.01894159829249494,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.005411134101450443,0.0030430767219513655,-0.004602804780006409,-0.012263495475053787,0.014846141450107098,0.031738679856061935
10,-0.15203525010745572,0.4219016902655393,0.32506241026412064,0.11166027891881011,-0.2966151687030323,-0.9481093766891485,-0.02529888616440555,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.004568431526422501,0.0023482099641114473,-0.003676993539556861,-0.012477262876927853,0.014465554617345333,0.031490474939346313
11,-0.15581853272514265,0.4237423641962926,0.32216862698775317,0.11684925417753728,-0.3118943002926601,-0.9423703683398439,-0.03172201314753492,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.00384525372646749,0.00180927780456841,-0.002946616616100073,-0.012626883573830128,0.014193950220942497,0.03119482472538948
12,-0.15900483309866753,0.42515551552316344,0.31983776508028294,0.12192838233925027,-0.32693558573851195,-0.9363723122130947,-0.03812460201303912,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.003229123307392001,0.0013852228876203299,-0.002367417560890317,-0.012720904313027859,0.014021633192896843,0.030856430530548096
13,-0.16169196854041512,0.42621398973027136,0.3179890942395356,0.12693476215032126,-0.3416050021659915,-0.930165048396935,-0.04457097030289899,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.002699577948078513,0.0010539769427850842,-0.0019046744564548135,-0.012766988947987556,0.013929733075201511,0.030480120331048965
14,-0.16389868328662835,0.4270273769940322,0.31650875198826633,0.13189217901631076,-0.3560238314577321,-0.9237147427449539,-0.05101527794798003,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.002241892972961068,0.0008007618598639965,-0.0015418529510498047,-0.012774384580552578,0.01391023863106966,0.030078155919909477
15,-0.16570582481681367,0.42763585254924746,0.31533189085865365,0.13685070285373746,-0.370164395295499,-0.9170315848359158,-0.057474150687801824,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.001856208429671824,0.0006012952653691173,-0.0012541621690616012,-0.012749007903039455,0.013959359377622604,0.0296491589397192
16,-0.16720783895578306,0.428103226186535,0.31438152812774156,0.14182801055282154,-0.3839381135483411,-0.9101568856294713,-0.06395923646223023,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.0015300422674044967,0.0004468836123123765,-0.0010280420538038015,-0.012696897611021996,0.014067810028791428,0.02919938787817955
17,-0.16842295566287757,0.4284507340252957,0.3136025182019258,0.14681504279643262,-0.397400546394378,-0.9030800164264982,-0.07046015090281565,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.0012494235998019576,0.00032400208874605596,-0.0008476199582219124,-0.012625960633158684,0.01422451063990593,0.028738223016262054
18,-0.16938713199544078,0.4286998374245728,0.31298842699024443,0.15188478082954995,-0.41053591128194417,-0.8958052437780427,-0.07696911146703438,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.0010124933905899525,0.00022647264995612204,-0.0007014160510152578,-0.012536613270640373,0.014425801113247871,0.028265614062547684
19,-0.17016416577518445,0.4288579017736956,0.31246923808599886,0.15699323190392644,-0.42329077366648477,-0.8883738903463603,-0.08348578930609626,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.0008132404182106256,0.0001516031043138355,-0.0005874680355191231,-0.012435817159712315,0.014665980823338032,0.02778654545545578
20,-0.1707714756927511,0.42896960975513043,0.3119971504246666,0.16214909259465257,-0.4356884070192951,-0.8807881086281224,-0.08997550477221458,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.000642462051473558,9.51166803133674e-05,-0.0004922901862300932,-0.01232313085347414,0.014936472289264202,0.02730567194521427
21,-0.17124314496412538,0.42902583248887116,0.31164227191515464,0.16743892283640432,-0.447722356953434,-0.8730376425702732,-0.09650996248463992,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.0004987788270227611,4.7419405746040866e-05,-0.00040564738446846604,-0.012202361598610878,0.015233020298182964,0.026824304834008217
22,-0.1715947654248607,0.4290493194503582,0.3113449013483672,0.17281518772004578,-0.4593855632461668,-0.8651453660659281,-0.10306944624348587,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.0003743410052265972,1.4600344002246857e-05,-0.0003416188701521605,-0.012080763466656208,0.015553245320916176,0.026347670704126358
23,-0.17182485870796171,0.42905788244544996,0.3111396423696833,0.17831920395432113,-0.4707072236629952,-0.8570881706279142,-0.10971252828308964,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.00026814607554115355,-1.0216795089945663e-05,-0.0002882962580770254,-0.011957554146647453,0.01589382439851761,0.025876812636852264
24,-0.17198648974096345,0.4290405043594436,0.3109442398871436,0.18393494062322424,-0.4816911968929605,-0.8488825567492261,-0.1163612190579624,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.00017944423598237336,-2.8054526410414837e-05,-0.00025220864336006343,-0.011837285943329334,0.01625676080584526,0.025413334369659424
25,-0.1720454602406893,0.4290268852363776,0.31079516548565744,0.1896558833228415,-0.49235131620544514,-0.8405218011371239,-0.12306067269848375,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-0.00010139135702047497,-4.065569373778999e-05,-0.0002174308174289763,-0.011716566979885101,0.016631880775094032,0.02495664730668068
26,-0.17205320462012075,0.4289789864560531,0.3106529274313931,0.1954780617889813,-0.5026173066515214,-0.8320509758926448,-0.12982813227375442,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,-3.894535620929673e-05,-5.152579251443967e-05,-0.0001906871038954705,-0.011599142104387283,0.017024362459778786,0.02450777217745781
27,-0.17202593319666243,0.42893821869407206,0.3105506160741037,0.2014311473853867,-0.512518474664494,-0.8234549908999689,-0.13664619991979104,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,1.6075688108685426e-05,-5.547400360228494e-05,-0.0001652296632528305,-0.011481906287372112,0.017428426072001457,0.02407096140086651
28,-0.171924778146895,0.42889510769401035,0.31049384741896163,0.20751168455081992,-0.5221200534316723,-0.8146935989075852,-0.14354055342792668,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,6.643922824878246e-05,-5.7757457398111e-05,-0.00014691255637444556,-0.011371876113116741,0.017840443179011345,0.023647097870707512
29,-0.1718030797611766,0.4288495859267645,0.31039788715010863,0.21368544381535545,-0.5313728001612805,-0.8058195559593464,-0.15045371907558983,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.00010628105519572273,-5.69265685044229e-05,-0.00013669184409081936,-0.011266124434769154,0.018265746533870697,0.02323230542242527
30,-0.1716643817357987,0.42879556581077616,0.310365302979579,0.22002290195449514,-0.5402418486268749,-0.7968220098833629,-0.15749080028108794,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.00014219016884453595,-5.665209027938545e-05,-0.00011852018360514194,-0.011162248440086842,0.018695494160056114,0.022828785702586174
31,-0.17147135813918632,0.42875950556321374,0.3103006973138059,0.22643614597270864,-0.5488093437784831,-0.7876829366441324,-0.16459212404648313,-0.2,0.4,0.3,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0001774323172867298,-5.0528309657238424e-05,-0.00011239133164053783,-0.011066662147641182,0.01913279853761196,0.02244170941412449
