timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.051835674366205536,0.3334560964983478,0.4421423929270443,0.038657622514879544,-0.13607460606695232,-0.9894447081412633,0.0314397731618931,-0.15,0.25,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.0594015564439529,0.3323214549332623,0.3961541748960985,0.041614035207516484,-0.13187922791345993,-0.9902791360425259,0.014945702979981868,-0.15,0.25,0.1,0.0,1.0,0.0,0.0,-0.007585431914776564,-0.0010951646836474538,-0.04609803482890129,-0.031292133033275604,0.010065514594316483,-0.009977661073207855
2,-0.06647679201091948,0.33027669349800803,0.35467457417425974,0.04486216872823179,-0.12687889570641814,-0.9909031697971997,-0.00019931678718938903,-0.15,0.25,0.1,0.0,1.0,0.0,0.0,-0.007113519124686718,-0.0020363538060337305,-0.04154859855771065,-0.028591973707079887,0.010336905717849731,-0.0114755155518651
3,-0.07304763552606267,0.3273856877321612,0.3176355755775096,0.04845472121269964,-0.1211844589414779,-0.9913477258376302,-0.014005476779440322,-0.15,0.25,0.1,0.0,1.0,0.0,0.0,-0.006612107157707214,-0.002886093221604824,-0.03707151487469673,-0.025910232216119766,0.010679102502763271,-0.012678154744207859
4,-0.07906371623460058,0.32381461665446115,0.28493771494861986,0.05235969626593098,-0.11493289973539256,-0.9916359870558186,-0.026588718306573503,-0.15,0.25,0.1,0.0,1.0,0.0,0.0,-0.006065343506634235,-0.0035751094110310078,-0.032716501504182816,-0.023331262171268463,0.010996912606060505,-0.013651043176651001
5,-0.08452537591772583,0.3197326409574209,0.25637294532491417,0.056498308071100935,-0.1082175316240253,-0.9917937856258242,-0.0379735938291694,-0.15,0.25,0.1,0.0,1.0,0.0,0.0,-0.005498288199305534,-0.004093296825885773,-0.028597015887498856,-0.020901164039969444,0.011289337649941444,-0.014426302164793015
6,-0.08940128083495125,0.31531808881057893,0.23161479795783138,0.06089169857269157,-0.1011327598186485,-0.9918325435261218,-0.048296703188723526,-0.15,0.25,0.1,0.0,1.0,0.0,0.0,-0.004931322298943996,-0.004440150689333677,-0.024801215156912804,-0.018651392310857773,0.011551517061889172,-0.015041248872876167
7,-0.09374490095156332,0.31070739511341444,0.21025156415206625,0.06549173330285718,-0.09375159849967502,-0.9917689162181437,-0.057583743115847505,-0.15,0.25,0.1,0.0,1.0,0.0,0.0,-0.00438624108210206,-0.004627304617315531,-0.02137838304042816,-0.016598057001829147,0.011788989417254925,-0.01552833616733551
8,-0.09756041594576913,0.30606688012692523,0.19195048113478602,0.07025077986598981,-0.08610589290386989,-0.9916134218056248,-0.06598048825514781,-0.15,0.25,0.1,0.0,1.0,0.0,0.0,-0.0038720041047781706,-0.004673574585467577,-0.018339553847908974,-0.014742675237357616,0.01199951022863388,-0.015915963798761368
9,-0.10090303512457569,0.30149857469818087,0.17630718351923014,0.07516494639969988,-0.07824042475948105,-0.9913679200430804,-0.07360919695012914,-0.15,0.25,0.1,0.0,1.0,0.0,0.0,-0.003399173030629754,-0.004605842288583517,-0.015684502199292183,-0.01308712549507618,0.012189732864499092,-0.016222523525357246
