timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.05184326115824289,0.33344188120873275,0.4421485428676511,-0.03865905556654591,0.1360383287348375,0.9894504366766816,-0.03141470830771888,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.05883779933050858,0.3374057082302712,0.4352318656521825,-0.04210824695005634,0.12999378454304691,0.9901963549316251,-0.028977408426087866,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.007018260192126036,0.003979017958045006,-0.0070182159543037415,-0.0032467504497617483,0.007126983720809221,-0.012479394674301147
2,-0.06561306840285928,0.3412317917070901,0.42848649370408554,-0.04534607248087416,0.12396249354533248,0.9908934065184039,-0.02659493979944553,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.006801221054047346,0.00383778172545135,-0.006818800233304501,-0.003241473576053977,0.006702023558318615,-0.012487834319472313
3,-0.0721642016966027,0.3449034834426331,0.421956202848564,-0.048369838494756345,0.11793075017097922,0.9915472459437048,-0.02422304583563933,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.006588364485651255,0.0036929238121956587,-0.006614599842578173,-0.0032388223335146904,0.006259220652282238,-0.012492924928665161
4,-0.07849970043036979,0.3484511771059376,0.4156165980114964,-0.0511613302854395,0.11187181434527822,0.992162588440355,-0.021922899850492384,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.0063744657672941685,0.0035484915133565664,-0.006407944485545158,-0.003233181545510888,0.005819942802190781,-0.012502974830567837
5,-0.08461790979873512,0.35184446802101815,0.4095093684803477,-0.05374907852816307,0.10581876218628805,0.992737770334943,-0.019625123621045112,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.006159989163279533,0.0034035067074000835,-0.006198567803949118,-0.00322528718970716,0.005386225879192352,-0.012517139315605164
6,-0.09052629188591096,0.35510280831779334,0.4036037590830943,-0.056125685221483146,0.09973655073969509,0.9932782364969953,-0.01734568552655807,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.0059458184987306595,0.0032599535770714283,-0.005988901946693659,-0.003215458942577243,0.004958143457770348,-0.012535693123936653
7,-0.09622548262955699,0.35821458574485066,0.39789944850108033,-0.05828614785009255,0.09362010761406071,0.9937856451683398,-0.01510271089823479,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.005732555873692036,0.0031173082534223795,-0.0057784621603786945,-0.0032038886565715075,0.004536951892077923,-0.012558164075016975
8,-0.10171628231596641,0.3611973517997184,0.3924108408200768,-0.060227762498924545,0.08747622973535392,0.9942607495893824,-0.012887500984300724,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.005520806647837162,0.0029764638748019934,-0.005567893385887146,-0.0031902503687888384,0.004124325700104237,-0.012584243901073933
9,-0.10698233977901189,0.36404243415527426,0.3871335256013957,-0.06198823557586304,0.08135329036015933,0.9946984007286774,-0.010686083734401363,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.0053113847970962524,0.002837346401065588,-0.005358653608709574,-0.0031764209270477295,0.0037210446316748857,-0.012613377533853054
10,-0.11204997903472524,0.36674115185632655,0.3820660105878235,-0.06355129614374237,0.07518868341216191,0.995105837904007,-0.008500941980758948,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.0051058316603302956,0.0027005570009350777,-0.0051512462086975574,-0.003161184722557664,0.0033287550322711468,-0.012645196169614792
11,-0.11690857943905043,0.3693271355296751,0.3771858118478051,-0.06493245208218935,0.06905649403945091,0.9954769333699881,-0.006375925490297393,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.004903564695268869,0.002567119197919965,-0.004946404602378607,-0.0031450949609279633,0.002947099506855011,-0.012679755687713623
12,-0.12158770000774745,0.37177364528725715,0.3725267910529777,-0.06612929955736596,0.06284505281108842,0.9958210661684983,-0.0042212856168566725,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.004705812782049179,0.002435712842270732,-0.004743846133351326,-0.0031284268479794264,0.0025780482683330774,-0.012715674005448818
13,-0.12605562211696003,0.37410467861206825,0.3680299673594093,-0.06715044929695171,0.056645831166467556,0.9961312525222557,-0.002143529593855204,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.004511893726885319,0.002308545634150505,-0.004545900039374828,-0.0031126895919442177,0.0022190921008586884,-0.012754080817103386
14,-0.13034865620126942,0.3763129916352302,0.363779143643375,-0.06797192649377476,0.05039699446584618,0.9964135480511386,-3.765203519794175e-05,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.004323664121329784,0.0021840669214725494,-0.004350304137915373,-0.0030955427791923285,0.0018748585134744644,-0.012793176807463169
15,-0.13444345673220373,0.378392088468345,0.35969504094162874,-0.06864589136223848,0.04418733961928848,0.9966601957457165,-0.0019169852799597027,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.004140187986195087,0.002064359374344349,-0.0041618794202804565,-0.003082292852923274,0.0015416821697726846,-0.012833623215556145
16,-0.1383490900281807,0.380364902152208,0.35582137306171635,-0.0692230916543067,0.03795652513036509,0.996878862023883,1.5225494336112001e-05,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.0039468202739953995,0.0019388976506888866,-0.0039718272164464,-0.0030326354317367077,0.0012950688833370805,-0.012855385430157185
17,-0.14207816182205907,0.38217754418103894,0.3520548053544539,-0.0696407533971527,0.031740578468767176,0.9970650837478443,-0.001979877685410247,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.003775243414565921,0.0018270311411470175,-0.003793504787608981,-0.00301799806766212,0.0009911571396514773,-0.012896199710667133
18,-0.1456241988174169,0.38391599029599166,0.348548056243018,-0.06999023123465352,0.025503943491493774,0.997221597175029,5.025720536311666e-05,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.003593286732211709,0.0017112505156546831,-0.0036115096881985664,-0.002965174149721861,0.0007730179931968451,-0.012918158434331417
19,-0.14902557226221588,0.3854794683277266,0.34505517902051525,-0.0701623180335717,0.01922476148965141,0.997348181324477,-0.002064674933316223,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.0034348946064710617,0.0016092703444883227,-0.00344518362544477,-0.0029523675329983234,0.0004929332062602043,-0.012959519401192665
20,-0.15225727592862615,0.3870144860719151,0.34189243435554506,-0.07029987170436576,0.012933336157046775,0.9974420531276859,-8.664078260458147e-05,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.0032638609409332275,0.0015033691888675094,-0.003270828165113926,-0.002896777354180813,0.00030180643079802394,-0.012980537489056587
21,-0.15535439597869266,0.3883728459063456,0.3387156993470762,-0.0702998055047528,0.006612159741158409,0.997502147115742,-0.0019191636292601208,-0.19999999999999996,0.4,0.3,0.0,1.0,-6.123233995736766e-17,0.0,-0.0031171462032943964,0.0014105981681495905,-0.0031168449204415083,-0.0028862892650067806,4.594299753080122e-05,-0.013020609505474567
