timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.05186661016053354,0.33346836143872743,0.4421332824054261,0.038680717185193614,0.13603939620056524,0.9894496108567362,0.031409431304592964,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.06431022888194571,0.34374211954867634,0.43122896124407634,-0.03419967847965772,0.13956794577390275,0.9887813000582898,-0.04077635539598091,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,-0.012466244399547577,0.01030878908932209,-0.011030334047973156,-0.016824809834361076,0.011081256903707981,0.008120709098875523
2,-0.07555602862136344,0.35275340392905674,0.4208641749802664,-0.03920760110228135,-0.14284337358738755,0.9884044109890081,-0.03339543345205068,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,-0.011327722109854221,0.00903401244431734,-0.010463076643645763,-0.013616001233458519,0.012215176597237587,0.00598888099193573
3,-0.08643933516301298,0.361293729172691,0.4120656672910455,-0.04454347749581674,0.12905690141876816,0.9902368497170355,-0.028127855788297566,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,-0.010963376611471176,0.00856649037450552,-0.008839943446218967,-0.013280217535793781,0.009834172204136848,0.027221431955695152
4,-0.09640088204090792,0.3688287211873125,0.402968554616689,-0.047973326688407925,-0.13240917631255283,0.9898099481762559,-0.021038926921214226,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,-0.010014121420681477,0.007567497901618481,-0.009163551032543182,-0.013568799011409283,0.008818864822387695,0.006122306454926729
5,-0.1059674101623768,0.37595776655187096,0.3953460067817871,-0.051748650149026035,0.11923711618472961,0.9913948314169907,-0.015520166602834853,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,-0.009630076587200165,0.0071645514108240604,-0.007641832809895277,-0.013360023498535156,0.006421951577067375,0.02592623606324196
6,-0.11466940048652023,0.38218794771227976,0.38755569761098646,-0.05364320427988891,-0.12262543688910155,0.9909634278480395,-0.008768895597885643,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,-0.00874859094619751,0.006240950897336006,-0.007875421084463596,-0.013464655727148056,0.00554651441052556,0.006228249985724688
7,-0.12298941656263195,0.3880524138501137,0.3811116167592558,-0.05597804490876502,0.11009713614879771,0.9923384725441666,-0.003071645932659726,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,-0.008381438441574574,0.005905528552830219,-0.0064851995557546616,-0.013368828222155571,0.0032736705616116524,0.02458869479596615
8,-0.1306237781548209,0.3931333761668251,0.3745623037010525,0.05646642618803213,0.11356443625280986,0.9919181491140726,-0.0036120617721068413,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,-0.007578014396131039,0.005078583024442196,-0.006671737413853407,-0.013367893174290657,0.002520813839510083,0.006329680327326059
9,-0.13778356858330437,0.39871730290426777,0.36833865509479385,-0.05650420425511437,0.11653656459128066,0.9915545607289326,-0.00678653905996278,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,-0.007196803577244282,0.005647785495966673,-0.006174519658088684,-0.020409340038895607,0.002209265250712633,0.007113269995898008
10,-0.1442488659415199,0.40272341378428556,0.36278587291736175,-0.05591091951276798,-0.11949793198574878,0.9912588937289661,-0.0001375993914491412,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,-0.0064575280994176865,0.0040297615341842175,-0.005581037141382694,-0.013666157610714436,0.0004496406763792038,0.0051759276539087296
