timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.05174820418703716,0.3335060766273855,0.4422046560928551,0.03863293676276615,0.13611956545596993,0.9894425744176131,0.03134249554532117,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.15152064121441042,0.41591596362873035,0.3539271356379472,-0.002734067988660725,0.16372585529715059,0.9808978046192421,-0.1050041240742524,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,-0.09979384392499924,0.08243311941623688,-0.08827733993530273,-0.13462242484092712,0.08876239508390427,0.06494735926389694
2,-0.19303436678614252,0.43937689072275676,0.31693167553187174,-0.00026541828926844417,0.17368410341965598,0.9843464517557532,-0.02993033057453258,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,-0.041586026549339294,0.023458028212189674,-0.036987219005823135,-0.14927755296230316,0.02090873010456562,0.018621541559696198
3,-0.2109188262522436,0.44083111752681065,0.30964699356570213,-0.03876439048242274,0.17261950659356756,0.9834988568964099,-0.03781304612662988,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,-0.017913691699504852,0.00148961937520653,-0.007277303375303745,-0.14704036712646484,-0.053520578891038895,0.0005211621173657477
4,-0.21588079614388683,0.4375559056452751,0.3084258325769831,-0.008898419906582475,0.17017421023393534,0.9851855195669217,-0.019262614829694606,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,-0.0048785824328660965,-0.003311015898361802,-0.0011823801323771477,-0.12876886129379272,-0.07441193610429764,-0.006108371540904045
5,-0.2181898156883017,0.4385048075817794,0.308384313876163,-0.04343068475829771,0.16606613061450567,0.9842454687854303,-0.042387180367417426,-0.14999999999999997,0.3,0.15,0.0,6.123233995736766e-17,-1.0,0.0,-0.0023522484116256237,0.0009771327022463083,-0.00011369988351361826,-0.13929811120033264,-0.08247154206037521,-0.00686794426292181
6,-0.1927522516822767,0.40776880607102284,0.18971290208695996,-0.045107863044723355,0.1537471309366389,0.984187176781242,-0.07551623321947903,-0.14999999999999997,0.3,0.15,0.0,6.123233995736766e-17,-1.0,0.0,0.02556409314274788,-0.030694983899593353,-0.11873478442430496,-0.26134365797042847,-0.13674500584602356,-0.026858653873205185
7,-0.1800685309294589,0.3665503703245148,0.1614972283825043,-0.022661551280158128,0.15040347119975037,0.9882903503206953,-0.012142215927910743,-0.14999999999999997,0.3,0.15,0.0,6.123233995736766e-17,-1.0,0.0,0.012736308388411999,-0.04122539982199669,-0.028163675218820572,-0.19410142302513123,-0.10743137449026108,-0.005475119687616825
8,-0.1753489519549552,0.34723840750948,0.1578695486001801,-0.04121316432237304,0.14862288410268637,0.9864091382300214,-0.05665443869497991,-0.14999999999999997,0.3,0.15,0.0,6.123233995736766e-17,-1.0,0.0,0.004662782419472933,-0.01936350390315056,-0.00356309930793941,-0.15553194284439087,-0.1056133434176445,-0.0046969810500741005
9,-0.1703689963030158,0.3392099606959578,0.15714995067816712,-0.011718246481371345,0.14619374456101153,0.9891777509124617,-0.004177182111830534,-0.14999999999999997,0.3,0.15,0.0,6.123233995736766e-17,-1.0,0.0,0.005007603671401739,-0.008046715520322323,-0.0007133440230973065,-0.13593921065330505,-0.08687947690486908,-0.004601952154189348
10,-0.1705562735639725,0.33849533465952336,0.1578913532431957,-0.04430810434229656,0.14505589061290122,0.9867670324485079,-0.05732716773795617,0.10000000000000006,0.5,0.4,0.0,6.123233995736766e-17,-1.0,0.0,-0.00022024079225957394,-0.0008137483964674175,0.0006247539422474802,-0.1379077434539795,-0.0931144580245018,-0.0026130978949368
11,-0.03983353558152948,0.4109918452873949,0.29441676795871463,-0.06261104452691645,0.09307230133123294,0.9881947190244389,-0.10434846007664433,0.10000000000000006,0.5,0.4,0.0,6.123233995736766e-17,-1.0,0.0,0.13074712455272675,0.07249046862125397,0.13666768372058868,0.06672626733779907,-0.2314041405916214,-0.08677653223276138
12,0.04515204162488069,0.47342654048779254,0.3761721731403006,-0.015226585076901455,0.07275830668022676,0.9906500278610626,-0.11439799917305411,0.10000000000000006,0.5,0.4,0.0,6.123233995736766e-17,-1.0,0.0,0.08505958318710327,0.0624779649078846,0.08172561228275299,0.0073503777384757996,-0.16028648614883423,-0.023064086213707924
13,0.07829798170771182,0.515015609644163,0.40385645244031565,-0.03287909405191142,0.08248294926591677,0.9930964868599157,-0.0766478704284407,0.10000000000000006,0.5,0.4,0.0,6.123233995736766e-17,-1.0,0.0,0.033255767077207565,0.041596923023462296,0.027650434523820877,-0.08283683657646179,-0.08774077892303467,0.028965111821889877
