timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.05183994399674097,0.3334134547414004,0.44210336182661514,0.0,0.0,-1.0,0.0,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.15655966265648918,0.41211949210701615,0.33407193438706567,0.0,0.0,-1.0,0.0,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,-0.10477359592914581,0.07867591083049774,-0.10810109227895737,-0.12645481526851654,0.1357996016740799,-0.0009510122472420335
2,-0.20030926867345483,0.436134097881925,0.30957959595722173,0.0,0.0,-1.0,0.0,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,-1.0,0.0,-0.04375139996409416,0.02406289614737034,-0.024468541145324707,-0.15101312100887299,0.018934372812509537,0.04206782206892967
3,-0.21424973535839345,0.44303826016055653,0.30726644504227957,0.0,0.0,-1.0,0.0,-0.14999999999999997,0.3,0.15,0.0,6.123233995736766e-17,-1.0,0.0,-0.013995680026710033,0.006911005824804306,-0.0023159615229815245,-0.1604633778333664,-0.03935901075601578,0.04731246083974838
4,-0.19760819920522393,0.4142769788867198,0.19060556355979316,0.0,0.0,-1.0,0.0,-0.14999999999999997,0.3,0.15,0.0,6.123233995736766e-17,-1.0,0.0,0.016635438427329063,-0.028790313750505447,-0.11670910567045212,-0.31423184275627136,-0.12738411128520966,0.03622674196958542
5,-0.18544339534336138,0.3786263192655232,0.16283741391823908,0.0,0.0,-1.0,0.0,-0.14999999999999997,0.3,0.15,0.0,6.123233995736766e-17,-1.0,0.0,0.0122217470780015,-0.03566144406795502,-0.027798278257250786,-0.24286368489265442,-0.10417419672012329,0.05972105264663696
6,-0.17849382938449618,0.35966924419121354,0.15784740549914772,0.0,0.0,-1.0,0.0,-0.14999999999999997,0.3,0.15,0.0,6.123233995736766e-17,-1.0,0.0,0.007013488560914993,-0.018968112766742706,-0.00498677184805274,-0.20112638175487518,-0.08698023855686188,0.05700267106294632
7,-0.1750985800771656,0.3518882973792404,0.157277485759035,0.0,0.0,-1.0,0.0,-0.14999999999999997,0.3,0.15,0.0,6.123233995736766e-17,-1.0,0.0,0.003435484366491437,-0.007794318255037069,-0.0005787795525975525,-0.18309853971004486,-0.07674721628427505,0.0540507435798645
8,-0.1736012150508962,0.3490188319582752,0.15729343055004658,0.0,0.0,-1.0,0.0,-0.14999999999999997,0.3,0.15,0.0,6.123233995736766e-17,-1.0,0.0,0.00152936193626374,-0.0028878042940050364,3.5488978937792126e-06,-0.1763390600681305,-0.07173720747232437,0.05270223692059517
9,-0.17297186354397354,0.34801903096689196,0.15733192432828666,0.0,0.0,-1.0,0.0,-0.14999999999999997,0.3,0.15,0.0,6.123233995736766e-17,-1.0,0.0,0.0006455248221755028,-0.0010348925134167075,1.1971033927693497e-05,-0.17393377423286438,-0.06955339014530182,0.05220900848507881
10,-0.17273103704575452,0.34766685535190833,0.15731222221189872,0.0,0.0,-1.0,0.0,0.10000000000000006,0.5,0.4,0.0,6.123233995736766e-17,-1.0,0.0,0.00026028958382084966,-0.00038478319765999913,-2.2098980480222963e-05,-0.17310066521167755,-0.0686517283320427,0.05204811319708824
11,-0.03134175282397286,0.4211050035821135,0.3276719626508928,0.0,0.0,-1.0,0.0,0.10000000000000006,0.5,0.4,0.0,6.123233995736766e-17,-1.0,0.0,0.14144323766231537,0.073476143181324,0.1703345626592636,0.07131767272949219,-0.25579142570495605,-0.01692013442516327
12,0.046687550825350914,0.4857737996508886,0.4083925386978514,0.0,0.0,-1.0,0.0,0.10000000000000006,0.5,0.4,0.0,6.123233995736766e-17,-1.0,0.0,0.07809558510780334,0.06471007317304611,0.08067486435174942,-0.02178228087723255,-0.17862987518310547,0.004667339380830526
13,0.07143510331407853,0.5229861157130518,0.4171405327811367,0.0,0.0,-1.0,0.0,0.10000000000000006,0.5,0.4,0.0,6.123233995736766e-17,-1.0,0.0,0.024824505671858788,0.037267401814460754,0.00876652542501688,-0.1166725903749466,-0.10435763746500015,0.02377442456781864
