timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.051788047598615494,0.3335016659163495,0.44205871526245466,0.038690089978394564,0.13607682405651733,0.9894409320027753,0.03150899823280377,0.04167693029058452,0.37521790099029145,0.4616505134740212,-2.227821296615483e-17,0.931465044094515,0.3638308283117352,5.70357842383998e-17,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.013010205860751384,0.3619587235023332,0.4431837147199896,-0.07820003324775476,0.06568870460237582,0.9940742141393384,-0.037231783075333834,0.04167693029058452,0.37521790099029145,0.4616505134740212,-2.227821296615483e-17,0.931465044094515,0.3638308283117352,5.70357842383998e-17,0.038838863372802734,0.028478462249040604,0.0010310080833733082,-0.02707425318658352,-0.07194748520851135,-0.14265428483486176
2,0.007406558200922822,0.36835029977790307,0.445715426356719,0.05692433476935831,0.002621073111601976,0.9978754518043106,0.031580575883807624,0.04167693029058452,0.37521790099029145,0.4616505134740212,-2.227821296615483e-17,0.931465044094515,0.3638308283117352,5.70357842383998e-17,0.02045486494898796,0.006425429601222277,0.002514539286494255,-0.004373387433588505,-0.04678613692522049,-0.12525857985019684
3,0.016316496826602803,0.37756316077195406,0.44598784516540546,-0.07245158262519134,-0.04560068174260948,0.995184766457877,-0.04773496213358927,-0.09992022739287927,0.3917218644502267,0.20080910884388165,-1.0871140468807607e-18,0.9998423867466062,0.017753919703830678,6.122268892905407e-17,0.008848710916936398,0.009147301316261292,0.0003125444636680186,-0.03817794844508171,-0.028313687071204185,-0.09554640203714371
4,-0.03778099162580675,0.4050268330085883,0.33660766430845696,0.09799416558398376,-0.09520676720272804,0.9906223018453922,-0.0005196891774601644,-0.09992022739287927,0.3917218644502267,0.20080910884388165,-1.0871140468807607e-18,0.9998423867466062,0.017753919703830678,6.122268892905407e-17,-0.05413404107093811,0.027454672381281853,-0.10941952466964722,-0.09085061401128769,0.042461346834897995,-0.10886784642934799
5,-0.07065998358690265,0.4242016056703446,0.2706339367152558,-0.08500180317270731,-0.14596784917196404,0.9844708123242248,-0.04780481301270749,-0.09992022739287927,0.3917218644502267,0.20080910884388165,-1.0871140468807607e-18,0.9998423867466062,0.017753919703830678,6.122268892905407e-17,-0.03288048878312111,0.0191718190908432,-0.06601481884717941,-0.10817661881446838,0.015256019309163094,-0.09223921597003937
6,-0.08737879750935174,0.42068645402641114,0.2353304608339679,0.08766186002948112,-0.19036675793274596,0.9775701370424914,0.02079718570075442,-0.09992022739287927,0.3917218644502267,0.20080910884388165,-1.0871140468807607e-18,0.9998423867466062,0.017753919703830678,6.122268892905407e-17,-0.016658393666148186,-0.0034397609997540712,-0.035253021866083145,-0.045877616852521896,-0.005706684663891792,-0.09423036128282547
7,-0.09778202379249808,0.4232897275375511,0.21673799283481937,-0.08730080506385142,-0.22794524236017075,0.9683925275455062,-0.05133661962568867,-0.09992022739287927,0.3917218644502267,0.20080910884388165,-1.0871140468807607e-18,0.9998423867466062,0.017753919703830678,6.122268892905407e-17,-0.010448090732097626,0.0025565524119883776,-0.018636032938957214,-0.0667620599269867,-0.010969326831400394,-0.0717785507440567
8,-0.10187499435201589,0.4168777440695762,0.20761157337639835,0.08450133361282043,-0.2596335863692925,0.9613410599409962,0.03568321619747882,-0.1066479364160224,0.3583928814252011,0.41104286834427767,-2.2806746861600767e-17,0.9280472667921094,0.37246244186453953,5.682650573672032e-17,-0.0040511745028197765,-0.006356348283588886,-0.009164256975054741,-0.022683264687657356,-0.0144762322306633,-0.06701337546110153
9,-0.10926882614555125,0.37837260488078994,0.3007745920525473,-0.09137519063564656,-0.27567372691964154,0.9560982544095157,-0.03912414519975311,-0.1066479364160224,0.3583928814252011,0.41104286834427767,-2.2806746861600767e-17,0.9280472667921094,0.37246244186453953,5.682650573672032e-17,-0.007406671531498432,-0.03846922144293785,0.09331121295690536,-0.006442774087190628,-0.015005518682301044,-0.03339936211705208
