timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.05183931835041995,0.3334576956656832,0.44212572414677515,0.13605218898052235,0.9894480630613712,0.03142567507471782,-0.03866211742529477,-0.1008781191879543,0.3093626624383078,0.2695235056985552,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.051905226934554856,0.3334597922268679,0.4421157081705297,0.13575881717633764,0.9896094404766292,0.026409934339004366,-0.039309213253691085,-0.1008781191879543,0.3093626624383078,0.2695235056985552,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.01,0.0,0.0
2,-0.05189514806574961,0.3334527994856403,0.44210684115474985,0.1356159017520698,0.9897204348395391,0.02148420099268508,-0.040002714416807826,-0.1008781191879543,0.3093626624383078,0.2695235056985552,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.01,0.0,0.0
3,-0.051882958268978055,0.3334500988909717,0.44207694382463114,0.13547806301654333,0.9898060564758657,0.016569489307116762,-0.040683129538942445,-0.1008781191879543,0.3093626624383078,0.2695235056985552,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.01,0.0,0.0
4,-0.0518873304699453,0.33344076497523595,0.44208286623628756,0.1352984607617492,0.989872240058515,0.01166039139795488,-0.04136798459540564,-0.1008781191879543,0.3093626624383078,0.2695235056985552,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.01,0.0,0.0
5,-0.05188189093855181,0.3334268156730135,0.4420749603528303,0.13514985455120399,0.9899092971777806,0.006736432716786338,-0.04205616066681683,-0.1008781191879543,0.3093626624383078,0.2695235056985552,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.01,0.0,0.0
6,-0.05188115274119321,0.3334319447378607,0.4420340470976095,0.13498842259780125,0.9899229443082643,0.0017589006464567335,-0.04275039608156328,-0.1008781191879543,0.3093626624383078,0.2695235056985552,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.01,0.0,0.0
7,-0.051884351808064395,0.3334192969645669,0.4420348848030512,0.13480918844268766,0.9899153002413361,0.0031597604831917598,-0.04340733778081986,-0.1008781191879543,0.3093626624383078,0.2695235056985552,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.01,0.0,0.0
8,-0.05189383831343007,0.33339095330602664,0.442061912073422,0.13459946912108556,0.9899175112506352,0.001777476164636935,-0.044081111716412075,-0.1008781191879543,0.3093626624383078,0.2695235056985552,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.01,0.0,0.0
9,-0.05195963683009423,0.3333874019293176,0.4420803454710769,0.13430309166683654,0.9899256006310518,0.0031610478015863725,-0.04472127637687416,-0.1008781191879543,0.3093626624383078,0.2695235056985552,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.01,0.0,0.0
10,-0.05197599905996348,0.33336473539814615,0.4421150035828285,0.13407995343960585,0.98992916159989,0.001767176348340687,-0.04538389788819402,-0.1008781191879543,0.3093626624383078,0.2695235056985552,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.01,0.0,0.0
11,-0.05198125180927209,0.3333724686436007,0.44209467657244883,0.1338590641952423,0.989925062122604,0.0032385747287946684,-0.04603948249120926,-0.1008781191879543,0.3093626624383078,0.2695235056985552,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.01,0.0,0.0
12,-0.051955167115699565,0.33336610875840816,0.44210473044545584,0.1336938581962831,0.9899215631106054,0.0017294055513485645,-0.046671836536469676,-0.1008781191879543,0.3093626624383078,0.2695235056985552,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.01,0.0,0.0
13,-0.0519563038613444,0.3333813855412873,0.44207431806454045,0.13343656890368877,0.9899218136646122,0.0032660429291847277,-0.047316148128949395,-0.1008781191879543,0.3093626624383078,0.2695235056985552,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.01,0.0,0.0
14,-0.051949337628195875,0.33336763283496373,0.4420862754290432,0.13324335642865467,0.9899204084567071,0.0016888806206053451,-0.04796812035906678,-0.1008781191879543,0.3093626624383078,0.2695235056985552,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.01,0.0,0.0
