timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.0518128851623366,0.3334545738618845,0.44217117500646774,0.13606657083093932,0.9894469043996247,0.031363170787070835,-0.03869190089010907,0.1465202639211453,0.38145972031349185,0.45147516360638046,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.05183910958441705,0.3334538846961338,0.44216560504833025,0.13393805830180616,0.9897808315860055,0.018187364923980324,-0.045428204018863015,0.1465202639211453,0.38145972031349185,0.45147516360638046,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.1,0.0,0.0
2,-0.05187365486723437,0.3334271396286127,0.4421422359940591,0.13144990038216645,0.9894611482278407,0.031308031084117977,-0.052032365185502714,0.1465202639211453,0.38145972031349185,0.45147516360638046,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.1,0.0,0.0
3,-0.051882390928203896,0.3334262038206373,0.44216098370449447,0.12872059849114847,0.9897857106455658,0.018219032503874227,-0.058509156382191514,0.1465202639211453,0.38145972031349185,0.45147516360638046,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.1,0.0,0.0
4,-0.05189849390340801,0.3334083250005839,0.4421483543083835,0.12559777476188547,0.9894682313312395,0.03122589931269344,-0.06482870794027154,0.1465202639211453,0.38145972031349185,0.45147516360638046,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.1,0.0,0.0
5,-0.05189720303061214,0.33341545536172107,0.4421618568905338,0.12222172230515745,0.9897903580224704,0.01829344971898824,-0.07100878438538241,0.1465202639211453,0.38145972031349185,0.45147516360638046,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.1,0.0,0.0
6,-0.05196078092126899,0.3333752310923685,0.44212863369900235,0.11847125092310011,0.9894761017520607,0.031208465101693717,-0.07699115840314331,0.1465202639211453,0.38145972031349185,0.45147516360638046,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.1,0.0,0.0
7,-0.051944870287537345,0.33336207137221524,0.44216209023313546,0.11450716036438516,0.9898014272841134,0.018322156982139026,-0.08273779870856503,0.1465202639211453,0.38145972031349185,0.45147516360638046,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.1,0.0,0.0
8,-0.05199670985399975,0.3333609323292193,0.4421437130894654,0.11018773695994447,0.9894912096101283,0.031119807130972416,-0.08830269719585306,0.1465202639211453,0.38145972031349185,0.45147516360638046,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.1,0.0,0.0
9,-0.05200274880419033,0.33334984810095836,0.4421701131799428,0.10566055977213314,0.9898110270571099,0.01841272645410306,-0.0936533412608172,0.1465202639211453,0.38145972031349185,0.45147516360638046,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.1,0.0,0.0
10,-0.05204618545545415,0.3333230401847027,0.44216332195338315,0.10079221181447498,0.9895045880734771,0.031119474279330223,-0.09875818214032989,0.1465202639211453,0.38145972031349185,0.45147516360638046,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.1,0.0,0.0
11,-0.052057311408133015,0.3333185713515562,0.44222259167752054,0.0957207619010467,0.9898288705235013,0.018339123169978468,-0.10363406476930843,0.1465202639211453,0.38145972031349185,0.45147516360638046,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.1,0.0,0.0
12,-0.05207605636173615,0.3332935132619728,0.44220480820169605,0.09048284846678281,0.989507070680489,0.031154184545128444,-0.10824984060950378,0.1465202639211453,0.38145972031349185,0.45147516360638046,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.1,0.0,0.0
13,-0.05207940402856486,0.3332962749184114,0.44224650095852447,0.0849676836771955,0.9898333644639711,0.018362492998792973,-0.11257540661857199,0.1465202639211453,0.38145972031349185,0.45147516360638046,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.1,0.0,0.0
14,-0.052111341255322685,0.33328079198710614,0.44221594601677394,0.07921731900334973,0.9895183887635981,0.031148561140475067,-0.11665222590029004,0.1465202639211453,0.38145972031349185,0.45147516360638046,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.1,0.0,0.0
15,-0.05211373091675883,0.33327332083748207,0.44224067536276185,0.07331446958372488,0.989836716204478,0.01837046670537153,-0.12046073948062817,0.1465202639211453,0.38145972031349185,0.45147516360638046,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.1,0.0,0.0
