timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.05183856296673982,0.33342184036837563,0.4421336317374235,0.13612078483165183,0.9894397367421919,0.031367847066828256,-0.03868071176632096,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.05191156213568735,0.33342805924551805,0.4421416977750595,0.1408760849976485,0.9887767704054139,0.031135501385662,-0.03879442660793012,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
2,-0.05190584582901211,0.3334323224247433,0.4421550273776704,0.14578139313110183,0.98806400750408,0.030955985146569262,-0.038974728675617944,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
3,-0.05190468417464876,0.3334440145825799,0.4421833799515876,0.15069844986493597,0.987324416612026,0.030806938767038328,-0.039133184049243076,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
4,-0.05190986462355607,0.333441038746306,0.4421488147779521,0.15561256219395453,0.9865634514721813,0.030563170639559056,-0.039283320979606726,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
5,-0.05190338851044705,0.3334336800509261,0.44214223525441765,0.16053507046859475,0.9857737612819296,0.030371592594283407,-0.03944805547815338,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
6,-0.05190443323374665,0.3334577221535815,0.44216651894286957,0.16541471297849344,0.9849663220848784,0.030208393440832277,-0.039582446293201824,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
7,-0.05191649268584252,0.3334334535232572,0.44217718997154365,0.17030298626493043,0.9841321486392793,0.03002943955336606,-0.03973713180380786,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
8,-0.051918036809528806,0.33344082090203336,0.4421506801632613,0.17519266774215006,0.9832745236808809,0.02978194184386453,-0.03989706993670461,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
9,-0.05191440535645422,0.3334490507541955,0.44217554841566753,0.18007902053326164,0.9823896534900912,0.029630230169285017,-0.04005202291414085,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
10,-0.05191440095056225,0.33343543833573097,0.4421368998684267,0.18497791144697953,0.9814793905873368,0.02937797348282562,-0.04022825876253912,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
11,-0.05191780231399638,0.3334362526456489,0.44217892655746166,0.18986313229944082,0.980544871467041,0.02922386337235713,-0.04036968965354109,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
12,-0.051906185599679446,0.3334493497585267,0.44217975872245574,0.19474032712040584,0.9795879778048217,0.02901188905340631,-0.04052047663651787,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
13,-0.05191712337698728,0.33344264880730384,0.4421970088569318,0.19957210308801476,0.9786138824640277,0.028843990104110782,-0.04066778765292233,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
14,-0.051915538202974905,0.3334528156132715,0.442181425369157,0.20445778627924344,0.977605566900657,0.0286154504280882,-0.040810846492493176,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
15,-0.051929645617980455,0.33343719380721965,0.44218677966740955,0.20931625234571175,0.9765763652231385,0.028413034053235378,-0.040963506776145936,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
16,-0.05191008692426689,0.3334493419189661,0.4421844509584303,0.21420236044591284,0.975517524141473,0.02819606600812172,-0.04108394739987499,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
17,-0.05192723581548303,0.3334538215159576,0.4421834515288962,0.21899243132056148,0.9744520813955089,0.027998161056080773,-0.04124995837267527,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
18,-0.05192853186250466,0.33343891401534953,0.4421965041741974,0.2238460114287842,0.9733489208198168,0.02781384248273737,-0.04136703606337017,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
19,-0.05192153063307994,0.3334376790388458,0.44218725014513505,0.22869521764470627,0.9722204626631833,0.027604763624623878,-0.04151922964910493,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
20,-0.05191676933675484,0.33344059303200635,0.442197405117923,0.23353933764012438,0.9710687113774734,0.02739951692172396,-0.04164375140115913,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
21,-0.05190846610321944,0.33344592408990875,0.44217011187513955,0.2383826566303837,0.9698927585774532,0.027133923148712404,-0.04177913464181118,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
22,-0.051914347727693266,0.33344664510020716,0.44220260658267174,0.24320082118162675,0.9686947582719132,0.026977890233514577,-0.041904884102580926,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
23,-0.051927247248259235,0.3334411275637843,0.4422014887541493,0.2479952176695886,0.9674787993883546,0.026758691186623208,-0.042037093061489415,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
24,-0.05193003384504171,0.3334394034639857,0.44218668928367216,0.25280990437009865,0.9662324085518399,0.02652112512452669,-0.04217481284630972,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
25,-0.05191560688744804,0.33344813778014604,0.44218144288509653,0.25761649575548495,0.9649616662154125,0.026315293640056386,-0.04231109984480087,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
26,-0.051921132121825156,0.3334515157478278,0.4421895421751387,0.26241832310546265,0.9636660667935878,0.026124776846092813,-0.042447985156368495,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
27,-0.05193018389241437,0.333447100187593,0.4421880769501038,0.2672159176211717,0.9623474361664552,0.025897262587019142,-0.042572259327228024,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
28,-0.05191949812271785,0.33344683910361983,0.4421982753661705,0.2719942741180666,0.9610079160979642,0.025696864812023504,-0.042691582107800385,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
29,-0.051926433172200595,0.33344511069427846,0.4421961537368211,0.2767534772285433,0.9596484553328789,0.025483277522733917,-0.04281305391850818,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
30,-0.05191165209838235,0.3334419312617874,0.4421790565004672,0.28155393626655095,0.9582521222420153,0.02524424365697452,-0.04292993540261054,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
31,-0.05190822128907764,0.33344606811805566,0.4421897772125062,0.28633977933412663,0.9568331798987415,0.02503574874042989,-0.04304657826996756,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
32,-0.05191724174490254,0.33343743141617993,0.44220348735730225,0.2911082820166662,0.9553920797402898,0.024861663940577566,-0.04317221070242773,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
33,-0.05191945139905912,0.3334557860216675,0.44217456359879287,0.2958276733303755,0.9539431049111887,0.024594195922449158,-0.043285861563169034,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
34,-0.05191786965824117,0.3334458336543647,0.4421977754805341,0.30061536304503983,0.9524442466820942,0.0244053162079346,-0.04341360390785277,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
35,-0.0519209838234968,0.3334458342539046,0.44219924319002135,0.3053027925362431,0.9509523314379132,0.024198697632452873,-0.04352345615024155,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
36,-0.05192334871314387,0.3334210581672073,0.4421930628555149,0.31006738828126473,0.9494104796426402,0.02394974683186752,-0.04363903637635467,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
37,-0.05190881051023679,0.33343874482604935,0.4422063358440132,0.3148033860152156,0.9478505030385094,0.023762345809365037,-0.04374474785201093,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
38,-0.051930668970870036,0.33342973737368703,0.4421924838896533,0.31946634516187317,0.9462885675905099,0.02349057738678607,-0.04390209482987252,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
39,-0.05192051377283116,0.33343455266944605,0.4422070572850885,0.3241718538810132,0.9446859899272444,0.02330546785929722,-0.044020958126655026,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
40,-0.05192518001957469,0.33344284938112373,0.4421974484470672,0.3288765764842763,0.9430587248987427,0.023070484320301024,-0.04413832332074274,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
41,-0.05193549411032004,0.3334412447704712,0.44218903625244577,0.33356229008987,0.9414112918818625,0.022845693222245073,-0.04426118444550824,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
42,-0.051940772362752255,0.33341836577543543,0.44217449641791634,0.3382508046532464,0.9397379871576329,0.022602412867346513,-0.04436259208980102,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
43,-0.051934802409745295,0.3334295976353588,0.442197692194478,0.34291865416826867,0.9380440214199955,0.022407318413548743,-0.04447609001632614,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
44,-0.05192283400445625,0.33343759316674887,0.4421929040744702,0.34757928841189845,0.9363276962006323,0.02217961010442422,-0.04457744373907809,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
45,-0.051908427827231304,0.3334288765300663,0.44220746440819625,0.35226541263654965,0.9345745112745264,0.021977422045987044,-0.04468282506953147,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
46,-0.05193956521830904,0.3334361576214754,0.44217148701189213,0.35685637347777405,0.9328314121325959,0.02171948840965402,-0.044803449311648744,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
47,-0.051923583825727926,0.33344477172960674,0.4422151023040005,0.3615260652730648,0.9310305077714108,0.021538112480298625,-0.0449133325179802,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
48,-0.05194022787465589,0.333417749270518,0.44221414070632625,0.3661520529284376,0.9292213893715238,0.021344250194083706,-0.044996740486375246,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
49,-0.05193506154054407,0.33343617279987486,0.4422004647727112,0.3707620170309038,0.9273918109079896,0.02107877252449671,-0.04511807993294952,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
50,-0.05193078919716328,0.33343179006377505,0.44218496367555327,0.37536967024300955,0.9255372004206022,0.020841188494004438,-0.045212234642912456,-0.19623594812704923,0.30979455114918336,0.20111684165680185,3.749399456654644e-33,-1.0,6.123233995736766e-17,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.01
