timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5,rotvec_action_0,rotvec_action_1,rotvec_action_2
0,-0.05238734930753708,0.3358131945133209,0.43999963998794556,0.034096859395504,0.989272952079773,-0.13620801270008087,-0.04029745236039162,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.04128866270184517,0.33742228150367737,0.43408674001693726,0.03919427469372749,0.9880525469779968,-0.1432453989982605,-0.0411907322704792,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.011098718270659447,0.0016090981662273407,-0.005912915803492069,-0.010492833331227303,0.002774534747004509,-0.01390651986002922,3.028914213180542,-0.43912452459335327,-0.12627184391021729
2,-0.030495552346110344,0.3389492332935333,0.4283415377140045,0.044119175523519516,0.9867497682571411,-0.15030616521835327,-0.042267441749572754,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.010793128050863743,0.0015269456198439002,-0.005745187867432833,-0.010107694193720818,0.003092524828389287,-0.014004993252456188,3.0158047676086426,-0.45938101410865784,-0.12918205559253693
3,-0.020036345347762108,0.34039896726608276,0.4227840006351471,0.04889167100191116,0.9853665232658386,-0.15737593173980713,-0.04353512451052666,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.010459108278155327,0.0014497254742309451,-0.0055574821308255196,-0.009757271967828274,0.0034295141231268644,-0.014076348394155502,3.0028207302093506,-0.47958943247795105,-0.13266946375370026
4,-0.009906995110213757,0.3417761027812958,0.41741088032722473,0.05351937189698219,0.9839048981666565,-0.1644468456506729,-0.04498925805091858,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.010129439644515514,0.0013771278318017721,-0.005373169668018818,-0.00942124892026186,0.003758295439183712,-0.014134548604488373,2.9899470806121826,-0.4997308850288391,-0.1367160826921463
5,-0.00010252814536215737,0.3430851101875305,0.4122184216976166,0.058010850101709366,0.9823668003082275,-0.17151197791099548,-0.046624600887298584,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.009804561734199524,0.0013090044958516955,-0.005192527547478676,-0.009100875817239285,0.004077540710568428,-0.014179998077452183,2.977169990539551,-0.5197861194610596,-0.14130109548568726
6,0.009382392279803753,0.3443303406238556,0.4072026014328003,0.06237444281578064,0.9807538986206055,-0.17856468260288239,-0.04843510687351227,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.00948477815836668,0.0012452078517526388,-0.005015730857849121,-0.008797074668109417,0.004386045970022678,-0.014212995767593384,2.9644744396209717,-0.5397378206253052,-0.14640209078788757
7,0.018552707508206367,0.3455159366130829,0.4023596942424774,0.06661874055862427,0.979067862033844,-0.18559794127941132,-0.050413645803928375,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.009170359000563622,0.001185589819215238,-0.004842937923967838,-0.008510527200996876,0.004682750441133976,-0.014233816415071487,2.9518444538116455,-0.5595692992210388,-0.15199488401412964
8,0.027414271607995033,0.34664595127105713,0.39768537878990173,0.07075230032205582,0.9773103594779968,-0.19260559976100922,-0.052552729845047,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.008861573413014412,0.0011300034821033478,-0.004674314521253109,-0.008241678588092327,0.004966721870005131,-0.014242702163755894,2.939267158508301,-0.5792625546455383,-0.15805268287658691
9,0.035972852259874344,0.3477242588996887,0.3931754231452942,0.07478444278240204,0.9754828214645386,-0.19958141446113586,-0.054844100028276443,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.008558634668588638,0.001078299363143742,-0.004509990103542805,-0.007990787737071514,0.005237120669335127,-0.014239856041967869,2.926727056503296,-0.5988014340400696,-0.16454805433750153
