timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5,rotvec_action_0,rotvec_action_1,rotvec_action_2
0,-0.05238734930753708,0.3358131945133209,0.43999963998794556,-0.034096859395504,-0.989272952079773,0.13620801270008087,0.04029745236039162,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.04227025434374809,0.33814677596092224,0.43447554111480713,-0.034803587943315506,-0.9880176186561584,0.14562979340553284,0.03744325041770935,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.010117152705788612,0.002333590993657708,-0.005524135660380125,-0.003020825097337365,-0.005996109917759895,-0.018732236698269844,3.037001609802246,-0.44764193892478943,-0.11509428918361664
2,-0.03250350058078766,0.3404059112071991,0.4291439950466156,-0.03528907150030136,-0.986629068851471,0.15526100993156433,0.03481156751513481,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.00976647436618805,0.0022590782027691603,-0.005331392865628004,-0.00254387641325593,-0.005625306628644466,-0.019215906038880348,3.0318262577056885,-0.4771023392677307,-0.10697302222251892
3,-0.023099130019545555,0.3425832688808441,0.42401108145713806,-0.03558845445513725,-0.9851229190826416,0.16497938334941864,0.032374560832977295,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.009404391050338745,0.0021773637272417545,-0.005132905673235655,-0.0021308043505996466,-0.005296952091157436,-0.019452102482318878,3.026639461517334,-0.5068740248680115,-0.09946588426828384
4,-0.014046743512153625,0.3446792662143707,0.419070303440094,-0.035719141364097595,-0.9834980368614197,0.1747809201478958,0.03012486733496189,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.009052473120391369,0.002096016425639391,-0.00494082598015666,-0.0017500498797744513,-0.004981884267181158,-0.019679635763168335,3.0214037895202637,-0.5369448065757751,-0.09254657477140427
5,-0.005335952155292034,0.3466945290565491,0.41431525349617004,-0.035696983337402344,-0.9817528128623962,0.1846620887517929,0.028054866939783096,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.008710863068699837,0.0020152956712991,-0.004755087196826935,-0.0013999339425936341,-0.00468028848990798,-0.019900251179933548,3.0160837173461914,-0.5673084259033203,-0.08618851751089096
6,0.003043670207262039,0.3486299216747284,0.4097396731376648,-0.0355369858443737,-0.9798860549926758,0.194618359208107,0.026156656444072723,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.008379662409424782,0.001935387379489839,-0.0045756190083920956,-0.0010789885418489575,-0.004392371512949467,-0.020112618803977966,3.0106453895568848,-0.5979543328285217,-0.08036486804485321
7,0.011102834716439247,0.3504864275455475,0.4053371846675873,-0.03525321185588837,-0.9778963327407837,0.2046450972557068,0.02442209981381893,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.008058908395469189,0.001856460701674223,-0.00440233713015914,-0.0007857414893805981,-0.004118230659514666,-0.020315492525696754,3.0050575733184814,-0.6288690567016602,-0.07504864037036896
8,0.018851347267627716,0.35226505994796753,0.40110209584236145,-0.03485982120037079,-0.9757826924324036,0.2147352546453476,0.02284291945397854,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.007748582866042852,0.0017786751268431544,-0.004235125612467527,-0.0005187037750147283,-0.003857853589579463,-0.020507821813225746,2.9992895126342773,-0.6600379347801208,-0.07021290063858032
9,0.026299988850951195,0.35396724939346313,0.39702820777893066,-0.03436873480677605,-0.9735440611839294,0.22488316893577576,0.021410757675766945,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.007448654156178236,0.00170218909624964,-0.004073878284543753,-0.000276335165835917,-0.003611179767176509,-0.020688679069280624,2.9933149814605713,-0.6914388537406921,-0.06583075225353241
