timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.05290552561195455,0.334086969746574,0.44279728103650023,-0.03027067065864357,-0.9894375509580272,0.13605681498846722,0.03981912037264783,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.059547919803241804,0.3369599257502423,0.4362539044842369,-0.03086999322105649,-0.9894297325308568,0.1361850274491088,0.039108646117384946,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.006642401684075594,0.0028729592449963093,-0.006543383933603764,-0.0013900005724281073,-0.0012499975273385644,-0.00016510255227331072
2,-0.06591746101762158,0.3397309692222394,0.4299913457136768,-0.03134144640295069,-0.9894311831870218,0.13629646022204628,0.03830042304519917,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.00636934582144022,0.0027709584683179855,-0.006262366659939289,-0.0011616527335718274,-0.001477884128689766,-0.00013332553498912603
3,-0.0720059036187638,0.34239198273760746,0.4240158531580688,-0.03169093357989665,-0.9894390772966087,0.1364055310690103,0.037410267855915946,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.006088357884436846,0.002660976490005851,-0.005975409410893917,-0.00094207952497527,-0.0016736382385715842,-0.00013111061707604676
4,-0.07782404808996923,0.34494675072098463,0.4183157492583297,-0.031929865483550146,-0.9894523941847964,0.13651280557890264,0.03645129963600001,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0058181858621537685,0.0025547861587256193,-0.005700144451111555,-0.0007416236330755055,-0.0018403109861537814,-0.00012999422324355692
5,-0.08338263802283753,0.34739909192751145,0.412879498971949,-0.03206892896459131,-0.9894702078132863,0.13661854669479115,0.03543535443591843,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.005558666307479143,0.002452374901622534,-0.00543632498010993,-0.0005591535591520369,-0.001980577828362584,-0.00012937553401570767
6,-0.08869217698449028,0.3497527500147929,0.40769588743128354,-0.032118070866137015,-0.9894916582530107,0.13672299012142672,0.03437312531326271,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0053095570765435696,0.002353666117414832,-0.005183629225939512,-0.00039351716986857355,-0.0020968893077224493,-0.0001292151864618063
7,-0.09376269371080388,0.3520112966928419,0.402754242803428,-0.03208653152053479,-0.9895159550229651,0.1368263497438024,0.03327430338500915,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.005070595070719719,0.0022585815750062466,-0.0049417209811508656,-0.0002436015201965347,-0.0021915279794484377,-0.00012948997027706355
8,-0.09860425980103014,0.3541783590630695,0.39804391885906787,-0.031982879583490595,-0.9895423831989807,0.13692883007640375,0.032147515616873124,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0048415083438158035,0.002167036524042487,-0.004710267763584852,-0.00010834114073077217,-0.002266614930704236,-0.00013016648881603032
9,-0.10322635178338674,0.35625733819279726,0.3935549168839031,-0.031815045946430344,-0.9895702989508691,0.13703062095066887,0.031000567859126367,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.004622001200914383,0.0020789382979273796,-0.004488913808017969,1.3295691132952925e-05,-0.002324118046090007,-0.00013123101962264627
10,-0.10763805299548732,0.35825149723982597,0.3892776826808819,-0.03159037126048954,-0.9895991296093958,0.13713189767095474,0.029840471864797147,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0044117821380496025,0.0019941956270486116,-0.004277312662452459,0.00012228517152834684,-0.002365854801610112,-0.00013265438610687852
11,-0.11184856418821607,0.3601641928376087,0.3852025964888924,-0.03131559845548766,-0.9896283746120812,0.13723284246205789,0.028673339634738827,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0042105549946427345,0.0019127154955640435,-0.004075128585100174,0.00021955487318336964,-0.0023935011122375727,-0.00013442822091747075
12,-0.11586654538268773,0.361998577029296,0.3813206208327234,-0.030996941215375214,-0.9896575973392718,0.13733362247702874,0.02750465053927048,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.004018006380647421,0.0018343956908211112,-0.0038819999899715185,0.000305993395159021,-0.0024086034391075373,-0.00013652689813170582
13,-0.11970049248223026,0.3637577685631744,0.3776229205876533,-0.03064008821731638,-0.989686423544347,0.13743440354243336,0.02633918694588172,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.003833830589428544,0.0017591380747035146,-0.003697587875649333,0.00038243544986471534,-0.0024125787895172834,-0.0001389367098454386
14,-0.12335812592384492,0.36544457132831665,0.37410145555400687,-0.0302503126477116,-0.9897145296781714,0.13753533918008826,0.025181318576476753,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.003657715627923608,0.0016868406673893332,-0.003521544160321355,0.00044966963469050825,-0.0024067237973213196,-0.0001416433515259996
15,-0.12684741641255542,0.3670619430632146,0.37074798790567937,-0.029832370899497872,-0.9897416496464643,0.1376365909419174,0.024034671528812855,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0034893762785941362,0.001617411500774324,-0.003353550098836422,0.0005084367003291845,-0.002392234280705452,-0.00014463788829743862
16,-0.1301761364987967,0.3686127918387563,0.367554508369902,-0.029390572888654053,-0.9897675652384609,0.13773831833260106,0.02290232935997987,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0033285038080066442,0.0015507480129599571,-0.0031932720448821783,0.0005594329559244215,-0.0023701952304691076,-0.00014790661225561053
17,-0.13335084371889194,0.370099500805527,0.3645142116205078,-0.0289290010677345,-0.9897920883363444,0.13784066110001778,0.021787310791181524,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.003174792043864727,0.0014867486897855997,-0.0030403779819607735,0.0006033126846887171,-0.0023415866307914257,-0.0001514369942015037
18,-0.13637873870584155,0.3715247884810329,0.36161971263808457,-0.028451215239955575,-0.9898150789861911,0.13794377491135495,0.020691851684549345,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.003027982311323285,0.0014253287808969617,-0.002894582459703088,0.0006406824104487896,-0.002307318849489093,-0.00015522427565883845
19,-0.13926674784552,0.3728912873723331,0.3588639205586084,-0.027960420358322774,-0.98983642948263,0.13804781565966623,0.019617807065507833,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0028877805452793837,0.001366390730254352,-0.0027555739507079124,0.0006721131503582001,-0.002268203068524599,-0.00015926249034237117
20,-0.14202056800967677,0.3742010853199775,0.3562409512745349,-0.02745972039780637,-0.9898560488928971,0.13815291550608563,0.018567125867651232,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.002753897337242961,0.0013098346535116434,-0.0026230427902191877,0.000698134012054652,-0.002224968746304512,-0.00016353852697648108
21,-0.14464662071628548,0.37545664741906615,0.3537442585922931,-0.026951714330699192,-0.9898738826784462,0.13825922754931935,0.017541022866399202,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0026260996237397194,0.0012555845314636827,-0.002496737288311124,0.0007192365592345595,-0.0021783013362437487,-0.0001680523855611682
22,-0.14715071536742688,0.376660184250848,0.3513679076385544,-0.026438810447411493,-0.9898898926069533,0.13836689712466668,0.016540604487517898,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.002504112897440791,0.0012035456020385027,-0.0023763682693243027,0.0007358792354352772,-0.0021287878043949604,-0.00017279988969676197
