timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.052905525611954614,0.33408696974657415,0.44279728103650035,-0.0302706706586429,-0.9894375509580272,0.13605681498846672,0.03981912037264871,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.08099501905524727,0.34860748599713165,0.41406164076665686,-0.034689595123588886,-0.9891526163191693,0.13614248610239035,0.042883063054827995,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.028089458122849464,0.014520497992634773,-0.028735604137182236,-0.00793484877794981,0.007283132988959551,-8.063759742071852e-05
2,-0.10416024864395848,0.36015027935839616,0.3906515593782805,-0.03741370902839131,-0.9889353059360603,0.13642102900673672,0.04468196386275862,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.023165263235569,0.011542810127139091,-0.023410115391016006,-0.004938304424285889,0.004299841355532408,-0.0005013907793909311
3,-0.12303318571699522,0.3692441786868279,0.37177161127320524,-0.03880186539556035,-0.9887896706259034,0.13685558638922873,0.0453866828420283,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.018872840330004692,0.00909385271370411,-0.018879851326346397,-0.0026030263397842646,0.0017530745826661587,-0.0008278987952508032
4,-0.13827850477414297,0.37637130744259223,0.3566709670981113,-0.03915467035649705,-0.9887034140584884,0.13742458449314107,0.04524328011153781,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.015245272777974606,0.007127107121050358,-0.015100598335266113,-0.0007952919695526361,-0.0002233489358332008,-0.0011056874645873904
5,-0.15052407149987101,0.38194224273619565,0.3446641650664999,-0.03873221967385627,-0.9886604015127314,0.13810644812790993,0.044463857517246054,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.012245631776750088,0.005570964887738228,-0.012006865814328194,0.0005560737918131053,-0.0017068642191588879,-0.0013373441761359572
6,-0.16032511832676047,0.38629242202189334,0.33515740580300524,-0.0377483592031522,-0.9886449167642058,0.1388813722490864,0.0432233082488737,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.009801113046705723,0.004350208677351475,-0.009506823495030403,0.0015326617285609245,-0.0027833995409309864,-0.0015279572689905763
7,-0.1681530853220835,0.38968929510449124,0.3276532457000163,-0.036373176637230074,-0.9886436048917981,0.1397323841600115,0.04166143714307188,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.007827775552868843,0.0033967900089919567,-0.007503976579755545,0.002211544895544648,-0.003534264862537384,-0.0016839841846376657
8,-0.17439741764696337,0.3923428298344727,0.32174460807063027,-0.03473923952810134,-0.9886460402743104,0.14064547379229847,0.03988788022289352,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.006244376767426729,0.0026535536162555218,-0.005908679682761431,0.002659246325492859,-0.004030128940939903,-0.0018118992447853088
9,-0.17937633318856575,0.39441733695768566,0.3171014196078196,-0.03294774212899454,-0.9886446112026966,0.14160959833985975,0.03798684886238534,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.004978774581104517,0.0020744483917951584,-0.004643057007342577,0.002930432790890336,-0.004329545423388481,-0.0019175437046214938
