timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5
0,-0.05770541690199972,0.33108487252075636,0.3926809776649516,-0.03101409147127372,-0.989623499893822,0.1350975999606882,0.037843005601772645,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.07098110321157795,0.33801268173420634,0.38458502862840477,-0.0313274839614933,-0.989204357426089,0.13768180230843943,0.03920522045570641,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.013329553417861462,0.006943719461560249,-0.008211212232708931,-0.0006391003844328225,0.0026961921248584986,-0.0052109663374722
2,-0.08306110117680832,0.3443178242753625,0.3770595699642354,-0.031497727500894725,-0.9887841224956954,0.14031482093690514,0.040318770915560076,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.012131884694099426,0.006323761772364378,-0.007557212375104427,-0.00019553971651475877,0.00217063189484179,-0.005422626622021198
3,-0.09401692609672573,0.3500431242301304,0.3700959827121144,-0.03149750965396987,-0.9883590991380934,0.14302538789934735,0.04120602447186364,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.01102001778781414,0.005740087945014238,-0.006937253754585981,0.0002011186006711796,0.0016770584043115377,-0.0055907731875777245
4,-0.10396892048077469,0.3552266670534394,0.36374883741645625,-0.031246475789754202,-0.9879321635123112,0.14579954312703297,0.04190693585258901,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.009996669366955757,0.005199804902076721,-0.006350018084049225,0.0005589498323388398,0.0012330742320045829,-0.005751973483711481
5,-0.11295297243126969,0.35990652465392114,0.35795341412037707,-0.030782412376550588,-0.9874897167583019,0.1487098669460762,0.04244853186824112,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.00905567966401577,0.004703328013420105,-0.005805680528283119,0.000868862378410995,0.0008389607537537813,-0.005907133221626282
6,-0.12108999194031748,0.36417057091900984,0.35264211690580766,-0.030182954075676612,-0.9870443657640777,0.15165347261427486,0.042820947451995515,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.008197941817343235,0.004249531775712967,-0.005301209166646004,0.0011365370592102408,0.0004913677694275975,-0.006059134379029274
7,-0.12843217522484812,0.3679979946171369,0.3478568215543318,-0.029345804902278595,-0.9865880527970166,0.15468879477380768,0.04306059201004457,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.007415160536766052,0.003831852925941348,-0.004833090119063854,0.0013699601404368877,0.0001850012777140364,-0.0062050530686974525
8,-0.13506365595542472,0.3714572557449934,0.3434616097089416,-0.028471188796887984,-0.9861156916461593,0.15779805226634716,0.04318574763340356,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.006704408209770918,0.003454239573329687,-0.004407708067446947,0.0015598796308040619,-7.867014937801287e-05,-0.006347500719130039
9,-0.1410855500101232,0.3745348203361479,0.33949384765600565,-0.027445118706193386,-0.9856289109694074,0.1609788250572319,0.043223063330313505,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0060594030655920506,0.003110709832981229,-0.004013400990515947,0.0017274183919653296,-0.0003104457864537835,-0.006486130878329277
10,-0.1465132586736061,0.3773389403023719,0.33583763873449274,-0.026385162724735938,-0.9851311078249443,0.16418244961781195,0.043181556492117336,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.005471312906593084,0.002803981536999345,-0.0036555437836796045,0.0018624410731717944,-0.0005095941596664488,-0.006621750071644783
11,-0.15141685723240128,0.37984337934595064,0.3325212339819459,-0.02526555910172354,-0.9846125440012168,0.16745557433232527,0.0431093997146845,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0049398052506148815,0.0025231665931642056,-0.003323477692902088,0.001979090739041567,-0.0006832367507740855,-0.006753150839358568
12,-0.15586148765882468,0.3820956831478397,0.3295167841074225,-0.02405786220826022,-0.9840706657284308,0.17081376846700175,0.0429976815755573,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.00445839436724782,0.002271692967042327,-0.003021077485755086,0.0020746116060763597,-0.0008335572783835232,-0.006882406771183014
13,-0.15989614925433224,0.38413959900087563,0.3267886320205515,-0.02281567710262311,-0.9835210158835151,0.17414796586220943,0.04287589275877683,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.004021159838885069,0.0020450816955417395,-0.002746471669524908,0.002148417988792062,-0.0009615968447178602,-0.0070102340541779995
14,-0.16351723837021906,0.3859612022184829,0.3243096764072786,-0.021551621051885038,-0.9829289895985941,0.17765546137592964,0.04271611031014804,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.003623636206611991,0.0018390656914561987,-0.0024965715128928423,0.002205776749178767,-0.0010724910534918308,-0.007133908569812775
15,-0.16678919243558862,0.3876066408517559,0.32211491623758387,-0.020128467097924728,-0.9823403487444492,0.1810978095257294,0.04249549888993461,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0032664199825376272,0.001655116444453597,-0.002269163727760315,0.002249944256618619,-0.0011652375105768442,-0.007258622907102108
16,-0.16969867385971915,0.3890957381767415,0.3200731605436018,-0.018769869518626976,-0.9817015787012802,0.18473899930924254,0.04220431859286032,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.002943383064121008,0.0014889283338561654,-0.0020680632442235947,0.002267736243084073,-0.0012364544672891498,-0.007377979811280966
17,-0.17232432887668972,0.39044319898245966,0.3182272558948324,-0.017340153615927886,-0.9810596973770115,0.1883260037197588,0.04188681866707203,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0026560735423117876,0.0013380162417888641,-0.0018804656574502587,0.0022834776900708675,-0.0012937167193740606,-0.0074986303225159645
18,-0.17470354709515784,0.391641575868598,0.3165747309218847,-0.015877110106310335,-0.9803840328549034,0.19201344948370988,0.04154396123619915,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0023967160377651453,0.0012013413943350315,-0.001710824086330831,0.0022838066797703505,-0.001336929970420897,-0.007614794187247753
19,-0.17683758457553475,0.392712306866386,0.31502817475886935,-0.014523833042029555,-0.9796895391762117,0.19571162433350064,0.04116339640034708,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0021615219302475452,0.001079787383787334,-0.0015593910356983542,0.0022725712042301893,-0.0013676155358552933,-0.007730490528047085
20,-0.1787679837696492,0.39366599613069614,0.313655053861096,-0.013110867608384603,-0.9789670132223519,0.19947166159371174,0.04077681196595359,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.001950625330209732,0.0009709445293992758,-0.0014172435039654374,0.0022639562375843525,-0.001391025260090828,-0.00784289836883545
21,-0.18050718290817255,0.3945345216894602,0.31241091273499816,-0.01166120213886444,-0.978209813407398,0.20331642939385253,0.04039810461735669,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.00175971700809896,0.0008740071207284927,-0.0012915859697386622,0.0022426710929721594,-0.0014038369990885258,-0.007954288274049759
22,-0.18206123157223408,0.39533136701421095,0.3112226516689226,-0.010325673135373484,-0.9774402904793418,0.2071365824257117,0.0399786848577805,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0015876413090154529,0.0007855544099584222,-0.0011780464556068182,0.0022127507254481316,-0.0014088063035160303,-0.00806546863168478
23,-0.18346151025916582,0.3960428880724689,0.31011480682157433,-0.009058480548298328,-0.9766205793126419,0.21110930983674475,0.0395353929213985,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0014340414199978113,0.0007040726486593485,-0.001069135032594204,0.002188032492995262,-0.0014092775527387857,-0.008172675967216492
24,-0.18474645740854562,0.39666939767368536,0.30916506268269706,-0.007704992237110891,-0.9757859389885185,0.21506298946223573,0.039119623342865194,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0012956249993294477,0.0006311117904260755,-0.000967751257121563,0.002164933132007718,-0.0014046455034986138,-0.008280658163130283
25,-0.18591259793099688,0.39723810418809935,0.308321096839975,-0.00631366075435986,-0.9749305364292803,0.21902495224295981,0.03871249308122305,-0.19999999999999996,0.4,0.3,0.0,6.123233995736766e-17,1.0,0.0,-0.0011684271739795804,0.0005669989041052759,-0.0008817070629447699,0.00212764460593462,-0.001392914797179401,-0.008386179804801941
