timestep,tcp_pose_0,tcp_pose_1,tcp_pose_2,tcp_pose_3,tcp_pose_4,tcp_pose_5,tcp_pose_6,target_pose_0,target_pose_1,target_pose_2,target_pose_3,target_pose_4,target_pose_5,target_pose_6,last_action_0,last_action_1,last_action_2,last_action_3,last_action_4,last_action_5,rotvec_action_0,rotvec_action_1,rotvec_action_2
0,-0.05238734930753708,0.3358131945133209,0.43999963998794556,-0.034096859395504,-0.989272952079773,0.13620801270008087,0.04029745236039162,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.19015373289585114,0.40372878313064575,0.3078339099884033,-0.06075198948383331,-0.9837744235992432,0.16863591969013214,-0.007681109476834536,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.24254110455513,0.06791558116674423,-0.13216572999954224,-0.06884404271841049,-0.08949579298496246,-0.06027901917695999,2.9765102863311768,-0.5102252960205078,0.02323998138308525
2,0.20122508704662323,0.40108320116996765,0.2984800934791565,-0.039428338408470154,-0.9811897873878479,0.18873706459999084,-0.009504246525466442,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,0.011071219108998775,-0.0026455640327185392,-0.009353689849376678,0.04134028032422066,-0.013262884691357613,-0.03987766057252884,3.0074431896209717,-0.578496515750885,0.029131604358553886
3,0.1995168775320053,0.40060871839523315,0.3008698523044586,-0.02506263367831707,-0.9775954484939575,0.20887458324432373,-0.007102298550307751,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0017082290723919868,-0.0004744938632939011,0.0023897725623100996,0.029200369492173195,-0.0023656466510146856,-0.04079517349600792,3.023148775100708,-0.6459313035011292,0.02196319028735161
4,0.1995987892150879,0.40033265948295593,0.30124232172966003,-0.016995521262288094,-0.9729508757591248,0.2303418219089508,-0.004523827228695154,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,8.190807420760393e-05,-0.0002760634815786034,0.0003724786511156708,0.01692386530339718,0.0005294122966006398,-0.04393178969621658,3.0239789485931396,-0.7159140706062317,0.014060142450034618
5,0.19963319599628448,0.4000236690044403,0.30159541964530945,-0.01218046061694622,-0.9673358201980591,0.25319793820381165,-0.001965771894901991,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,3.440466389292851e-05,-0.0003089870442636311,0.0003531116235535592,0.010564956814050674,0.0019321896834298968,-0.047111134976148605,3.0156328678131104,-0.7893359661102295,0.006127919536083937
6,0.19969916343688965,0.39970797300338745,0.30183926224708557,-0.009340583346784115,-0.960699737071991,0.2774324119091034,0.00033373350743204355,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,6.597128231078386e-05,-0.00031570933060720563,0.00024385481083299965,0.006593035999685526,0.0023944787681102753,-0.050296422094106674,3.0003106594085693,-0.8664345145225525,-0.0010422667255625129
7,0.19977761805057526,0.3993968665599823,0.30202051997184753,-0.007667065132409334,-0.9529761075973511,0.30293965339660645,0.0023282235488295555,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,7.845175423426554e-05,-0.00031109200790524483,0.00018125353381037712,0.004160946700721979,0.0024328522849828005,-0.053340502083301544,2.979336738586426,-0.9470961689949036,-0.0072790831327438354
8,0.1998591274023056,0.3990970849990845,0.3021561801433563,-0.006686593871563673,-0.9441038966178894,0.32955557107925415,0.004037382546812296,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,8.150425128405914e-05,-0.0002997803676407784,0.00013566492998506874,0.0026444897521287203,0.002296835882589221,-0.05614159256219864,2.953430652618408,-1.0309441089630127,-0.012629755772650242
9,0.1999383419752121,0.3988147974014282,0.30225658416748047,-0.006117142736911774,-0.9340386986732483,0.3570772111415863,0.005503063090145588,0.20000000298023224,0.4000000059604645,0.30000001192092896,0.0,0.0,1.0,0.0,7.921319775050506e-05,-0.0002822817477863282,0.00010041026689577848,0.0016847379738464952,0.00210531591437757,-0.0586320124566555,2.922996997833252,-1.1174415349960327,-0.017220817506313324
