time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/learning_rate,train/value_loss,train/entropy_loss,train/approx_kl,train/std,train/loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/clip_range,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean
524288,27,18799,1,,,,,,,,,,,,,
1048576,61,17059,2,0.0001,0.02607558568706736,-8.539944402873516,0.0060240016,1.006050944328308,-0.0899185836315155,0.05439925193786621,-0.005252023966022534,-0.864050030708313,0.2,8,,
1572864,94,16650,3,0.0001,0.011749952456739265,-8.572503753006458,0.005550348,1.0112402439117432,-0.08944587409496307,0.05249905586242676,-0.004235484246692067,0.5431902706623077,0.2,16,,
2097152,126,16576,4,0.0001,0.0044584885699805454,-8.591184243559837,0.0053554806,1.0136325359344482,-0.0910850241780281,0.045919179916381836,-0.004258819035158012,0.813015803694725,0.2,24,,
2621440,158,16525,5,0.0001,0.007518891412473749,-8.614101830869913,0.0040055066,1.0185140371322632,-0.08657623082399368,0.023258209228515625,-0.0017989608534207946,0.5838849544525146,0.2,32,,
3145728,189,16619,6,0.0001,0.003679024310258683,-8.640436381101608,0.0037681856,1.022722601890564,-0.08925610780715942,0.0233612060546875,-0.002227037283773825,0.7577218562364578,0.2,40,360.0,-3.247735848426819
3670016,215,17008,7,0.0001,0.00437981113918795,-8.67284482344985,0.0030368543,1.0291861295700073,-0.08819456398487091,0.013826370239257812,-0.0013666483173437882,0.38663196563720703,0.2,48,360.0,-3.247735848426819
4194304,254,16508,8,0.0001,0.0012120326446165564,-8.695046178996563,0.0055828094,1.0317013263702393,-0.09261203557252884,0.05510687828063965,-0.005087187450953934,0.8695285320281982,0.2,56,360.0,-3.247735848426819
4718592,298,15794,9,0.0001,0.0037537768448601128,-8.71786941960454,0.0048459047,1.0367236137390137,-0.09025122225284576,0.039777278900146484,-0.00300358800950562,0.6240143179893494,0.2,64,360.0,-3.247735848426819
5242880,343,15250,10,0.0001,0.0014735207992089272,-8.738880697637796,0.005321048,1.0395084619522095,-0.09232306480407715,0.04875040054321289,-0.004425962298682862,0.8270774781703949,0.2,72,360.0,-3.247735848426819
5767168,388,14853,11,0.0001,0.0027244487591815414,-8.762659136205912,0.004437403,1.0448169708251953,-0.09093499928712845,0.031463623046875,-0.002468196781592269,0.6068264245986938,0.2,80,360.0,-3.247735848426819
6291456,418,15051,12,0.0001,0.0013653482387780969,-8.786101784557104,0.0050863344,1.0480679273605347,-0.0918225347995758,0.043424129486083984,-0.0038775128136876447,0.8205809891223907,0.2,88,360.0,-3.2750409841537476
6815744,448,15203,13,0.0001,0.0020520797938843316,-8.805924963206053,0.005403955,1.0515011548995972,-0.0926266759634018,0.049336910247802734,-0.003946851983982924,0.5541743040084839,0.2,96,360.0,-3.2750409841537476
7340032,488,15020,14,0.0001,0.0007183741690823808,-8.824780073016882,0.0056091817,1.0552284717559814,-0.09568199515342712,0.05344820022583008,-0.004794963732820179,0.8454141467809677,0.2,104,360.0,-3.2750409841537476
7864320,529,14855,15,0.0001,0.0021602793167403433,-8.849901746958494,0.0038521742,1.0598914623260498,-0.0902833640575409,0.021633148193359375,-0.001713078556349501,0.731827586889267,0.2,112,360.0,-3.2750409841537476
8388608,569,14737,16,0.0001,0.0009638573574193288,-8.87546968832612,0.003930363,1.0640515089035034,-0.09119436144828796,0.02498912811279297,-0.0023246622990882315,0.863277330994606,0.2,120,360.0,-3.2750409841537476
8912896,607,14664,17,0.0001,0.0013139197353666532,-8.8965975753963,0.0037843229,1.0676559209823608,-0.09086744487285614,0.021279573440551758,-0.001901803991131601,0.8272047489881516,0.2,128,360.0,-3.1317891263961792
9437184,633,14887,18,0.0001,0.003139886439385009,-8.923361029475927,0.0035171926,1.0734102725982666,-0.0897119790315628,0.017777442932128906,-0.0012751872486660432,0.5373449325561523,0.2,136,360.0,-3.1317891263961792
9961472,667,14915,19,0.0001,0.0005076924322793275,-8.933667816221714,0.0067565115,1.073775053024292,-0.09682554751634598,0.07150077819824219,-0.005752601593485451,0.8609652370214462,0.2,144,360.0,-3.1317891263961792
10485760,705,14855,20,0.0001,0.0022616578307861346,-8.950693864375353,0.004027029,1.078075885772705,-0.09218750894069672,0.025351524353027344,-0.002013808977608278,0.6707221865653992,0.2,152,360.0,-3.1317891263961792
11010048,744,14790,21,0.0001,0.0012212012074996892,-8.973687004297972,0.003692214,1.082467794418335,-0.09153690189123154,0.021039724349975586,-0.0018781610240239388,0.8149087876081467,0.2,160,360.0,-3.1317891263961792
11534336,784,14698,22,0.0001,0.00240714686242427,-9.008136197924614,0.003237418,1.0896034240722656,-0.09275040030479431,0.01569366455078125,-0.0012148601119861269,0.6232177913188934,0.2,168,360.0,-3.1317891263961792
12058624,817,14753,23,0.0001,0.0014869619612909446,-9.044517755508423,0.0035943682,1.0958226919174194,-0.0912473276257515,0.01985454559326172,-0.0016606240369583247,0.7778822183609009,0.2,176,360.0,-2.8699205255508424
12582912,844,14899,24,0.0001,0.0022692006796205533,-9.06348666921258,0.004316337,1.0979424715042114,-0.09419316053390503,0.02885580062866211,-0.0022701115178733744,0.6568394899368286,0.2,184,360.0,-2.8699205255508424
13107200,878,14925,25,0.0001,0.00046758119697187794,-9.048977561295033,0.006762359,1.0937044620513916,-0.09726369380950928,0.07701969146728516,-0.007342735276779422,0.8879129365086555,0.2,192,360.0,-2.8699205255508424
13631488,915,14884,26,0.0001,0.001859861328284751,-9.062274929136038,0.0047549317,1.0991013050079346,-0.09362170845270157,0.038239240646362305,-0.0027465251926059864,0.6373861134052277,0.2,200,360.0,-2.8699205255508424
14155776,955,14818,27,0.0001,0.0010317206742911367,-9.084992002695799,0.004564919,1.102832317352295,-0.09507303684949875,0.03466200828552246,-0.003054927905850491,0.8085628598928452,0.2,208,360.0,-2.8699205255508424
14680064,993,14782,28,0.0001,0.0018638655769791512,-9.111203361302614,0.0033461351,1.108540415763855,-0.0926586389541626,0.019258737564086914,-0.0015093008452140566,0.657974123954773,0.2,216,360.0,-2.8699205255508424
15204352,1019,14908,29,0.0001,0.001117856774271786,-9.140095017850399,0.0037546393,1.1136301755905151,-0.09433777630329132,0.01938915252685547,-0.0018567770664503769,0.7390137016773224,0.2,224,360.0,-2.7866932702064515
15728640,1048,15000,30,0.0001,0.0010712136643178383,-9.151434317231178,0.004135326,1.1146447658538818,-0.09357324987649918,0.029531240463256836,-0.0020233483262472873,0.6852138340473175,0.2,232,360.0,-2.7866932702064515
16252928,1086,14964,31,0.0001,0.0012519521428657754,-9.16123041138053,0.0048236204,1.1175110340118408,-0.09434803575277328,0.03854703903198242,-0.0031281336823667516,0.5604101121425629,0.2,240,360.0,-2.7866932702064515
16777216,1123,14937,32,0.0001,0.0009220152319358021,-9.18786545470357,0.004825671,1.1234965324401855,-0.09726707637310028,0.040548086166381836,-0.00360236134747538,0.742610514163971,0.2,248,360.0,-2.7866932702064515
17301504,1161,14902,33,0.0001,0.0015439731164406112,-9.215647902339697,0.0046375543,1.1284793615341187,-0.09501437842845917,0.03435492515563965,-0.0027744133967644302,0.6297390758991241,0.2,256,360.0,-2.7866932702064515
17825792,1195,14906,34,0.0001,0.001079052931345359,-9.23740142211318,0.004942796,1.1320691108703613,-0.09609450399875641,0.04067802429199219,-0.0036821191013132193,0.7687498331069946,0.2,264,360.0,-2.7464728260040285
18350080,1224,14985,35,0.0001,0.002263394864712609,-9.255005680024624,0.004154966,1.1358296871185303,-0.09481394290924072,0.02679133415222168,-0.0020834523729718057,0.7000770270824432,0.2,272,360.0,-2.7464728260040285
18874368,1257,15009,36,0.0001,0.00037436517970945715,-9.251945603638887,0.0053584096,1.1336143016815186,-0.09615054726600647,0.048407793045043945,-0.004115869549877971,0.7416907250881195,0.2,280,360.0,-2.7464728260040285
19398656,1291,15021,37,0.0001,0.0013644510822814482,-9.267401605844498,0.003804278,1.1393423080444336,-0.09651708602905273,0.022431612014770508,-0.0019624368337645137,0.6409938037395477,0.2,288,360.0,-2.7464728260040285
19922944,1325,15029,38,0.0001,0.0011897808130925114,-9.298462316393852,0.0039025215,1.1451367139816284,-0.09608681499958038,0.02426886558532715,-0.0021772749696538085,0.7590396851301193,0.2,296,360.0,-2.7464728260040285
20447232,1360,15026,39,0.0001,0.001786693154826935,-9.33212187513709,0.00407605,1.1520518064498901,-0.0955481007695198,0.02786087989807129,-0.0022819243340563844,0.7727846056222916,0.2,304,360.0,-2.7464728260040285
20971520,1390,15086,40,0.0001,0.0012419114691510913,-9.36036717146635,0.004310914,1.1567660570144653,-0.09615327417850494,0.03209710121154785,-0.0029514612069760915,0.8647918403148651,0.2,312,360.0,-2.763008153438568
21495808,1415,15186,41,0.0001,0.0018247983334731543,-9.367026772350073,0.00482493,1.1569193601608276,-0.09620428085327148,0.04063534736633301,-0.0028600913442460296,0.6788376569747925,0.2,320,360.0,-2.763008153438568
22020096,1444,15247,42,0.0001,0.00044781560234241624,-9.362308517098427,0.005615169,1.1559717655181885,-0.10085663199424744,0.0551908016204834,-0.0056399460199827445,0.788549080491066,0.2,328,360.0,-2.763008153438568
22544384,1477,15262,43,0.0001,0.001199986458686908,-9.376943372189999,0.0040699067,1.1602134704589844,-0.09596423804759979,0.027558565139770508,-0.002678344899777585,0.6871484816074371,0.2,336,360.0,-2.763008153438568
23068672,1514,15227,44,0.0001,0.0007810620950294833,-9.39507319405675,0.0044577364,1.1637284755706787,-0.0983128622174263,0.03192329406738281,-0.003210345888419397,0.8297636806964874,0.2,344,360.0,-2.763008153438568
23592960,1555,15171,45,0.0001,0.0015251468748829211,-9.416276387870312,0.004465009,1.1682978868484497,-0.09863987565040588,0.03278923034667969,-0.003011301993865345,0.7920531332492828,0.2,352,360.0,-2.3930045676231386
24117248,1579,15273,46,0.0001,0.0029074735675749253,-9.449370492249727,0.0035420884,1.176241397857666,-0.09600045531988144,0.02223992347717285,-0.001654201256314991,0.6189294457435608,0.2,360,360.0,-2.3930045676231386
24641536,1603,15364,47,0.0001,0.0003449550117693434,-9.449163790792227,0.0050928425,1.172228217124939,-0.09884294122457504,0.04685521125793457,-0.0043334892670827685,0.7006067633628845,0.2,368,360.0,-2.3930045676231386
25165824,1629,15442,48,0.0001,0.0011975216375503805,-9.454739395529032,0.0037147305,1.176952600479126,-0.09741996973752975,0.020682573318481445,-0.002191319459143415,0.5665126144886017,0.2,376,360.0,-2.3930045676231386
25690112,1657,15498,49,0.0001,0.0007237264574087021,-9.469402596354485,0.00468572,1.1786181926727295,-0.09974244982004166,0.03203392028808594,-0.003831913071735471,0.8182322382926941,0.2,384,360.0,-2.3930045676231386
26214400,1687,15530,50,0.0001,0.0015316601393351448,-9.481376558542252,0.0041301204,1.1817805767059326,-0.09844785183668137,0.02868342399597168,-0.002918072823149487,0.74744513630867,0.2,392,360.0,-2.3930045676231386
26738688,1717,15569,51,0.0001,0.0007961195492498518,-9.484228197485209,0.0048766513,1.1811392307281494,-0.10051929950714111,0.03882718086242676,-0.004531414674602274,0.8759302794933319,0.2,400,360.0,-1.953280937075615
27262976,1741,15654,52,0.0001,0.0020386376136229956,-9.485552929341793,0.0035302453,1.1823729276657104,-0.09672568738460541,0.01946091651916504,-0.0016751173245665996,0.6774826049804688,0.2,408,360.0,-1.953280937075615
27787264,1766,15734,53,0.0001,0.00033197447612565156,-9.473448354750872,0.005466408,1.1791114807128906,-0.10066013038158417,0.04993081092834473,-0.0056253245077186875,0.7121157944202423,0.2,416,360.0,-1.953280937075615
28311552,1790,15808,54,0.0001,0.0016373290236515459,-9.482296451926231,0.0037335556,1.1829500198364258,-0.0984010174870491,0.020217180252075195,-0.002044894142954945,0.7030435502529144,0.2,424,360.0,-1.953280937075615
28835840,1816,15870,55,0.0001,0.0006452400341458997,-9.486389331519604,0.0052381204,1.1832842826843262,-0.1009446531534195,0.0395662784576416,-0.004831048639971414,0.871208667755127,0.2,432,360.0,-1.953280937075615
29360128,1843,15923,56,0.0001,0.002020064277076017,-9.496019627898932,0.004046048,1.1856099367141724,-0.09926099330186844,0.025502681732177734,-0.0026273909174960863,0.7550906240940094,0.2,440,360.0,-1.953280937075615
29884416,1869,15987,57,0.0001,0.0007576082832656539,-9.48906635120511,0.004899453,1.1834355592727661,-0.10002463310956955,0.03979635238647461,-0.004656008293522973,0.9123461544513702,0.2,448,360.0,-1.701367855668068
30408704,1893,16062,58,0.0001,0.0015231765123644436,-9.489091239869595,0.0043515684,1.184543251991272,-0.0959937795996666,0.0340571403503418,-0.001887130438717577,0.5621501803398132,0.2,456,360.0,-1.701367855668068
30932992,1917,16132,59,0.0001,0.0003371367355384791,-9.482283547520638,0.006460784,1.183045506477356,-0.10531041026115417,0.07104086875915527,-0.007730954953331093,0.6882078945636749,0.2,464,360.0,-1.701367855668068
31457280,1942,16197,60,0.0001,0.0013961513814138016,-9.490423236042261,0.0050865663,1.1855531930923462,-0.09895598143339157,0.04147481918334961,-0.003450112848668141,0.7290627360343933,0.2,472,360.0,-1.701367855668068
31981568,1967,16255,61,0.0001,0.00040252045437227935,-9.484030932188034,0.0067181587,1.1836050748825073,-0.105606310069561,0.07169485092163086,-0.007749869128019782,0.8715879172086716,0.2,480,360.0,-1.701367855668068
32505856,1994,16301,62,0.0001,0.0008280719123376912,-9.475634906440973,0.0056159683,1.181575059890747,-0.10128206014633179,0.05126333236694336,-0.005244577714393017,0.8792655691504478,0.2,488,360.0,-1.4085662531852723
33030144,2017,16372,63,0.0001,0.0016721308375053923,-9.474984239786863,0.0041116243,1.1826696395874023,-0.09708348661661148,0.027372121810913086,-0.0021044019786131685,0.6398093998432159,0.2,496,360.0,-1.4085662531852723
33554432,2040,16440,64,0.0001,0.00021869550590736253,-9.454750042408705,0.005724875,1.1775474548339844,-0.10101275891065598,0.053679704666137695,-0.005638725306653214,0.7477733194828033,0.2,504,360.0,-1.4085662531852723
34078720,2065,16501,65,0.0001,0.0017581798701939988,-9.450974322855473,0.0044551212,1.1784813404083252,-0.09893716126680374,0.03448009490966797,-0.0027463985215945286,0.637500524520874,0.2,512,360.0,-1.4085662531852723
34603008,2089,16556,66,0.0001,0.0004285867061071258,-9.435070049017668,0.0064810235,1.1745448112487793,-0.10250658541917801,0.06488561630249023,-0.0072920869347399275,0.9013987630605698,0.2,520,360.0,-1.4085662531852723
35127296,2114,16613,67,0.0001,0.001914445484544558,-9.433003086596727,0.003924003,1.1754910945892334,-0.09806492924690247,0.028043031692504883,-0.0024011770638026064,0.7022919654846191,0.2,528,360.0,-1.4085662531852723
35651584,2139,16663,68,0.0001,0.0004079086596675552,-9.416513454169035,0.0049170973,1.171425700187683,-0.09910780191421509,0.03837990760803223,-0.00471956831688658,0.8990977108478546,0.2,536,360.0,-1.077583291232586
36175872,2162,16725,69,0.0001,0.0015618270454069716,-9.418323427438736,0.0038485262,1.1738061904907227,-0.0958029106259346,0.025543212890625,-0.0014827690456513665,0.5176444351673126,0.2,544,360.0,-1.077583291232586
36700160,2186,16785,70,0.0001,0.00023015677362536735,-9.401059690862894,0.005563871,1.1689209938049316,-0.10111446678638458,0.05372762680053711,-0.006448841184919729,0.7476966083049774,0.2,552,360.0,-1.077583291232586
37224448,2210,16840,71,0.0001,0.0016066269836301217,-9.399871598929167,0.003714225,1.170661211013794,-0.09591957926750183,0.025376081466674805,-0.0018560110850103229,0.6835244596004486,0.2,560,360.0,-1.077583291232586
37748736,2234,16896,72,0.0001,0.00024390236217186612,-9.383170459419489,0.0059662126,1.1666901111602783,-0.1014406606554985,0.05750465393066406,-0.0065452029684820445,0.8610650449991226,0.2,568,360.0,-1.077583291232586
38273024,2257,16952,73,0.0001,0.0017505415125924628,-9.384652730077505,0.003652296,1.168632984161377,-0.09529850631952286,0.025332927703857422,-0.0017152529637769476,0.7003722190856934,0.2,576,360.0,-1.077583291232586
38797312,2282,17000,74,0.0001,0.0002491523583785238,-9.359463714063168,0.005330324,1.1621124744415283,-0.10009115934371948,0.0466461181640625,-0.005764659904343716,0.8799302950501442,0.2,584,360.0,-0.5939905304461718
39321600,2305,17055,75,0.0001,0.0012576695503412338,-9.28804573789239,0.006120119,1.1431090831756592,-0.09535551071166992,0.054106712341308594,-0.004107066787128133,0.6624324321746826,0.2,592,360.0,-0.5939905304461718
39845888,2329,17108,76,0.0001,0.0012571372521961166,-9.177366141229868,0.006082598,1.120593786239624,-0.09683375060558319,0.048531293869018555,-0.004690587730692641,0.3595379590988159,0.2,600,360.0,-0.5939905304461718
40370176,2352,17160,77,0.0001,0.0003294571276910574,-9.033080890774727,0.008227361,1.0917702913284302,-0.0995345488190651,0.0717768669128418,-0.00838590327930433,0.9018889144062996,0.2,608,360.0,-0.5939905304461718
40894464,2376,17210,78,0.0001,0.002021516773766052,-8.929691411554813,0.004309588,1.0753989219665527,-0.09120457619428635,0.024507999420166016,-0.0023207644971989794,0.5105958580970764,0.2,616,360.0,-0.5939905304461718
41418752,2400,17253,79,0.0001,0.0002514358325242938,-8.774452492594719,0.0087769525,1.043991208076477,-0.09998998790979385,0.07530832290649414,-0.010593030497147993,0.9314702823758125,0.2,624,360.0,-1.2361938923597335
41943040,2423,17303,80,0.0001,0.0017533536306473252,-8.673042606562376,0.004199732,1.0306484699249268,-0.08940129727125168,0.02611374855041504,-0.002072714067026027,0.4168062210083008,0.2,632,360.0,-1.2361938923597335
42467328,2447,17352,81,0.0001,0.00012383567053575462,-8.515750713646412,0.009793581,0.9996131658554077,-0.10211846977472305,0.0943305492401123,-0.013748634646617575,0.8153915703296661,0.2,640,360.0,-1.2361938923597335
42991616,2470,17398,82,0.0001,0.0018350891114096157,-8.42372826859355,0.0039480445,0.9896731376647949,-0.08705403655767441,0.024325132369995117,-0.001765248728588631,0.6196649372577667,0.2,648,360.0,-1.2361938923597335
43515904,2494,17445,83,0.0001,0.00017259778616107724,-8.290057834237814,0.008003516,0.962213933467865,-0.09539932012557983,0.06008028984069824,-0.009500137568466016,0.9025294631719589,0.2,656,360.0,-1.2361938923597335
44040192,2518,17488,84,0.0001,0.0018012932368947077,-8.19704032316804,0.0038582874,0.9532048106193542,-0.08433543145656586,0.02563166618347168,-0.001757218062721222,0.6364011466503143,0.2,664,360.0,-1.2361938923597335
44564480,2542,17526,85,0.0001,0.00017685451524585005,-8.068936564028263,0.007360115,0.9269876480102539,-0.08939407020807266,0.04884934425354004,-0.008025907328828907,0.892308384180069,0.2,672,360.0,-0.8194516870379448
45088768,2565,17572,86,0.0001,0.0014756215450688615,-7.972836220636964,0.0046594427,0.918347954750061,-0.08121975511312485,0.03394007682800293,-0.002043992429435093,0.4374316334724426,0.2,680,360.0,-0.8194516870379448
45613056,2589,17617,87,0.0001,0.00014481106927632936,-7.836154410615563,0.007715337,0.8913567066192627,-0.08976326137781143,0.05015301704406738,-0.008627921810784756,0.8241357654333115,0.2,688,360.0,-0.8194516870379448
46137344,2612,17661,88,0.0001,0.0015851268231017457,-7.741182062774897,0.0041163056,0.8839057683944702,-0.0789899155497551,0.026259660720825195,-0.0015548118904007424,0.6553009748458862,0.2,696,360.0,-0.8194516870379448
46661632,2635,17704,89,0.0001,0.00016405054213919357,-7.627129463478923,0.0069047967,0.8621014356613159,-0.08643858134746552,0.049054861068725586,-0.007205422099559655,0.8735272437334061,0.2,704,360.0,-0.8194516870379448
47185920,2659,17739,90,0.0001,0.0014064313695598685,-7.543581623584032,0.003756226,0.8558976054191589,-0.07644612342119217,0.027390241622924805,-0.0013705882756767096,0.7071153521537781,0.2,712,360.0,-0.5284537051618099
47710208,2683,17781,91,0.0001,0.0016061883311522251,-7.504245791584253,0.0034208794,0.8510953783988953,-0.07634969055652618,0.01887798309326172,-0.0009026219113366096,0.32626020908355713,0.2,720,360.0,-0.5284537051618099
48234496,2706,17819,92,0.0001,0.00010525315249765299,-7.388416793197393,0.008111253,0.8293681144714355,-0.08567651361227036,0.06857991218566895,-0.009192886721393734,0.9132832512259483,0.2,728,360.0,-0.5284537051618099
48758784,2730,17859,93,0.0001,0.0016461024783893663,-7.3154466021806,0.0034866966,0.8251844644546509,-0.07514295727014542,0.019667863845825195,-0.0008066661710017797,0.5313898324966431,0.2,736,360.0,-0.5284537051618099
49283072,2753,17899,94,0.0001,0.00016423009321897553,-7.213455276563764,0.00680367,0.8058618903160095,-0.08166703581809998,0.05450439453125,-0.007008999705249153,0.9373728409409523,0.2,744,360.0,-0.5284537051618099
49807360,2776,17938,95,0.0001,0.0016385185913350142,-7.144139971584082,0.003410149,0.8022605180740356,-0.07201340049505234,0.020119428634643555,-0.0007942647339405084,0.6104064881801605,0.2,752,360.0,-0.5284537051618099
50331648,2801,17968,96,0.0001,0.00016534900072429082,-7.048804463818669,0.0061359927,0.7839106917381287,-0.07789012044668198,0.04066872596740723,-0.00540476453534211,0.9236346110701561,0.2,760,360.0,-0.3042306287679821
