"Step","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean__MIN","Act. Rate/Magnitude (-0.5/-0.02) - rollout/ep_rew_mean__MAX","Act. Rate (-1.0) - rollout/ep_rew_mean","Act. Rate (-1.0) - rollout/ep_rew_mean__MIN","Act. Rate (-1.0) - rollout/ep_rew_mean__MAX","Act. Rate Pos (-1.0) - rollout/ep_rew_mean","Act. Rate Pos (-1.0) - rollout/ep_rew_mean__MIN","Act. Rate Pos (-1.0) - rollout/ep_rew_mean__MAX"
"11","-4.36989164352417","-4.36989164352417","-4.36989164352417","-4.421738147735596","-4.421738147735596","-4.421738147735596","-4.32662296295166","-4.32662296295166","-4.32662296295166"
"12","-4.36989164352417","-4.36989164352417","-4.36989164352417","-4.421738147735596","-4.421738147735596","-4.421738147735596","-4.32662296295166","-4.32662296295166","-4.32662296295166"
"13","-4.36989164352417","-4.36989164352417","-4.36989164352417","-4.421738147735596","-4.421738147735596","-4.421738147735596","-4.32662296295166","-4.32662296295166","-4.32662296295166"
"14","-4.36989164352417","-4.36989164352417","-4.36989164352417","-4.421738147735596","-4.421738147735596","-4.421738147735596","-4.32662296295166","-4.32662296295166","-4.32662296295166"
"15","-4.36989164352417","-4.36989164352417","-4.36989164352417","-4.421738147735596","-4.421738147735596","-4.421738147735596","-4.32662296295166","-4.32662296295166","-4.32662296295166"
"16","-4.36989164352417","-4.36989164352417","-4.36989164352417","-4.421738147735596","-4.421738147735596","-4.421738147735596","-4.32662296295166","-4.32662296295166","-4.32662296295166"
"17","-4.36989164352417","-4.36989164352417","-4.36989164352417","-4.421738147735596","-4.421738147735596","-4.421738147735596","-4.32662296295166","-4.32662296295166","-4.32662296295166"
"18","-4.36989164352417","-4.36989164352417","-4.36989164352417","-4.421738147735596","-4.421738147735596","-4.421738147735596","-4.32662296295166","-4.32662296295166","-4.32662296295166"
"19","-4.36989164352417","-4.36989164352417","-4.36989164352417","-4.421738147735596","-4.421738147735596","-4.421738147735596","-4.32662296295166","-4.32662296295166","-4.32662296295166"
"20","-4.36989164352417","-4.36989164352417","-4.36989164352417","-4.421738147735596","-4.421738147735596","-4.421738147735596","-4.32662296295166","-4.32662296295166","-4.32662296295166"
"21","-4.36989164352417","-4.36989164352417","-4.36989164352417","-4.421738147735596","-4.421738147735596","-4.421738147735596","-4.32662296295166","-4.32662296295166","-4.32662296295166"
"22","-4.36989164352417","-4.36989164352417","-4.36989164352417","-4.421738147735596","-4.421738147735596","-4.421738147735596","-4.32662296295166","-4.32662296295166","-4.32662296295166"
"23","-4.427997589111328","-4.427997589111328","-4.427997589111328","-4.235779762268066","-4.235779762268066","-4.235779762268066","-4.305555820465088","-4.305555820465088","-4.305555820465088"
"24","-4.427997589111328","-4.427997589111328","-4.427997589111328","-4.235779762268066","-4.235779762268066","-4.235779762268066","-4.305555820465088","-4.305555820465088","-4.305555820465088"
"25","-4.427997589111328","-4.427997589111328","-4.427997589111328","-4.235779762268066","-4.235779762268066","-4.235779762268066","-4.305555820465088","-4.305555820465088","-4.305555820465088"
"26","-4.427997589111328","-4.427997589111328","-4.427997589111328","-4.235779762268066","-4.235779762268066","-4.235779762268066","-4.305555820465088","-4.305555820465088","-4.305555820465088"
"27","-4.427997589111328","-4.427997589111328","-4.427997589111328","-4.235779762268066","-4.235779762268066","-4.235779762268066","-4.305555820465088","-4.305555820465088","-4.305555820465088"
"28","-4.427997589111328","-4.427997589111328","-4.427997589111328","-4.235779762268066","-4.235779762268066","-4.235779762268066","-4.305555820465088","-4.305555820465088","-4.305555820465088"
"29","-4.427997589111328","-4.427997589111328","-4.427997589111328","-4.235779762268066","-4.235779762268066","-4.235779762268066","-4.305555820465088","-4.305555820465088","-4.305555820465088"
"30","-4.427997589111328","-4.427997589111328","-4.427997589111328","-4.235779762268066","-4.235779762268066","-4.235779762268066","-4.305555820465088","-4.305555820465088","-4.305555820465088"
"31","-4.427997589111328","-4.427997589111328","-4.427997589111328","-4.235779762268066","-4.235779762268066","-4.235779762268066","-4.305555820465088","-4.305555820465088","-4.305555820465088"
"32","-4.427997589111328","-4.427997589111328","-4.427997589111328","-4.235779762268066","-4.235779762268066","-4.235779762268066","-4.305555820465088","-4.305555820465088","-4.305555820465088"
"33","-4.427997589111328","-4.427997589111328","-4.427997589111328","-4.235779762268066","-4.235779762268066","-4.235779762268066","-4.305555820465088","-4.305555820465088","-4.305555820465088"
"34","-4.427997589111328","-4.427997589111328","-4.427997589111328","-4.235779762268066","-4.235779762268066","-4.235779762268066","-4.305555820465088","-4.305555820465088","-4.305555820465088"
"35","-4.308216094970703","-4.308216094970703","-4.308216094970703","-3.537618637084961","-3.537618637084961","-3.537618637084961","-4.189823150634766","-4.189823150634766","-4.189823150634766"
"36","-4.308216094970703","-4.308216094970703","-4.308216094970703","-3.537618637084961","-3.537618637084961","-3.537618637084961","-4.189823150634766","-4.189823150634766","-4.189823150634766"
"37","-4.308216094970703","-4.308216094970703","-4.308216094970703","-3.537618637084961","-3.537618637084961","-3.537618637084961","-4.189823150634766","-4.189823150634766","-4.189823150634766"
"38","-4.308216094970703","-4.308216094970703","-4.308216094970703","-3.537618637084961","-3.537618637084961","-3.537618637084961","-4.189823150634766","-4.189823150634766","-4.189823150634766"
"39","-4.308216094970703","-4.308216094970703","-4.308216094970703","-3.537618637084961","-3.537618637084961","-3.537618637084961","-4.189823150634766","-4.189823150634766","-4.189823150634766"
"40","-4.308216094970703","-4.308216094970703","-4.308216094970703","-3.537618637084961","-3.537618637084961","-3.537618637084961","-4.189823150634766","-4.189823150634766","-4.189823150634766"
"41","-4.308216094970703","-4.308216094970703","-4.308216094970703","-3.537618637084961","-3.537618637084961","-3.537618637084961","-4.189823150634766","-4.189823150634766","-4.189823150634766"
