"Step","Batch Size = 32768 - rollout/ep_rew_mean","Batch Size = 32768 - rollout/ep_rew_mean__MIN","Batch Size = 32768 - rollout/ep_rew_mean__MAX","Batch Size = 16384 - rollout/ep_rew_mean","Batch Size = 16384 - rollout/ep_rew_mean__MIN","Batch Size = 16384 - rollout/ep_rew_mean__MAX","Batch Size = 8192 - rollout/ep_rew_mean","Batch Size = 8192 - rollout/ep_rew_mean__MIN","Batch Size = 8192 - rollout/ep_rew_mean__MAX","Batch Size = 2048 - rollout/ep_rew_mean","Batch Size = 2048 - rollout/ep_rew_mean__MIN","Batch Size = 2048 - rollout/ep_rew_mean__MAX"
"11","-4.515080451965332","-4.515080451965332","-4.515080451965332","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.267819881439209","-4.267819881439209","-4.267819881439209","-4.036098003387451","-4.036098003387451","-4.036098003387451"
"12","-4.515080451965332","-4.515080451965332","-4.515080451965332","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.267819881439209","-4.267819881439209","-4.267819881439209","-4.036098003387451","-4.036098003387451","-4.036098003387451"
"13","-4.515080451965332","-4.515080451965332","-4.515080451965332","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.267819881439209","-4.267819881439209","-4.267819881439209","-4.036098003387451","-4.036098003387451","-4.036098003387451"
"14","-4.515080451965332","-4.515080451965332","-4.515080451965332","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.267819881439209","-4.267819881439209","-4.267819881439209","-4.036098003387451","-4.036098003387451","-4.036098003387451"
"15","-4.515080451965332","-4.515080451965332","-4.515080451965332","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.267819881439209","-4.267819881439209","-4.267819881439209","-4.036098003387451","-4.036098003387451","-4.036098003387451"
"16","-4.515080451965332","-4.515080451965332","-4.515080451965332","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.267819881439209","-4.267819881439209","-4.267819881439209","-4.036098003387451","-4.036098003387451","-4.036098003387451"
"17","-4.515080451965332","-4.515080451965332","-4.515080451965332","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.267819881439209","-4.267819881439209","-4.267819881439209","-4.036098003387451","-4.036098003387451","-4.036098003387451"
"18","-4.515080451965332","-4.515080451965332","-4.515080451965332","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.267819881439209","-4.267819881439209","-4.267819881439209","-4.036098003387451","-4.036098003387451","-4.036098003387451"
"19","-4.515080451965332","-4.515080451965332","-4.515080451965332","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.267819881439209","-4.267819881439209","-4.267819881439209","-4.036098003387451","-4.036098003387451","-4.036098003387451"
"20","-4.515080451965332","-4.515080451965332","-4.515080451965332","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.267819881439209","-4.267819881439209","-4.267819881439209","-4.036098003387451","-4.036098003387451","-4.036098003387451"
