"Step","128 - rollout/ep_rew_mean","128 - rollout/ep_rew_mean__MIN","128 - rollout/ep_rew_mean__MAX","64 - rollout/ep_rew_mean","64 - rollout/ep_rew_mean__MIN","64 - rollout/ep_rew_mean__MAX","32 - rollout/ep_rew_mean","32 - rollout/ep_rew_mean__MIN","32 - rollout/ep_rew_mean__MAX"
"5","-4.216325283050537","-4.216325283050537","-4.216325283050537","","","","","",""
"6","-4.216325283050537","-4.216325283050537","-4.216325283050537","","","","","",""
"7","-4.216325283050537","-4.216325283050537","-4.216325283050537","","","","","",""
"8","-4.216325283050537","-4.216325283050537","-4.216325283050537","","","","","",""
"9","-4.216325283050537","-4.216325283050537","-4.216325283050537","","","","","",""
"10","-4.216325283050537","-4.216325283050537","-4.216325283050537","","","","","",""
"11","-3.8159961700439453","-3.8159961700439453","-3.8159961700439453","-4.33204984664917","-4.33204984664917","-4.33204984664917","","",""
"12","-3.8159961700439453","-3.8159961700439453","-3.8159961700439453","-4.33204984664917","-4.33204984664917","-4.33204984664917","","",""
"13","-3.8159961700439453","-3.8159961700439453","-3.8159961700439453","-4.33204984664917","-4.33204984664917","-4.33204984664917","","",""
"14","-3.8159961700439453","-3.8159961700439453","-3.8159961700439453","-4.33204984664917","-4.33204984664917","-4.33204984664917","","",""
"15","-3.8159961700439453","-3.8159961700439453","-3.8159961700439453","-4.33204984664917","-4.33204984664917","-4.33204984664917","","",""
"16","-3.8159961700439453","-3.8159961700439453","-3.8159961700439453","-4.33204984664917","-4.33204984664917","-4.33204984664917","","",""
"17","-3.597938060760498","-3.597938060760498","-3.597938060760498","-4.33204984664917","-4.33204984664917","-4.33204984664917","","",""
"18","-3.597938060760498","-3.597938060760498","-3.597938060760498","-4.33204984664917","-4.33204984664917","-4.33204984664917","","",""
"19","-3.597938060760498","-3.597938060760498","-3.597938060760498","-4.33204984664917","-4.33204984664917","-4.33204984664917","","",""
"20","-3.597938060760498","-3.597938060760498","-3.597938060760498","-4.33204984664917","-4.33204984664917","-4.33204984664917","","",""
"21","-3.597938060760498","-3.597938060760498","-3.597938060760498","-4.33204984664917","-4.33204984664917","-4.33204984664917","","",""
"22","-3.597938060760498","-3.597938060760498","-3.597938060760498","-4.33204984664917","-4.33204984664917","-4.33204984664917","","",""
"23","-2.9534010887145996","-2.9534010887145996","-2.9534010887145996","-4.296422004699707","-4.296422004699707","-4.296422004699707","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"24","-2.9534010887145996","-2.9534010887145996","-2.9534010887145996","-4.296422004699707","-4.296422004699707","-4.296422004699707","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"25","-2.9534010887145996","-2.9534010887145996","-2.9534010887145996","-4.296422004699707","-4.296422004699707","-4.296422004699707","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"26","-2.9534010887145996","-2.9534010887145996","-2.9534010887145996","-4.296422004699707","-4.296422004699707","-4.296422004699707","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"27","-2.9534010887145996","-2.9534010887145996","-2.9534010887145996","-4.296422004699707","-4.296422004699707","-4.296422004699707","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"28","-2.9534010887145996","-2.9534010887145996","-2.9534010887145996","-4.296422004699707","-4.296422004699707","-4.296422004699707","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"29","-2.559114933013916","-2.559114933013916","-2.559114933013916","-4.296422004699707","-4.296422004699707","-4.296422004699707","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"30","-2.559114933013916","-2.559114933013916","-2.559114933013916","-4.296422004699707","-4.296422004699707","-4.296422004699707","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"31","-2.559114933013916","-2.559114933013916","-2.559114933013916","-4.296422004699707","-4.296422004699707","-4.296422004699707","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"32","-2.559114933013916","-2.559114933013916","-2.559114933013916","-4.296422004699707","-4.296422004699707","-4.296422004699707","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"33","-2.559114933013916","-2.559114933013916","-2.559114933013916","-4.296422004699707","-4.296422004699707","-4.296422004699707","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"34","-2.559114933013916","-2.559114933013916","-2.559114933013916","-4.296422004699707","-4.296422004699707","-4.296422004699707","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"35","-2.1945226192474365","-2.1945226192474365","-2.1945226192474365","-4.015392780303955","-4.015392780303955","-4.015392780303955","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"36","-2.1945226192474365","-2.1945226192474365","-2.1945226192474365","-4.015392780303955","-4.015392780303955","-4.015392780303955","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"37","-2.1945226192474365","-2.1945226192474365","-2.1945226192474365","-4.015392780303955","-4.015392780303955","-4.015392780303955","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"38","-2.1945226192474365","-2.1945226192474365","-2.1945226192474365","-4.015392780303955","-4.015392780303955","-4.015392780303955","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"39","-2.1945226192474365","-2.1945226192474365","-2.1945226192474365","-4.015392780303955","-4.015392780303955","-4.015392780303955","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"40","-2.1945226192474365","-2.1945226192474365","-2.1945226192474365","-4.015392780303955","-4.015392780303955","-4.015392780303955","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"41","-1.9548360109329224","-1.9548360109329224","-1.9548360109329224","-4.015392780303955","-4.015392780303955","-4.015392780303955","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"42","-1.9548360109329224","-1.9548360109329224","-1.9548360109329224","-4.015392780303955","-4.015392780303955","-4.015392780303955","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"43","-1.9548360109329224","-1.9548360109329224","-1.9548360109329224","-4.015392780303955","-4.015392780303955","-4.015392780303955","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"44","-1.9548360109329224","-1.9548360109329224","-1.9548360109329224","-4.015392780303955","-4.015392780303955","-4.015392780303955","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"45","-1.9548360109329224","-1.9548360109329224","-1.9548360109329224","-4.015392780303955","-4.015392780303955","-4.015392780303955","-4.587902069091797","-4.587902069091797","-4.587902069091797"
"46","-1.6373213529586792","-1.6373213529586792","-1.6373213529586792","-3.56227970123291","-3.56227970123291","-3.56227970123291","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"47","-1.6373213529586792","-1.6373213529586792","-1.6373213529586792","-3.56227970123291","-3.56227970123291","-3.56227970123291","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"48","-1.6373213529586792","-1.6373213529586792","-1.6373213529586792","-3.56227970123291","-3.56227970123291","-3.56227970123291","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"49","-1.6373213529586792","-1.6373213529586792","-1.6373213529586792","-3.56227970123291","-3.56227970123291","-3.56227970123291","-4.930603504180908","-4.930603504180908","-4.930603504180908"
"50","-1.6373213529586792","-1.6373213529586792","-1.6373213529586792","-3.56227970123291","-3.56227970123291","-3.56227970123291","-4.930603504180908","-4.930603504180908","-4.930603504180908"
