"Step","[256,128,64] - rollout/ep_rew_mean","[256,128,64] - rollout/ep_rew_mean__MIN","[256,128,64] - rollout/ep_rew_mean__MAX","[256,128] - rollout/ep_rew_mean","[256,128] - rollout/ep_rew_mean__MIN","[256,128] - rollout/ep_rew_mean__MAX","[128,64] - rollout/ep_rew_mean","[128,64] - rollout/ep_rew_mean__MIN","[128,64] - rollout/ep_rew_mean__MAX"
"11","-4.48500394821167","-4.48500394821167","-4.48500394821167","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.830892562866211","-4.830892562866211","-4.830892562866211"
"12","-4.48500394821167","-4.48500394821167","-4.48500394821167","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.830892562866211","-4.830892562866211","-4.830892562866211"
"13","-4.48500394821167","-4.48500394821167","-4.48500394821167","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.830892562866211","-4.830892562866211","-4.830892562866211"
"14","-4.48500394821167","-4.48500394821167","-4.48500394821167","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.830892562866211","-4.830892562866211","-4.830892562866211"
"15","-4.48500394821167","-4.48500394821167","-4.48500394821167","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.830892562866211","-4.830892562866211","-4.830892562866211"
"16","-4.48500394821167","-4.48500394821167","-4.48500394821167","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.830892562866211","-4.830892562866211","-4.830892562866211"
"17","-4.48500394821167","-4.48500394821167","-4.48500394821167","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.830892562866211","-4.830892562866211","-4.830892562866211"
"18","-4.48500394821167","-4.48500394821167","-4.48500394821167","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.830892562866211","-4.830892562866211","-4.830892562866211"
"19","-4.48500394821167","-4.48500394821167","-4.48500394821167","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.830892562866211","-4.830892562866211","-4.830892562866211"
"20","-4.48500394821167","-4.48500394821167","-4.48500394821167","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.830892562866211","-4.830892562866211","-4.830892562866211"
"21","-4.48500394821167","-4.48500394821167","-4.48500394821167","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.830892562866211","-4.830892562866211","-4.830892562866211"
"22","-4.48500394821167","-4.48500394821167","-4.48500394821167","-4.393026828765869","-4.393026828765869","-4.393026828765869","-4.830892562866211","-4.830892562866211","-4.830892562866211"
"23","-4.666213035583496","-4.666213035583496","-4.666213035583496","-4.252060890197754","-4.252060890197754","-4.252060890197754","-4.611657619476318","-4.611657619476318","-4.611657619476318"
"24","-4.666213035583496","-4.666213035583496","-4.666213035583496","-4.252060890197754","-4.252060890197754","-4.252060890197754","-4.611657619476318","-4.611657619476318","-4.611657619476318"
"25","-4.666213035583496","-4.666213035583496","-4.666213035583496","-4.252060890197754","-4.252060890197754","-4.252060890197754","-4.611657619476318","-4.611657619476318","-4.611657619476318"
"26","-4.666213035583496","-4.666213035583496","-4.666213035583496","-4.252060890197754","-4.252060890197754","-4.252060890197754","-4.611657619476318","-4.611657619476318","-4.611657619476318"
"27","-4.666213035583496","-4.666213035583496","-4.666213035583496","-4.252060890197754","-4.252060890197754","-4.252060890197754","-4.611657619476318","-4.611657619476318","-4.611657619476318"
"28","-4.666213035583496","-4.666213035583496","-4.666213035583496","-4.252060890197754","-4.252060890197754","-4.252060890197754","-4.611657619476318","-4.611657619476318","-4.611657619476318"
"29","-4.666213035583496","-4.666213035583496","-4.666213035583496","-4.252060890197754","-4.252060890197754","-4.252060890197754","-4.611657619476318","-4.611657619476318","-4.611657619476318"
"30","-4.666213035583496","-4.666213035583496","-4.666213035583496","-4.252060890197754","-4.252060890197754","-4.252060890197754","-4.611657619476318","-4.611657619476318","-4.611657619476318"
"31","-4.666213035583496","-4.666213035583496","-4.666213035583496","-4.252060890197754","-4.252060890197754","-4.252060890197754","-4.611657619476318","-4.611657619476318","-4.611657619476318"
"32","-4.666213035583496","-4.666213035583496","-4.666213035583496","-4.252060890197754","-4.252060890197754","-4.252060890197754","-4.611657619476318","-4.611657619476318","-4.611657619476318"
"33","-4.666213035583496","-4.666213035583496","-4.666213035583496","-4.252060890197754","-4.252060890197754","-4.252060890197754","-4.611657619476318","-4.611657619476318","-4.611657619476318"
"34","-4.666213035583496","-4.666213035583496","-4.666213035583496","-4.252060890197754","-4.252060890197754","-4.252060890197754","-4.611657619476318","-4.611657619476318","-4.611657619476318"
"35","-4.3552350997924805","-4.3552350997924805","-4.3552350997924805","-3.499506950378418","-3.499506950378418","-3.499506950378418","-4.299506187438965","-4.299506187438965","-4.299506187438965"
"36","-4.3552350997924805","-4.3552350997924805","-4.3552350997924805","-3.499506950378418","-3.499506950378418","-3.499506950378418","-4.299506187438965","-4.299506187438965","-4.299506187438965"
"37","-4.3552350997924805","-4.3552350997924805","-4.3552350997924805","-3.499506950378418","-3.499506950378418","-3.499506950378418","-4.299506187438965","-4.299506187438965","-4.299506187438965"
"38","-4.3552350997924805","-4.3552350997924805","-4.3552350997924805","-3.499506950378418","-3.499506950378418","-3.499506950378418","-4.299506187438965","-4.299506187438965","-4.299506187438965"
"39","-4.3552350997924805","-4.3552350997924805","-4.3552350997924805","-3.499506950378418","-3.499506950378418","-3.499506950378418","-4.299506187438965","-4.299506187438965","-4.299506187438965"
"40","-4.3552350997924805","-4.3552350997924805","-4.3552350997924805","-3.499506950378418","-3.499506950378418","-3.499506950378418","-4.299506187438965","-4.299506187438965","-4.299506187438965"
"41","-4.3552350997924805","-4.3552350997924805","-4.3552350997924805","-3.499506950378418","-3.499506950378418","-3.499506950378418","-4.299506187438965","-4.299506187438965","-4.299506187438965"
"42","-4.3552350997924805","-4.3552350997924805","-4.3552350997924805","-3.499506950378418","-3.499506950378418","-3.499506950378418","-4.299506187438965","-4.299506187438965","-4.299506187438965"
"43","-4.3552350997924805","-4.3552350997924805","-4.3552350997924805","-3.499506950378418","-3.499506950378418","-3.499506950378418","-4.299506187438965","-4.299506187438965","-4.299506187438965"
"44","-4.3552350997924805","-4.3552350997924805","-4.3552350997924805","-3.499506950378418","-3.499506950378418","-3.499506950378418","-4.299506187438965","-4.299506187438965","-4.299506187438965"
"45","-4.3552350997924805","-4.3552350997924805","-4.3552350997924805","-3.499506950378418","-3.499506950378418","-3.499506950378418","-4.299506187438965","-4.299506187438965","-4.299506187438965"
"46","-3.6632111072540283","-3.6632111072540283","-3.6632111072540283","-3.009773015975952","-3.009773015975952","-3.009773015975952","-4.342031955718994","-4.342031955718994","-4.342031955718994"
"47","-3.6632111072540283","-3.6632111072540283","-3.6632111072540283","-3.009773015975952","-3.009773015975952","-3.009773015975952","-4.342031955718994","-4.342031955718994","-4.342031955718994"
"48","-3.6632111072540283","-3.6632111072540283","-3.6632111072540283","-3.009773015975952","-3.009773015975952","-3.009773015975952","-4.342031955718994","-4.342031955718994","-4.342031955718994"
"49","-3.6632111072540283","-3.6632111072540283","-3.6632111072540283","-3.009773015975952","-3.009773015975952","-3.009773015975952","-4.342031955718994","-4.342031955718994","-4.342031955718994"
"50","-3.6632111072540283","-3.6632111072540283","-3.6632111072540283","-3.009773015975952","-3.009773015975952","-3.009773015975952","-4.342031955718994","-4.342031955718994","-4.342031955718994"
"51","-3.6632111072540283","-3.6632111072540283","-3.6632111072540283","-3.009773015975952","-3.009773015975952","-3.009773015975952","-4.342031955718994","-4.342031955718994","-4.342031955718994"
"52","-3.6632111072540283","-3.6632111072540283","-3.6632111072540283","-3.009773015975952","-3.009773015975952","-3.009773015975952","-4.342031955718994","-4.342031955718994","-4.342031955718994"
"53","-3.6632111072540283","-3.6632111072540283","-3.6632111072540283","-3.009773015975952","-3.009773015975952","-3.009773015975952","-4.342031955718994","-4.342031955718994","-4.342031955718994"
"54","-3.6632111072540283","-3.6632111072540283","-3.6632111072540283","-3.009773015975952","-3.009773015975952","-3.009773015975952","-4.342031955718994","-4.342031955718994","-4.342031955718994"
"55","-3.6632111072540283","-3.6632111072540283","-3.6632111072540283","-3.009773015975952","-3.009773015975952","-3.009773015975952","-4.342031955718994","-4.342031955718994","-4.342031955718994"
"56","-3.6632111072540283","-3.6632111072540283","-3.6632111072540283","-3.009773015975952","-3.009773015975952","-3.009773015975952","-4.342031955718994","-4.342031955718994","-4.342031955718994"
"57","-3.6632111072540283","-3.6632111072540283","-3.6632111072540283","-3.009773015975952","-3.009773015975952","-3.009773015975952","-4.342031955718994","-4.342031955718994","-4.342031955718994"
"58","-2.928166627883911","-2.928166627883911","-2.928166627883911","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-4.099365711212158","-4.099365711212158","-4.099365711212158"
"59","-2.928166627883911","-2.928166627883911","-2.928166627883911","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-4.099365711212158","-4.099365711212158","-4.099365711212158"
"60","-2.928166627883911","-2.928166627883911","-2.928166627883911","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-4.099365711212158","-4.099365711212158","-4.099365711212158"
"61","-2.928166627883911","-2.928166627883911","-2.928166627883911","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-4.099365711212158","-4.099365711212158","-4.099365711212158"
"62","-2.928166627883911","-2.928166627883911","-2.928166627883911","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-4.099365711212158","-4.099365711212158","-4.099365711212158"
"63","-2.928166627883911","-2.928166627883911","-2.928166627883911","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-4.099365711212158","-4.099365711212158","-4.099365711212158"
"64","-2.928166627883911","-2.928166627883911","-2.928166627883911","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-4.099365711212158","-4.099365711212158","-4.099365711212158"
"65","-2.928166627883911","-2.928166627883911","-2.928166627883911","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-4.099365711212158","-4.099365711212158","-4.099365711212158"
"66","-2.928166627883911","-2.928166627883911","-2.928166627883911","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-4.099365711212158","-4.099365711212158","-4.099365711212158"
"67","-2.928166627883911","-2.928166627883911","-2.928166627883911","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-4.099365711212158","-4.099365711212158","-4.099365711212158"
"68","-2.928166627883911","-2.928166627883911","-2.928166627883911","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-4.099365711212158","-4.099365711212158","-4.099365711212158"
"69","-2.928166627883911","-2.928166627883911","-2.928166627883911","-2.3036916255950928","-2.3036916255950928","-2.3036916255950928","-4.099365711212158","-4.099365711212158","-4.099365711212158"
"70","-2.098775625228882","-2.098775625228882","-2.098775625228882","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-3.6890382766723633","-3.6890382766723633","-3.6890382766723633"
"71","-2.098775625228882","-2.098775625228882","-2.098775625228882","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-3.6890382766723633","-3.6890382766723633","-3.6890382766723633"
"72","-2.098775625228882","-2.098775625228882","-2.098775625228882","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-3.6890382766723633","-3.6890382766723633","-3.6890382766723633"
"73","-2.098775625228882","-2.098775625228882","-2.098775625228882","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-3.6890382766723633","-3.6890382766723633","-3.6890382766723633"
"74","-2.098775625228882","-2.098775625228882","-2.098775625228882","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-3.6890382766723633","-3.6890382766723633","-3.6890382766723633"
"75","-2.098775625228882","-2.098775625228882","-2.098775625228882","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-3.6890382766723633","-3.6890382766723633","-3.6890382766723633"
"76","-2.098775625228882","-2.098775625228882","-2.098775625228882","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-3.6890382766723633","-3.6890382766723633","-3.6890382766723633"
"77","-2.098775625228882","-2.098775625228882","-2.098775625228882","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-3.6890382766723633","-3.6890382766723633","-3.6890382766723633"
"78","-2.098775625228882","-2.098775625228882","-2.098775625228882","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-3.6890382766723633","-3.6890382766723633","-3.6890382766723633"
"79","-2.098775625228882","-2.098775625228882","-2.098775625228882","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-3.6890382766723633","-3.6890382766723633","-3.6890382766723633"
"80","-2.098775625228882","-2.098775625228882","-2.098775625228882","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-3.6890382766723633","-3.6890382766723633","-3.6890382766723633"
"81","-2.098775625228882","-2.098775625228882","-2.098775625228882","-1.8201677799224854","-1.8201677799224854","-1.8201677799224854","-3.6890382766723633","-3.6890382766723633","-3.6890382766723633"
"82","-1.2769794464111328","-1.2769794464111328","-1.2769794464111328","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-3.6229143142700195","-3.6229143142700195","-3.6229143142700195"
"83","-1.2769794464111328","-1.2769794464111328","-1.2769794464111328","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-3.6229143142700195","-3.6229143142700195","-3.6229143142700195"
"84","-1.2769794464111328","-1.2769794464111328","-1.2769794464111328","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-3.6229143142700195","-3.6229143142700195","-3.6229143142700195"
"85","-1.2769794464111328","-1.2769794464111328","-1.2769794464111328","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-3.6229143142700195","-3.6229143142700195","-3.6229143142700195"
"86","-1.2769794464111328","-1.2769794464111328","-1.2769794464111328","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-3.6229143142700195","-3.6229143142700195","-3.6229143142700195"
"87","-1.2769794464111328","-1.2769794464111328","-1.2769794464111328","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-3.6229143142700195","-3.6229143142700195","-3.6229143142700195"
"88","-1.2769794464111328","-1.2769794464111328","-1.2769794464111328","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-3.6229143142700195","-3.6229143142700195","-3.6229143142700195"
"89","-1.2769794464111328","-1.2769794464111328","-1.2769794464111328","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-3.6229143142700195","-3.6229143142700195","-3.6229143142700195"
"90","-1.2769794464111328","-1.2769794464111328","-1.2769794464111328","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-3.6229143142700195","-3.6229143142700195","-3.6229143142700195"
"91","-1.2769794464111328","-1.2769794464111328","-1.2769794464111328","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-3.6229143142700195","-3.6229143142700195","-3.6229143142700195"
"92","-1.2769794464111328","-1.2769794464111328","-1.2769794464111328","-1.5405123233795166","-1.5405123233795166","-1.5405123233795166","-3.6229143142700195","-3.6229143142700195","-3.6229143142700195"
