"Step","Absolute Mode - rollout/ep_rew_mean","Absolute Mode - rollout/ep_rew_mean__MIN","Absolute Mode - rollout/ep_rew_mean__MAX","Relative Mode - rollout/ep_rew_mean","Relative Mode - rollout/ep_rew_mean__MIN","Relative Mode - rollout/ep_rew_mean__MAX"
"11","-3.6191067695617676","-3.6191067695617676","-3.6191067695617676","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"12","-3.6191067695617676","-3.6191067695617676","-3.6191067695617676","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"13","-3.6191067695617676","-3.6191067695617676","-3.6191067695617676","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"14","-3.6191067695617676","-3.6191067695617676","-3.6191067695617676","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"15","-3.6191067695617676","-3.6191067695617676","-3.6191067695617676","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"16","-3.6191067695617676","-3.6191067695617676","-3.6191067695617676","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"17","-3.6191067695617676","-3.6191067695617676","-3.6191067695617676","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"18","-3.6191067695617676","-3.6191067695617676","-3.6191067695617676","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"19","-3.6191067695617676","-3.6191067695617676","-3.6191067695617676","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"20","-3.6191067695617676","-3.6191067695617676","-3.6191067695617676","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"21","-3.6191067695617676","-3.6191067695617676","-3.6191067695617676","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"22","-3.6191067695617676","-3.6191067695617676","-3.6191067695617676","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"23","-3.6407418251037598","-3.6407418251037598","-3.6407418251037598","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"24","-3.6407418251037598","-3.6407418251037598","-3.6407418251037598","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"25","-3.6407418251037598","-3.6407418251037598","-3.6407418251037598","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"26","-3.6407418251037598","-3.6407418251037598","-3.6407418251037598","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"27","-3.6407418251037598","-3.6407418251037598","-3.6407418251037598","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"28","-3.6407418251037598","-3.6407418251037598","-3.6407418251037598","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"29","-3.6407418251037598","-3.6407418251037598","-3.6407418251037598","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"30","-3.6407418251037598","-3.6407418251037598","-3.6407418251037598","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"31","-3.6407418251037598","-3.6407418251037598","-3.6407418251037598","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"32","-3.6407418251037598","-3.6407418251037598","-3.6407418251037598","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"33","-3.6407418251037598","-3.6407418251037598","-3.6407418251037598","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"34","-3.6407418251037598","-3.6407418251037598","-3.6407418251037598","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"35","-3.3815836906433105","-3.3815836906433105","-3.3815836906433105","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"36","-3.3815836906433105","-3.3815836906433105","-3.3815836906433105","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"37","-3.3815836906433105","-3.3815836906433105","-3.3815836906433105","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"38","-3.3815836906433105","-3.3815836906433105","-3.3815836906433105","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"39","-3.3815836906433105","-3.3815836906433105","-3.3815836906433105","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"40","-3.3815836906433105","-3.3815836906433105","-3.3815836906433105","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"41","-3.3815836906433105","-3.3815836906433105","-3.3815836906433105","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"42","-3.3815836906433105","-3.3815836906433105","-3.3815836906433105","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"43","-3.3815836906433105","-3.3815836906433105","-3.3815836906433105","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"44","-3.3815836906433105","-3.3815836906433105","-3.3815836906433105","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"45","-3.3815836906433105","-3.3815836906433105","-3.3815836906433105","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"46","-2.836069345474243","-2.836069345474243","-2.836069345474243","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"47","-2.836069345474243","-2.836069345474243","-2.836069345474243","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"48","-2.836069345474243","-2.836069345474243","-2.836069345474243","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"49","-2.836069345474243","-2.836069345474243","-2.836069345474243","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"50","-2.836069345474243","-2.836069345474243","-2.836069345474243","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"51","-2.836069345474243","-2.836069345474243","-2.836069345474243","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"52","-2.836069345474243","-2.836069345474243","-2.836069345474243","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"53","-2.836069345474243","-2.836069345474243","-2.836069345474243","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"54","-2.836069345474243","-2.836069345474243","-2.836069345474243","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"55","-2.836069345474243","-2.836069345474243","-2.836069345474243","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"56","-2.836069345474243","-2.836069345474243","-2.836069345474243","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"57","-2.836069345474243","-2.836069345474243","-2.836069345474243","-3.56227970123291","-3.56227970123291","-3.56227970123291"
"58","-2.092219591140747","-2.092219591140747","-2.092219591140747","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"59","-2.092219591140747","-2.092219591140747","-2.092219591140747","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"60","-2.092219591140747","-2.092219591140747","-2.092219591140747","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"61","-2.092219591140747","-2.092219591140747","-2.092219591140747","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"62","-2.092219591140747","-2.092219591140747","-2.092219591140747","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
"63","-2.092219591140747","-2.092219591140747","-2.092219591140747","-3.1365363597869873","-3.1365363597869873","-3.1365363597869873"
