"Step","With Normalization - rollout/ep_rew_mean","With Normalization - rollout/ep_rew_mean__MIN","With Normalization - rollout/ep_rew_mean__MAX","Without Normalization - rollout/ep_rew_mean","Without Normalization - rollout/ep_rew_mean__MIN","Without Normalization - rollout/ep_rew_mean__MAX"
"11","-2.9404549598693848","-2.9404549598693848","-2.9404549598693848","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"12","-2.9404549598693848","-2.9404549598693848","-2.9404549598693848","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"13","-2.9404549598693848","-2.9404549598693848","-2.9404549598693848","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"14","-2.9404549598693848","-2.9404549598693848","-2.9404549598693848","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"15","-2.9404549598693848","-2.9404549598693848","-2.9404549598693848","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"16","-2.9404549598693848","-2.9404549598693848","-2.9404549598693848","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"17","-2.9404549598693848","-2.9404549598693848","-2.9404549598693848","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"18","-2.9404549598693848","-2.9404549598693848","-2.9404549598693848","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"19","-2.9404549598693848","-2.9404549598693848","-2.9404549598693848","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"20","-2.9404549598693848","-2.9404549598693848","-2.9404549598693848","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"21","-2.9404549598693848","-2.9404549598693848","-2.9404549598693848","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"22","-2.9404549598693848","-2.9404549598693848","-2.9404549598693848","-4.33204984664917","-4.33204984664917","-4.33204984664917"
"23","-1.4241106510162354","-1.4241106510162354","-1.4241106510162354","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"24","-1.4241106510162354","-1.4241106510162354","-1.4241106510162354","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"25","-1.4241106510162354","-1.4241106510162354","-1.4241106510162354","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"26","-1.4241106510162354","-1.4241106510162354","-1.4241106510162354","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"27","-1.4241106510162354","-1.4241106510162354","-1.4241106510162354","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"28","-1.4241106510162354","-1.4241106510162354","-1.4241106510162354","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"29","-1.4241106510162354","-1.4241106510162354","-1.4241106510162354","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"30","-1.4241106510162354","-1.4241106510162354","-1.4241106510162354","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"31","-1.4241106510162354","-1.4241106510162354","-1.4241106510162354","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"32","-1.4241106510162354","-1.4241106510162354","-1.4241106510162354","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"33","-1.4241106510162354","-1.4241106510162354","-1.4241106510162354","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"34","-1.4241106510162354","-1.4241106510162354","-1.4241106510162354","-4.296422004699707","-4.296422004699707","-4.296422004699707"
"35","-1.2855619192123413","-1.2855619192123413","-1.2855619192123413","-4.015392780303955","-4.015392780303955","-4.015392780303955"
"36","-1.2855619192123413","-1.2855619192123413","-1.2855619192123413","-4.015392780303955","-4.015392780303955","-4.015392780303955"
