"Step","Run 1 - rollout/ep_rew_mean","Run 1 - rollout/ep_rew_mean__MIN","Run 1 - rollout/ep_rew_mean__MAX","Run 2 - rollout/ep_rew_mean","Run 2 - rollout/ep_rew_mean__MIN","Run 2 - rollout/ep_rew_mean__MAX"
"0","-60.8294677734375","-60.8294677734375","-60.8294677734375","-35.139183044433594","-35.139183044433594","-35.139183044433594"
"1","-65.17071533203125","-65.17071533203125","-65.17071533203125","-51.489662170410156","-51.489662170410156","-51.489662170410156"
"2","-52.21724319458008","-52.21724319458008","-52.21724319458008","-44.10002136230469","-44.10002136230469","-44.10002136230469"
"3","-56.45765686035156","-56.45765686035156","-56.45765686035156","-48.72127151489258","-48.72127151489258","-48.72127151489258"
"4","-86.7069320678711","-86.7069320678711","-86.7069320678711","-50.23653793334961","-50.23653793334961","-50.23653793334961"
"5","-108.23827362060547","-108.23827362060547","-108.23827362060547","-50.23716354370117","-50.23716354370117","-50.23716354370117"
"6","-102.70123291015625","-102.70123291015625","-102.70123291015625","-56.09947204589844","-56.09947204589844","-56.09947204589844"
"7","-93.3214111328125","-93.3214111328125","-93.3214111328125","-87.43562316894531","-87.43562316894531","-87.43562316894531"
"8","-84.28314208984375","-84.28314208984375","-84.28314208984375","-53.10607147216797","-53.10607147216797","-53.10607147216797"
"9","-57.80093002319336","-57.80093002319336","-57.80093002319336","-56.11024475097656","-56.11024475097656","-56.11024475097656"
"10","-50.474578857421875","-50.474578857421875","-50.474578857421875","-50.52434158325195","-50.52434158325195","-50.52434158325195"
"11","-50.234840393066406","-50.234840393066406","-50.234840393066406","-50.48487854003906","-50.48487854003906","-50.48487854003906"
"12","-50.310142517089844","-50.310142517089844","-50.310142517089844","-67.42961120605469","-67.42961120605469","-67.42961120605469"
"13","-50.415321350097656","-50.415321350097656","-50.415321350097656","-50.46023178100586","-50.46023178100586","-50.46023178100586"
"14","-51.8306999206543","-51.8306999206543","-51.8306999206543","-50.515647888183594","-50.515647888183594","-50.515647888183594"
"15","-50.44868850708008","-50.44868850708008","-50.44868850708008","-50.50638961791992","-50.50638961791992","-50.50638961791992"
"16","-51.626243591308594","-51.626243591308594","-51.626243591308594","-50.506507873535156","-50.506507873535156","-50.506507873535156"
"17","-51.71326446533203","-51.71326446533203","-51.71326446533203","-50.50709533691406","-50.50709533691406","-50.50709533691406"
"18","-51.76298522949219","-51.76298522949219","-51.76298522949219","-50.54092788696289","-50.54092788696289","-50.54092788696289"
"19","-51.691612243652344","-51.691612243652344","-51.691612243652344","-50.53742599487305","-50.53742599487305","-50.53742599487305"
"20","-51.76462173461914","-51.76462173461914","-51.76462173461914","-50.54010009765625","-50.54010009765625","-50.54010009765625"
"21","-51.81855010986328","-51.81855010986328","-51.81855010986328","-50.461463928222656","-50.461463928222656","-50.461463928222656"
"22","-51.72578048706055","-51.72578048706055","-51.72578048706055","-50.470054626464844","-50.470054626464844","-50.470054626464844"
"23","-51.75076675415039","-51.75076675415039","-51.75076675415039","-50.422637939453125","-50.422637939453125","-50.422637939453125"
"24","-51.83369827270508","-51.83369827270508","-51.83369827270508","-50.503700256347656","-50.503700256347656","-50.503700256347656"
"25","-51.80963897705078","-51.80963897705078","-51.80963897705078","-50.52109909057617","-50.52109909057617","-50.52109909057617"
"26","-51.782108306884766","-51.782108306884766","-51.782108306884766","-50.522674560546875","-50.522674560546875","-50.522674560546875"
"27","-51.79460906982422","-51.79460906982422","-51.79460906982422","-50.5064811706543","-50.5064811706543","-50.5064811706543"
"28","-51.74867630004883","-51.74867630004883","-51.74867630004883","-50.47843933105469","-50.47843933105469","-50.47843933105469"
"29","-51.25138473510742","-51.25138473510742","-51.25138473510742","-50.4587287902832","-50.4587287902832","-50.4587287902832"
"30","-51.67913055419922","-51.67913055419922","-51.67913055419922","-50.49490737915039","-50.49490737915039","-50.49490737915039"
